"","Gene.Name","Annotation","Accession..","Class.Name","Target.Sequence"
"1","Kanamycin Pos",NA,"Sub_Kan.1","Endogenous",""
"2","alx4b",NA,"NM_001089357.1","Endogenous",""
"3","csf1r",NA,"NM_131672.1","Endogenous",""
"4","dpf3",NA,"NM_001111169.1","Endogenous",""
"5","ednrba",NA,"NM_131197.1","Endogenous",""
"6","ets1a",NA,"NM_001017558.1","Endogenous",""
"7","fgfr3_v2",NA,"NM_131606.1","Endogenous",""
"8","foxd3",NA,"NM_131290.1","Endogenous",""
"9","foxg1b",NA,"NM_212914.1","Endogenous",""
"10","foxo1a",NA,"NM_001077257.2","Endogenous",""
"11","foxo1b",NA,"NM_001082857.1","Endogenous",""
"12","foxp4",NA,"NM_001199491.1","Endogenous",""
"13","gapdh",NA,"NM_001115114.1","Endogenous",""
"14","hbp1",NA,"NM_001024431.1","Endogenous",""
"15","her9",NA,"NM_131873.1","Endogenous",""
"16","hmx1",NA,"NM_001113526.1","Endogenous",""
"17","hmx4",NA,"NM_001045371.1","Endogenous",""
"18","id2a",NA,"NM_201291.1","Endogenous",""
"19","impdh1b",NA,"NM_001014369.2","Endogenous",""
"20","kita",NA,"NM_131053.1","Endogenous",""
"21","ltk",NA,"XM_005158786.2","Endogenous",""
"22","mbpa",NA,"XM_002665557.1","Endogenous",""
"23","mc1r",NA,"NM_180970.1","Endogenous",""
"24","mitfa",NA,"NM_130923.1","Endogenous",""
"25","mlphb",NA,"NM_001079679.1","Endogenous",""
"26","mycl1a",NA,"NM_212937.1","Endogenous",""
"27","myo5aa",NA,"XM_009293794.1","Endogenous",""
"28","oca2",NA,"XM_690715.7","Endogenous",""
"29","otx2",NA,"NM_131251.1","Endogenous",""
"30","pax3_v2",NA,"XM_005163543.2","Endogenous",""
"31","pax7a",NA,"NM_131326.1","Endogenous",""
"32","pax7b",NA,"NM_001146149.1","Endogenous",""
"33","phox2b",NA,"NM_001014818.1","Endogenous",""
"34","pnp4a",NA,"NM_001002102.1","Endogenous",""
"35","rpl13",NA,"NM_198143.1","Endogenous",""
"36","silva",NA,"NM_001045330.1","Endogenous",""
"37","slc24a5",NA,"NM_001030280.1","Endogenous",""
"38","smad9",NA,"NM_001004014.1","Endogenous",""
"39","snail2",NA,"XR_661767.1","Endogenous",""
"40","sox10",NA,"NM_131875.1","Endogenous",""
"41","sox5",NA,"NM_001033585.1","Endogenous",""
"42","sox9b",NA,"NM_131644.1","Endogenous",""
"43","tfap2a",NA,"NM_176859.2","Endogenous",""
"44","tfap2e",NA,"NM_200821.1","Endogenous",""
"45","tfec",NA,"NM_001030105.2","Endogenous",""
"46","tyr",NA,"NM_131013.1","Endogenous",""
"47","tyrp1b",NA,"NM_001002749.1","Endogenous",""
"48","NEG_A",NA,"ERCC_00096.1","Negative",""
"49","NEG_B",NA,"ERCC_00041.1","Negative",""
"50","NEG_C",NA,"ERCC_00019.1","Negative",""
"51","NEG_D",NA,"ERCC_00076.1","Negative",""
"52","NEG_E",NA,"ERCC_00098.1","Negative",""
"53","NEG_F",NA,"ERCC_00126.1","Negative",""
"54","NEG_G",NA,"ERCC_00144.1","Negative",""
"55","NEG_H",NA,"ERCC_00154.1","Negative",""
"56","POS_A",NA,"ERCC_00117.1","Positive",""
"57","POS_B",NA,"ERCC_00112.1","Positive",""
"58","POS_C",NA,"ERCC_00002.1","Positive",""
"59","POS_D",NA,"ERCC_00092.1","Positive",""
"60","POS_E",NA,"ERCC_00035.1","Positive",""
"61","POS_F",NA,"ERCC_00034.1","Positive",""
