Gene Name,Annotation,Accession #,Avg Count,%CV,20160315_bath study 4 21hpf_10_10.RCC,20160315_bath study 4 21hpf_11_11.RCC,20160315_bath study 4 21hpf_12_12.RCC,20160315_bath study 4 21hpf_1_01.RCC,20160315_bath study 4 21hpf_2_02.RCC,20160315_bath study 4 21hpf_3_03.RCC,20160315_bath study 4 21hpf_4_04.RCC,20160315_bath study 4 21hpf_6_06.RCC,20160315_bath study 4 21hpf_7_07.RCC,20160315_bath study 4 21hpf_8_08.RCC,20160315_bath study 4 21hpf_9_09.RCC
,,,,,21,21,21,21,21,21,21,21,21,21,21
Kanamycin Pos,,Sub_Kan.1,177558.33,89.14,82165,52759,88071,434345,514477,265221,120706,143866,246680,75006,105664
alx4b,,NM_001089357.1,4038.92,231.97,15,16,22,109,133,27588,26,35,90,20000,431
csf1r,,NM_131672.1,4.67,117.13,5,1,1,1,1,16,11,1,3,13,2
dpf3,,NM_001111169.1,298.75,264.8,3,2,1,3,7,2688,19,1,3,854,3
ednrba,,NM_131197.1,253.5,182.74,14,5,10,64,767,1534,105,34,23,76,409
ets1a,,NM_001017558.1,12181.08,157.37,138,1956,1,18686,29103,48516,111,3,2,47632,24
fgfr3_v2,,NM_131606.1,4121.58,308.22,3610,1,1,85,80,44320,1,9,1,34,1316
foxd3,,NM_131290.1,13058.42,193.98,33085,1,1,1,1,78001,43863,1,2,754,990
foxg1b,,NM_212914.1,8183.17,260.54,7,8,8,81,75,71437,20,24,24,44,26467
foxo1a,,NM_001077257.2,3562.92,252.78,12166,1,1,18,300,29940,1,4,1,248,74
foxo1b,,NM_001082857.1,550.92,232.62,1,2,1,5,1,3305,7,1,1,3284,2
foxp4,,NM_001199491.1,10668.17,164.77,3147,19,8100,207,118,49997,82,26,2536,40512,23273
gapdh,,NM_001115114.1,56.67,229.86,12,2,468,47,33,31,8,25,15,26,12
hbp1,,NM_001024431.1,65.83,79.11,23,19,30,150,165,116,46,53,74,63,50
her9,,NM_131873.1,12846,112.27,628,994,9,19016,21070,14767,21,1788,35790,38843,21225
hmx1,,NM_001113526.1,2063.83,314.58,2,1,1,2,1,22586,4,1,4,6,2157
hmx4,,NM_001045371.1,46.42,89.64,7,9,19,95,102,127,34,17,46,62,38
id2a,,NM_201291.1,13399.83,109.11,723,7,10,20566,32225,40332,3041,367,15026,26029,22471
impdh1b,,NM_001014369.2,40099.92,119.83,16,12037,13,118346,60337,95428,68819,3893,73,113915,8321
kita,,NM_131053.1,11.08,248.75,4,1,1,3,2,98,7,1,2,12,1
ltk,,XM_005158786.2,34.75,70.94,16,10,15,75,66,68,27,35,37,48,19
mbpa,,XM_002665557.1,4554.67,185.27,7,4,8,13783,27,23286,15,29,16,161,17319
mc1r,,NM_180970.1,2275.58,253.86,12,2,1,23,37,19038,1,3,1,8171,17
