Gene Name,Annotation,Accession #,20160407_bath study new 48hpf 2_ 13_01.RCC,20160407_bath study new 48hpf 2_ 14_02.RCC,20160407_bath study new 48hpf 2_ 15_03.RCC,20160407_bath study new 48hpf 2_ 16_04.RCC,20160407_bath study new 48hpf 2_ 17_05.RCC,20160407_bath study new 48hpf 2_ 18_06.RCC,20160407_bath study new 48hpf 2_ 19_07.RCC,20160407_bath study new 48hpf 2_ 20_08.RCC,20160407_bath study new 48hpf 2_ 21_09.RCC,20160407_bath study new 48hpf 2_ 22_10.RCC,20160407_bath study new 48hpf 2_ 23_11.RCC,20160407_bath study new 48hpf 2_ 24_12.RCC,20160407_bath study new 48hpf_ 10 _10.RCC,20160407_bath study new 48hpf_ 11_11.RCC,20160407_bath study new 48hpf_ 12_12.RCC,20160407_bath study new 48hpf_ 1_01.RCC,20160407_bath study new 48hpf_ 2_02.RCC,20160407_bath study new 48hpf_ 3_03.RCC,20160407_bath study new 48hpf_ 4_04.RCC,20160407_bath study new 48hpf_ 5_05.RCC,20160407_bath study new 48hpf_ 6_06.RCC,20160407_bath study new 48hpf_ 7_07.RCC,20160407_bath study new 48hpf_ 8_08.RCC,20160407_bath study new 48hpf_ 9_09.RCC
,,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,343285,539238,392710,116005,296575,586937,425081,859849,542780,18,489196,588582,128819,346638,357607,217469,290640,189611,233948,432540,303618,261719,494825,132958
alx4b,,NM_001089357.1,98,132,86,22,105,161,167,253,119,1,146,230,33,129,161,46,103,45,60,171,79,70,152,34
csf1r,,NM_131672.1,6,1,1,1,1,1,1,10,1,2,1,4,1,9,1,1,6,1,1,1,7,6,6,1
dpf3,,NM_001111169.1,15,1,1,1,8,1,12,5,1,1,1,2,1,27658,1,1,18,1,1,1,6,5,9,1
ednrba,,NM_131197.1,45,23,24,3,53,12,53,56,29,1,16,38,5,19,52,29,44,6,38,32,35,9,36,4
ets1a,,NM_001017558.1,14,8,1,1,13,1,49203,46113,1,1,1,57,1,16,3,7,7,1,1,48,30,1,14,1
fgfr3_v2,,NM_131606.1,88,26,1,1,63,2,10,50,1,2,1,114735,3,64,22,57781,1,1,1,209943,10,1,7,1
foxd3,,NM_131290.1,9,2,1,1,4,1,10,8,1,2,1,3,1,8,1,1,14,1,1,1,8,6,4,1
foxg1b,,NM_212914.1,55,78,54,20,36,62,140,120,57,2,52,188170,12,76,89,23,60,25,31,92,39,36,72,11
foxo1a,,NM_001077257.2,20,6,1,1,9,1,1,24,1,1,1,18375,1,13,4,6,4,1,1,50106,11,1,2,1
foxo1b,,NM_001082857.1,5,1,1,1,3,1,15383,5,1,1,1,6,1,5200,1,1,10,1,1,1,18,3,6,1
foxp4,,NM_001199491.1,36,62,38,16,80166,72,128289,185,55,1,53,117,9,59895,32859,29,100755,34,32,60519,30,50725,83,22
gapdh,,NM_001115114.1,43,19,17,1,34,8,37,33,23,2,9,33,1,21,28,24,22,10,20,34,9,5,23,2
hbp1,,NM_001024431.1,110,143,115,25,104,150,229,246,151,1,172,27747,33,5592,154,67,58528,44,61,54942,72,74,181,38
her9,,NM_131873.1,57,84,46,13,32176,101,93982,33518,79,1,27548,51572,20,47749,60882,34,52398,29,29,40255,41,34,30328,16
hmx1,,NM_001113526.1,4,1,1,1,7,1,11,4,1,1,1,4,1,6,1,2,7,1,1,1,104639,2,1,1
hmx4,,NM_001045371.1,48,58,49,12,70,77,129,148,54,2,70,55163,1770,83,64046,28,73,23,38,85102,9500,52,85185,23
id2a,,NM_201291.1,59178,53655,37,12,247,61,159305,57275,48,1,51,51986,14,51405,126568,57,562,19,26166,59747,31,37,80960,20
impdh1b,,NM_001014369.2,45,55,35,5479,86,55,145813,83247,47,1,57,146,11,57493,180022,25,125,18,29,143,40,73,58,9
kita,,NM_131053.1,8,1,1,1,7,1,12,5,1,2,1,5,1,9,1,1,5,1,1,1,19,1,5,1
ltk,,XM_005158786.2,52,24,37,4,58,21,54,51,29,1,13,46,3,29,52,38,31,12,35,50,28,7,33,6
mbpa,,XM_002665557.1,35,14,20,1,39,12,33,39,17,1,10,25,1,12,28,20,15,4,21,26,20,8,19,5
mc1r,,NM_180970.1,19,15,1,1,15,1,10,24,1,1,1,67,1,28,7,5,8,1,1,56,2,1,7,1
mitfa,,NM_130923.1,14,4,1,1,13,1,6,59046,1,1,1,56,1,16,2,11,3,1,1,47790,10,1,3,1
mlphb,,NM_001079679.1,14,1,1,1,11,1,32,4,1,2,1,15,1,20,1,1,16,1,1,1,9,1,2,1
mycl1a,,NM_212937.1,167171,96546,2,1,99291,1,5,72618,1,2,1,179937,1852,110847,36865,51,2,1,1,52687,4,1,5,1
myo5aa,,XM_009293794.1,14,7,1,1,16,1,7,30,1,1,1,52,1,18,1,6,7,1,1,55,2,1,3,1
oca2,,XM_690715.7,11,1,1,1,11,1,20,2,1,1,1,5,1,11,1,1,12,1,1,1,8,1,3,1
otx2,,NM_131251.1,33,15,1,3,51613,1,8,25,2,1,1,228706,1,29,11,9,3,1,1,49767,9,1,3,1
pax3_v2,,XM_005163543.2,11,6,1,1,14,1,2,29,1,1,1,17893,1,16,1,12,10,2,1,44,5,1,2,1
pax7a,,NM_131326.1,28,12,20,1,86975,9,34,31,24,1,6,19,3,17,24,19,18,4,20,24,10,4,8,4
pax7b,,NM_001146149.1,50,30,33,4,48,19,69,63,36,1,22,46,4,39,47,27,35,25,43,33,36774,13,27,8
phox2b,,NM_001014818.1,41,68,48,15,85,59,287,193,53,1,71,120,17,111,244,24,96,15,32,87,37,47,69,9
pnp4a,,NM_001002102.1,51,71,43,9,55,72,91,125,54,1,62,125,17,65,94,12,39,29,25,83,34,30,73,15
rpl13,,NM_198143.1,235516,122424,154669,6149,209945,76581,282318,277884,171633,5,74960,236087,11971,153205,220038,174768,191918,60696,176945,195541,116802,42922,154596,22801
