Gene Name,Annotation,Accession #,Class Name,20160504_bath study 18hpf plate 2 13-24_ 13_01.RCC,20160504_bath study 18hpf plate 2 13-24_ 14_02.RCC,20160504_bath study 18hpf plate 2 13-24_ 15_03.RCC,20160504_bath study 18hpf plate 2 13-24_ 16_04.RCC,20160504_bath study 18hpf plate 2 13-24_ 17_05.RCC,20160504_bath study 18hpf plate 2 13-24_ 18_06.RCC,20160504_bath study 18hpf plate 2 13-24_ 19_07.RCC,20160504_bath study 18hpf plate 2 13-24_ 20_08.RCC,20160504_bath study 18hpf plate 2 13-24_ 21_09.RCC,20160504_bath study 18hpf plate 2 13-24_ 22_10.RCC,20160504_bath study 18hpf plate 2 13-24_ 23_11.RCC,20160504_bath study 18hpf plate 2 13-24_24_12.RCC,20160504_bath study 18hpf plate2_ 10 _10.RCC,20160504_bath study 18hpf plate2_ 11_11.RCC,20160504_bath study 18hpf plate2_ 12_12.RCC,20160504_bath study 18hpf plate2_ 1_01.RCC,20160504_bath study 18hpf plate2_ 2_02.RCC,20160504_bath study 18hpf plate2_ 3_03.RCC,20160504_bath study 18hpf plate2_ 4_04.RCC,20160504_bath study 18hpf plate2_ 5_05.RCC,20160504_bath study 18hpf plate2_ 6_06.RCC,20160504_bath study 18hpf plate2_ 7_07.RCC,20160504_bath study 18hpf plate2_ 8_08.RCC,20160504_bath study 18hpf plate2_ 9_09.RCC,20160510_bath study 18hpf plate 2 25-36_ 30_06.RCC,20160510_bath study 18hpf plate 2 25-36_ 31_07.RCC,20160510_bath study 18hpf plate 2 25-36_ 32_08.RCC,20160510_bath study 18hpf plate 2 25-36_ 33_09.RCC,20160510_bath study 18hpf plate 2 25-36_ 34 10.RCC,20160510_bath study 18hpf plate 2 25-36_ 35_11.RCC,20160510_bath study 18hpf plate 2 25-36_25_01.RCC,20160510_bath study 18hpf plate 2 25-36_26_02.RCC,20160510_bath study 18hpf plate 2 25-36_27_03.RCC,20160510_bath study 18hpf plate 2 25-36_28_04.RCC,20160510_bath study 18hpf plate 2 25-36_29_05.RCC,20160510_bath study 18hpf plate 2 25-36_36_12.RCC,20160513_bath study 18hpf plate 2 37-48_ 42_06.RCC,20160513_bath study 18hpf plate 2 37-48_37_01.RCC,20160513_bath study 18hpf plate 2 37-48_38_02.RCC,20160513_bath study 18hpf plate 2 37-48_39_03.RCC,20160513_bath study 18hpf plate 2 37-48_40_04.RCC,20160513_bath study 18hpf plate 2 37-48_41_05.RCC,20160513_bath study 18hpf plate 2 37-48_43_07.RCC,20160513_bath study 18hpf plate 2 37-48_44_08.RCC,20160513_bath study 18hpf plate 2 37-48_45_09.RCC,20160513_bath study 18hpf plate 2 37-48_46_10.RCC,20160513_bath study 18hpf plate 2 37-48_47_11.RCC,20160513_bath study 18hpf plate 2 37-48_48_12.RCC
,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Kanamycin Pos,,Sub_Kan.1,Endogenous,163885,273669,183569,282724,190746,205121,199216,200528,186951,165584,214452,306501,288909,189533,321195,233229,300642,341300,318423,284478,220916,264509,219120,258164,216259,309295,225708,195655,211549,285239,336391,198687,221783,323290,170552,266808,246628,181865,209000,163465,147180,341304,201307,226377,244343,192868,295842,367942
alx4b,,NM_001089357.1,Endogenous,31,63409,39628,78,29753,137,6268,72,44104,57,35,5707,12274,38144,65,59,54,26371,2138,33023,25062,92907,187,168,48,61,9507,30,46,7625,65,21645,16447,70,35,4242,133,20947,100,12590,67,98,67382,1750,19068,47,23655,79407
csf1r,,NM_131672.1,Endogenous,1,4,10,4,5,7,16,3,7,12,4,1,3,16,3,8,1,2,1,3,12,13,1,11,1,1,13,5,1,3,7,2,4,1,2,11,14,8,1,15,34,1,12,1,16,1,11,3
dpf3,,NM_001111169.1,Endogenous,1,6,18,8,19,17,35,11,14,22,4,1,15,30,11,17,1,3,5,4,10,19,1,9,1,1,24,5,5,1,12,1,8,1,4,14,28,19,2,38,58,1,16,1,27,1,17,10
ednrba,,NM_131197.1,Endogenous,3,3818,2852,54702,149,771,13,146,12852,22,4,73317,64925,52961,15,811,5,42653,8,30014,64426,38366,41,15502,2,1,9781,4,19,23,110,10,16,11,13650,184,81785,53677,136,15902,49701,22,63061,4,5,9033,56005,1517
ets1a,,NM_001017558.1,Endogenous,2792,17,20,3,31,23,14,27897,29,42,5,5,31,59763,35,27,16,5,10,15,10,25,16,6,17,8,15,13,3,8,19,5,14,8,22,30,19,17,12,33,54,23,22,9,19,1,34,40
fgfr3_v2,,NM_131606.1,Endogenous,5,17,20,11,19,16,7,10,25,15,4,16,34,82402,24,16,13,8,7,21,21,5207,13,12,9,9,9,13,7,12,25,5,16,7,20,24,15,32,10,30,84,23,20,5,25,1,25,30
foxd3,,NM_131290.1,Endogenous,1,17691,95444,4,27335,88264,95531,10,58870,103595,1388,1709,3687,73276,92898,38928,24,85,5,3735,102089,69080,44,103077,1,1,28,29625,25595,4,7,20481,52336,1,42725,33343,20,43400,633,140896,136277,1,3003,132,36547,2400,12,49
foxg1b,,NM_212914.1,Endogenous,47019,40012,88316,36,45,54299,11013,251,80623,85734,16,30,1215,6437,1133,24853,33175,2266,34,42,37,10428,34,29594,24,37,94116,38,30,36,45,31,42,23,13,38,166204,72007,144,34154,41782,29,102186,20088,189,17,54281,86
