Gene Name,Annotation,Accession #,Class Name,20160525_bath study 21 hpf -07-04-16 samples 1-12_ 10 _10.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 11_11.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 12_12.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 1_01.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 2_02.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 3_03.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 4_04.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 5_05.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 6_06.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 7_07.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 8_08.RCC,20160525_bath study 21 hpf -07- samples 1-12_ 9_09.RCC
,,,,21,21,21,21,21,21,21,21,21,21,21,21
Kanamycin Pos,,Sub_Kan.1,Endogenous,504041,384266,608128,436729,642584,700014,604112,763075,640748,535330,539501,642229
alx4b,,NM_001089357.1,Endogenous,48056,34192,261,219,231,235,239,232,275,222,206,199
csf1r,,NM_131672.1,Endogenous,12,24,11,1,2,1,21,1,3,27,40,13
dpf3,,NM_001111169.1,Endogenous,17,47,8,2,4,1,54503,7,843,64,51,8
ednrba,,NM_131197.1,Endogenous,25032,16722,73,72,70,58,45,64,69,14263,51,52
ets1a,,NM_001017558.1,Endogenous,45212,72799,61641,61334,27,26406,18,24,2,36,37240,13
fgfr3_v2,,NM_131606.1,Endogenous,105,43541,144,13,16,49,96513,63,3,59,41,10
foxd3,,NM_131290.1,Endogenous,41863,43349,5,1,6,1,16,4,4,39,112469,9
foxg1b,,NM_212914.1,Endogenous,129,108,133,138,132,116,143,105,119,115,103,89
foxo1a,,NM_001077257.2,Endogenous,39251,45,33,22,16,30524,26,25,8,33,17,17
foxo1b,,NM_001082857.1,Endogenous,6042,27,22,1,9,3,8,2,4,11,15,6
foxp4,,NM_001199491.1,Endogenous,80902,79241,41761,96498,373,76660,200,113313,74595,268,29535,88871
gapdh,,NM_001115114.1,Endogenous,45,43,50,8018,56,44,35,53,40,54,49,37
hbp1,,NM_001024431.1,Endogenous,276,238,61921,259,245,254,101170,79070,265,218,177,256
her9,,NM_131873.1,Endogenous,29742,51974,49468,72116,22952,29237,132,33767,42482,50581,33274,67673
hmx1,,NM_001113526.1,Endogenous,10,14,6,1,9,1,8,4,6,16,21,11
hmx4,,NM_001045371.1,Endogenous,170,116,175,162,148,143,148,136,142,141,145,124
id2a,,NM_201291.1,Endogenous,25379,33254,67422,111217,77776,58740,125687,97,22604,109262,64948,99
impdh1b,,NM_001014369.2,Endogenous,127593,140962,150111,179092,206372,102647,218,198,129835,179761,144521,157
kita,,NM_131053.1,Endogenous,10,23,7,1,6,1,5,1,4,10,19,13
ltk,,XM_005158786.2,Endogenous,50,55451,63,72,89,59,47,76,62,86,62,67
mbpa,,XM_002665557.1,Endogenous,43,37,33,42,35,34,26,39,37,44,45,40
mc1r,,NM_180970.1,Endogenous,76,62,27,28,9,32,9650,34,9,30,38,17
mitfa,,NM_130923.1,Endogenous,49,52,39,16,16,15,51,36,5,63262,19,132
mlphb,,NM_001079679.1,Endogenous,23,15,19,1,11,1,4,1,16,11,21,22
mycl1a,,NM_212937.1,Endogenous,93086,160748,173800,15,11,64160,9720,92492,4,74671,61157,11
myo5aa,,XM_009293794.1,Endogenous,56,49,28,11,9,20,83125,24,10,28,26,15
oca2,,XM_690715.7,Endogenous,20,13,8,1,11,1,38742,2,8,20,17,15
otx2,,NM_131251.1,Endogenous,75790,80,70,8,15,21,33,30,8,37,31,7
pax3_v2,,XM_005163543.2,Endogenous,61,58,30,13,9,21,36,45,5,3041,10665,28
pax7a,,NM_131326.1,Endogenous,47,29,45,36,41,23,34,56,35,44,35,20
pax7b,,NM_001146149.1,Endogenous,59037,73,91,77,114,74,51,92,78,30970,100,58
phox2b,,NM_001014818.1,Endogenous,67837,268,282,322,297,226,125990,161,271,238,231,134
pnp4a,,NM_001002102.1,Endogenous,116,98,143,104,121,117,130,105,116,118,74,101
rpl13,,NM_198143.1,Endogenous,249411,206945,343891,303807,349425,304636,241915,370749,312670,261003,259298,273903
silva,,NM_001045330.1,Endogenous,10,14,11,1,10,1,17,1,8,1347,15,16
slc24a5,,NM_001030280.1,Endogenous,11,19,3,1,9,1,9,1,3,18,17,9
smad9,,NM_001004014.1,Endogenous,79,58,83,84,106245,59,1430,77,60779,122672,75937,75
snail2,,XR_661767.1,Endogenous,34755,109000,51,29,108381,13984,21,30,6,40985,23967,8
sox10,,NM_131875.1,Endogenous,28561,57713,35835,1,4,4,21,20254,6,43286,50981,29748
sox5,,NM_001033585.1,Endogenous,121,104,131,132,136,109,127,106,117,116,90,103
sox9b,,NM_131644.1,Endogenous,75810,1785,39390,1,59410,1,13,6,61349,12,25,98437
tfap2a,,NM_176859.2,Endogenous,70249,52150,37233,44707,13,8614,45,97587,30025,35,35869,68819
tfap2e,,NM_200821.1,Endogenous,3955,34,43,48,49,37,30,51,49,66,45,49
tfec,,NM_001030105.2,Endogenous,21,109551,13,1,1,1,28,10,7,163156,120240,13
tyr,,NM_131013.1,Endogenous,14,14,2,1,9061,1,9,1,5,10,24,6
tyrp1b,,NM_001002749.1,Endogenous,82,57,95,69,142,64,66,76,119,159,117,52
NEG_A,,ERCC_00096.1,Negative,30,25,44,51,47,34,21,21,38,44,52,31
NEG_B,,ERCC_00041.1,Negative,17,10,13,19,20,13,9,11,23,15,14,15
NEG_C,,ERCC_00019.1,Negative,3,6,1,1,3,1,4,1,4,4,3,3
NEG_D,,ERCC_00076.1,Negative,13,29,31,1,3,5,5,12,2,9,36,4
NEG_E,,ERCC_00098.1,Negative,33,33,40,39,28,33,33,29,26,28,35,22
NEG_F,,ERCC_00126.1,Negative,33,38,64,42,63,45,49,54,52,39,32,48
NEG_G,,ERCC_00144.1,Negative,10,13,5,5,1,5,4,2,1,8,6,4
NEG_H,,ERCC_00154.1,Negative,21,18,21,6,12,23,16,17,13,18,30,11
POS_A,,ERCC_00117.1,Positive,22837,22393,24972,29485,28743,32110,27136,31194,28536,27645,30516,34155
POS_B,,ERCC_00112.1,Positive,6566,6251,7344,9102,8268,9538,8011,9059,8779,7910,8921,9548
POS_C,,ERCC_00002.1,Positive,1880,1762,2163,2531,2385,2710,2348,2563,2524,2297,2576,2661
POS_D,,ERCC_00092.1,Positive,518,421,483,657,584,656,587,631,588,523,595,647
POS_E,,ERCC_00035.1,Positive,81,80,84,113,92,101,91,94,98,88,103,97
POS_F,,ERCC_00034.1,Positive,56,58,49,74,56,56,64,52,61,58,63,60
