Gene Name,Accession #,Class Name,20160525_bath study 21hpf  22_03_16  1-12_ 10 _10.RCC,20160525_bath study 21hpf -03-  1-12_ 11_11.RCC,20160525_bath study 21hpf -03-  1-12_ 12_12.RCC,20160525_bath study 21hpf -03-  1-12_ 1_01.RCC,20160525_bath study 21hpf -03-  1-12_ 2_02.RCC,20160525_bath study 21hpf -03-  1-12_ 3_03.RCC,20160525_bath study 21hpf -03-  1-12_ 4_04.RCC,20160525_bath study 21hpf -03-  1-12_ 5_05.RCC,20160525_bath study 21hpf -03-  1-12_ 6_06.RCC,20160525_bath study 21hpf -03-  1-12_ 7_07.RCC,20160525_bath study 21hpf -03-  1-12_ 8_08.RCC,20160525_bath study 21hpf -03-  1-12_ 9_09.RCC
,,,21,21,21,21,21,21,21,21,21,21,21,21
Kanamycin Pos,Sub_Kan.1,Endogenous,368085,397032,394870,185943,241570,202267,414428,309333,386595,334298,161383,821170
alx4b,NM_001089357.1,Endogenous,73673,112533,112,46,95,95,131,125,106,80,41,215
csf1r,NM_131672.1,Endogenous,19,26,1,1,1,4,1,1,1,1,1,1
dpf3,NM_001111169.1,Endogenous,30,62,1,1,1,15,1,1,1,1,1,1
ednrba,NM_131197.1,Endogenous,35494,48292,32,3,45,55,1993,26,27,68,1,35
ets1a,NM_001017558.1,Endogenous,1,1,12,1,1,1,1,17,1,1,9,1
fgfr3_v2,NM_131606.1,Endogenous,1,1,6,1,1,1,81,123442,1,1,12,1
foxd3,NM_131290.1,Endogenous,22,43,1,1,1,17,1,1,1,1,1,1
foxg1b,NM_212914.1,Endogenous,157,108,56,16,44,59,63,49,53,55,21,94
foxo1a,NM_001077257.2,Endogenous,1,2,12,1,1,2,1,13,1,1,12,1
foxo1b,NM_001082857.1,Endogenous,16,25,1,1,2134,6,1,1,1,1,1,1
foxp4,NM_001199491.1,Endogenous,466,181,62,22,41906,45478,106,84157,45,44,10,116
gapdh,NM_001115114.1,Endogenous,57,83,31,3,31,37,16,20,23,41,1,29
hbp1,NM_001024431.1,Endogenous,194,215,125,42,96,85,145,112,115,105,47,229
her9,NM_131873.1,Endogenous,119,41260,68,34,22967,36626,34633,39367,11927,1347,26,156
hmx1,NM_001113526.1,Endogenous,13,21,1,1,2,6,1,1,1,1,1,1
hmx4,NM_001045371.1,Endogenous,190,112,58,35,59,19909,68,63,45,47,27,128
id2a,NM_201291.1,Endogenous,67955,81094,12923,8109,50856,23235,33,52,37,3481,23,82
impdh1b,NM_001014369.2,Endogenous,327418,95042,42,17,28153,75126,50,97,43,36,26,85
kita,NM_131053.1,Endogenous,13,20,1,1,1,5,1,1,1,1,1,1
ltk,XM_005158786.2,Endogenous,89519,67523,37,1,39,54,24,51,26,72,1,48
mbpa,XM_002665557.1,Endogenous,55,87,24,2,18,34,12,24,10,40,1,33
