Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160527_bath study 48hpf plate1 1-12_ 10 _10.RCC,20160527_bath study 48hpf plate1 1-12_ 11_11.RCC,20160527_bath study 48hpf plate1 1-12_ 12_12.RCC,20160527_bath study 48hpf plate1 1-12_ 1_01.RCC,20160527_bath study 48hpf plate1 1-12_ 2_02.RCC,20160527_bath study 48hpf plate1 1-12_ 3_03.RCC,20160527_bath study 48hpf plate1 1-12_ 4_04.RCC,20160527_bath study 48hpf plate1 1-12_ 5_05.RCC,20160527_bath study 48hpf plate1 1-12_ 6_06.RCC,20160527_bath study 48hpf plate1 1-12_ 7_07.RCC,20160527_bath study 48hpf plate1 1-12_ 8_08.RCC,20160527_bath study 48hpf plate1 1-12_ 9_09.RCC
,,,,,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,Endogenous,,467081,764141,708726,660117,342083,664294,749700,653223,778230,849270,381307,248602
alx4b,,NM_001089357.1,Endogenous,,172,213,175,213,104,177,193,147,198,177,57526,33251
csf1r,,NM_131672.1,Endogenous,,14,1,1,1,22,1,1,1,1,1,22,35
dpf3,,NM_001111169.1,Endogenous,,42016,1,2,1,37,1,2,1,1,1,27,66
ednrba,,NM_131197.1,Endogenous,,41,13,45,66,17046,24,52,12,46,19,13959,46742
ets1a,,NM_001017558.1,Endogenous,,20,1,1,2,19,1,8,1,2,1,19001,28
fgfr3_v2,,NM_131606.1,Endogenous,,101871,1,1,30503,30,1,4,1,1,1,49018,34
foxd3,,NM_131290.1,Endogenous,,9,1,1,1,126128,1,2,1,1,1,51319,50
foxg1b,,NM_212914.1,Endogenous,,124443,87,75,100,112898,80,105,55,79,109280,84,83
foxo1a,,NM_001077257.2,Endogenous,,47,1,1,2,30,1,5,1,1,1,25,57
foxo1b,,NM_001082857.1,Endogenous,,5,16174,8,1,23422,1,1,1,1,1,33,146
foxp4,,NM_001199491.1,Endogenous,,34030,69,72,93,110,69,98249,55,89,86,43268,170
gapdh,,NM_001115114.1,Endogenous,,27,12,27,36,20,6,1304,8,23,8,54,5544
hbp1,,NM_001024431.1,Endogenous,,178,229,204,248,114,223,247,188,218,223,182,155
her9,,NM_131873.1,Endogenous,,33333,40738,34513,75184,26325,52960,46794,98,32501,11741,29853,29592
hmx1,,NM_001113526.1,Endogenous,,2,3,4,1,26,1,1,1,1,1,107,217
