Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160602_bath 48hpf new 25-36_ 26_02.RCC,20160602_bath 48hpf new 25-36_ 34_10.RCC,20160602_bath 48hpf new 25-36_ 35_11.RCC,20160602_bath 48hpf new 25-36_ 36_12.RCC,20160602_bath 48hpf new 25-36_25_01.RCC,20160602_bath 48hpf new 25-36_27_03.RCC,20160602_bath 48hpf new 25-36_28_04.RCC,20160602_bath 48hpf new 25-36_29_05.RCC,20160602_bath 48hpf new 25-36_30_06.RCC,20160602_bath 48hpf new 25-36_31_07.RCC,20160602_bath 48hpf new 25-36_32_08.RCC,20160602_bath 48hpf new 25-36_33_09.RCC,20160602_bath study new 48hpf 13-24_ 13_01.RCC,20160602_bath study new 48hpf 13-24_ 14_02.RCC,20160602_bath study new 48hpf 13-24_ 15_03.RCC,20160602_bath study new 48hpf 13-24_ 16_04.RCC,20160602_bath study new 48hpf 13-24_ 17_05.RCC,20160602_bath study new 48hpf 13-24_ 18_06.RCC,20160602_bath study new 48hpf 13-24_ 19_07.RCC,20160602_bath study new 48hpf 13-24_ 20_08.RCC,20160602_bath study new 48hpf 13-24_ 21_09.RCC,20160602_bath study new 48hpf 13-24_ 22_10.RCC,20160602_bath study new 48hpf 13-24_ 23_11.RCC,20160602_bath study new 48hpf 13-24_ 24_12.RCC
,,,,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,Endogenous,,40859,396402,267842,342876,441373,185506,389000,402085,343552,409038,289131,264223,240720,285295,262138,281052,215141,208555,13312,232626,250476,239827,209733,241036
alx4b,,NM_001089357.1,Endogenous,,10,58632,71173,92,95,62,75,91,90,103,71614,95,58,71,64,42,54,41,1,67,47,39,57,45
csf1r,,NM_131672.1,Endogenous,,1,6,3,7,1,1,1,1,1,1,23,21,1,1,1,1,1,2,1,4,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,,1,3,3,8959,1,1,1,1,1,1,12253,21,1,1,3,1,1,3,1,7,1,1,1,1
ednrba,,NM_131197.1,Endogenous,,1,15596,22672,30,24,6441,12,15,12,24,23539,19235,5,9,7894,10,4,8,1,23,16,12,19,12
ets1a,,NM_001017558.1,Endogenous,,1,10582,1,4,1,2,1,1,1,12,8167,15,1,1,1,1,1,1,1,8,6,1,5,1
fgfr3_v2,,NM_131606.1,Endogenous,,1,2,1,28543,1,1,1,1,1,5,75,9,2,1,1,1,1,1,1,8,39013,1,6,1
foxd3,,NM_131290.1,Endogenous,,1,3,3,3,1,1,1,1,1,2,29037,22,1,1,5198,1,1,1,1,26651,1,1,1,1
foxg1b,,NM_212914.1,Endogenous,,5,80,91,32,57,30,50,36,36,44,123,53,28,33,39,21,21,30,1,30,26,18,41,22
foxo1a,,NM_001077257.2,Endogenous,,1,1,1,16,1,1,1,1,1,1,1328,16,3,1,2,1,1,1,1,4,9,1,2,1
foxo1b,,NM_001082857.1,Endogenous,,1,1,3,1,1,1,3528,1,5478,1,12,103,1,1,1,1,1,1,1,2,1,5951,2,1
foxp4,,NM_001199491.1,Endogenous,,4,270,301,43644,63,194,38,42,44,45,304,147,35,26,28,22,18,30,2,73,26,25,159,23
gapdh,,NM_001115114.1,Endogenous,,1,33,23,20,10,1,4,1,6,20,2110,42,3,5,11,9,3,7,1,19,9,10,10,14
hbp1,,NM_001024431.1,Endogenous,,14,152,139,98,126,67,97,88,104,130,158,89,85,72,58,51,60,48,1,85,81,55,79,66
her9,,NM_131873.1,Endogenous,,8,23215,79,37444,56,24,47,9275,26373,43,10319,39,21644,8895,10612,19,11947,28,1211,42,34,41,42,36
hmx1,,NM_001113526.1,Endogenous,,1,1,1,2,1,1,1,1,1,1,10,138,1,1,1,1,1,1,1,4,1,3,1,1
hmx4,,NM_001045371.1,Endogenous,,3,83,109,50,66,65,47,48,52,52,110,57,39,33,32,23,25,24,3,45,28,26,59,22
id2a,,NM_201291.1,Endogenous,,3,56287,66713,40,42249,14406,29128,42,18723,41516,50744,14367,29,13853,21,17,488,2410,1,33819,56164,18331,40,17114
impdh1b,,NM_001014369.2,Endogenous,,1,203296,243174,59,48,175715,26,34,35,39,194184,99341,26,808,20,13,20,15,1,64863,19,27,154512,23
kita,,NM_131053.1,Endogenous,,1,3,4,1,1,1,1,1,4,1,10,122212,1,1,1,1,1,1,1,2,1,1,1,1
ltk,,XM_005158786.2,Endogenous,,1,51341,39911,24,18,3,7,9,15,25,51633,37,3,5,14,10,5,10,1,27,15,21,24,14
mbpa,,XM_002665557.1,Endogenous,,1,40,24,21,11,2,9,3,11,15,54,29,2,2,3,2,2,4,1,18,14843,8,9,9
mc1r,,NM_180970.1,Endogenous,,1,1,1,7,1,1,1,1,1,13,11,17,1,1,2,1,1,1,1,10,8,1,14,1
mitfa,,NM_130923.1,Endogenous,,1,1,1,8,1,2,1,1,1,6,4,44229,1,1,1,1,1,1,1,7,28186,1,25717,1
mlphb,,NM_001079679.1,Endogenous,,1,2,1,1,1,1,1,1,1,1,8,106071,1,1,2,1,1,1,1,2,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,,1,3,1,78164,1,1,1,1,1,6,101280,8,2,1,1,1,1,1,1,12,22,1,2,1
myo5aa,,XM_009293794.1,Endogenous,,1,1,1,8,1,5865,1,1,1,5,6,36231,2,1,2,1,1,1,1,9,16,1,6,1
oca2,,XM_690715.7,Endogenous,,1,1,1,1,1,1,1,1,1,1,11,102273,1,1,1,1,1,1,1,5,1,1,1,1
otx2,,NM_131251.1,Endogenous,,1,7,7,20,1,1,1,1,1,4,31,16,1,1,1,1,1,1,1,48824,7,1,5,1
pax3_v2,,XM_005163543.2,Endogenous,,1,2,1,7,1,1,1,1,1,11,13,18,3,1,4,1,1,1,1,5,13,1,1,1
pax7a,,NM_131326.1,Endogenous,,1,62850,29,17,14,11680,5,5,9,10,80414,40,1,3,7,9,4,8,1,11,11,6,12,12
pax7b,,NM_001146149.1,Endogenous,,1,60,36,33,25,1,13,16,8,20,57,104,5,6,8,13,9,8,1,25,18,16,9822,19
phox2b,,NM_001014818.1,Endogenous,,5,240,256,63,50,154,35,32,35,51,280,132,21,24,16,21,24,16,1,94,24,29,174,27
pnp4a,,NM_001002102.1,Endogenous,,5,725,122179,41,55,440,33,26,44,48,130297,47840,22,21,11,14,19,22,1,34,24,22,24164,26
rpl13,,NM_198143.1,Endogenous,,2,163723,124317,169358,98750,6525,78499,65321,60682,126260,149850,128884,24409,42665,55790,91626,30287,43330,13750,133066,71084,94681,76837,90772
silva,,NM_001045330.1,Endogenous,,1,2,1,1,1,1,1,1,1,1,11,120,1,1,1,1,1,1,1,4,1,2,1,1
slc24a5,,NM_001030280.1,Endogenous,,1,2,1,1,1,1,1,1,1,1,16,113883,1,1,1,1,1,1,1,1,1,1,1,1
smad9,,NM_001004014.1,Endogenous,,1,36,27,34,19,4,9,13,5,19,66,115,2,8,6,14,3,11,1,30,15,25,22,10
snail2,,XR_661767.1,Endogenous,,1,2,1,7,1,1,1,1,1,22170,18,10,1,1,1,1,1,1,1,5,4,1,4,1
sox10,,NM_131875.1,Endogenous,,1,23344,773,5,1,1207,1,1,3,1,28030,22,1,1,3,1,1,14204,1,10226,1,1,1,2
sox5,,NM_001033585.1,Endogenous,,5,90,161,47,55,30,46,36,33,57,156,71,35,25,29,25,27,20,1,49,26,30,60,34
sox9b,,NM_131644.1,Endogenous,,1,1,3,3,1,1,1,1,1,1,17,73,1,1,3748,1,1,1,1,4070,2,1,1,2
tfap2a,,NM_176859.2,Endogenous,,1,1,1,10,1,1,1,1,1,27696,13,24,10448,1,7883,1,1,1,1,6,9656,1,10,2
tfap2e,,NM_200821.1,Endogenous,,1,45,39,12,12,2,12,6,3,13,42,6276,4,6,7386,10,1,8,1,18,15,17,11,12
tfec,,NM_001030105.2,Endogenous,,1,9,30278,1,1,1,1,1,1,2,90717,30,1,1,1,1,1,2,1,11,1,1,1,1
tyr,,NM_131013.1,Endogenous,,1,1,3,1,1,156,3,1,1,1,4,47381,1,1,6177,1,1,2,1,1,1,1,1,1
tyrp1b,,NM_001002749.1,Endogenous,,1,53,33,23,26,2,10,10,13,31,43,283954,8,4,18,15,5,12,1,24,11,9,16,20
NEG_A,,ERCC_00096.1,Negative,,4,17,22,12,13,18,8,4,9,8,28,24,4,7,1,2,6,3,1,14,5,7,20,1
NEG_B,,ERCC_00041.1,Negative,,1,13,7,4,4,2,4,3,5,4,13,8,3,2,2,5,2,3,1,6,1,2,3,8
NEG_C,,ERCC_00019.1,Negative,,2,1,1,2,1,1,1,1,1,2,1,11,1,1,1,1,1,1,1,2,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,,1,4,1,1,1,1,1,1,1,1,14,9,1,1,1,1,1,1,1,1,2,1,1,1
NEG_E,,ERCC_00098.1,Negative,,4,19,20,4,4,18,8,20,9,10,35,11,4,3,7,1,7,3,1,5,15,7,7,9
NEG_F,,ERCC_00126.1,Negative,,1,26,21,22,13,3,8,7,13,16,25,33,4,7,8,13,8,9,1,22,7,13,14,14
NEG_G,,ERCC_00144.1,Negative,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1
NEG_H,,ERCC_00154.1,Negative,,11,10,2,10,4,8,12,6,4,9,11,10,4,5,3,5,4,6,1,6,5,6,3,2
POS_A,,ERCC_00117.1,Positive,,14337,16242,11794,15973,19095,17188,17252,15447,15534,16198,11643,11255,10695,10550,9637,13147,8329,9827,32,10002,9382,9160,7833,11053
POS_B,,ERCC_00112.1,Positive,,3974,4700,3276,4574,5479,4960,5020,4432,4368,4884,3653,3242,3438,3158,3058,3681,2537,3049,24,3021,2804,2855,2462,3455
POS_C,,ERCC_00002.1,Positive,,1139,1354,1052,1391,1575,1507,1486,1223,1308,1348,1051,936,941,979,914,911,774,939,1,958,835,816,754,1024
POS_D,,ERCC_00092.1,Positive,,270,332,223,271,352,332,342,291,321,333,284,224,222,226,195,265,171,204,4,218,194,205,174,245
POS_E,,ERCC_00035.1,Positive,,32,68,32,51,52,44,41,43,54,47,47,32,31,35,23,43,22,27,1,35,26,25,23,34
POS_F,,ERCC_00034.1,Positive,,24,42,62,27,34,37,30,24,28,35,83,29,10,27,17,14,13,21,2,25,25,16,23,22
