Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160610_bath study 36hpf 26-06-16 strip1_ 1_01.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 2_02.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 3_03.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 4_04.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 5_05.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 6_06.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 7_07.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 8_08.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 9_09.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 10 _10.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 11_11.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 12_12.RCC
,,,,,20160610_bath study 36hpf 26-06-16 strip1_ 1_01.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 2_02.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 3_03.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 4_04.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 5_05.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 6_06.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 7_07.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 8_08.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 9_09.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 10 _10.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 11_11.RCC,20160610_bath study 36hpf 26-06-16 strip1_ 12_12.RCC
Kanamycin Pos,,Sub_Kan.1,Endogenous,,142882,214199,106433,123026,173913,113060,77071,88725,79552,98611,85964,190960
alx4b,,NM_001089357.1,Endogenous,,36989,34473,26607,48950,34,20146,21739,21,31926,23910,25989,27091
csf1r,,NM_131672.1,Endogenous,,10,5,10,7,8,9,7,4,2,3,1,2
dpf3,,NM_001111169.1,Endogenous,,11987,13,17,25,15517,17,19,18,13,11,6,4
ednrba,,NM_131197.1,Endogenous,,21222,42280,17629,47655,26939,25797,22263,25455,24856,25392,18,27689
ets1a,,NM_001017558.1,Endogenous,,31,15233,21,30083,35886,20185,8,22,18,23,2,34450
fgfr3_v2,,NM_131606.1,Endogenous,,29,35454,41,27,5,16,3,24,11,12,4,4
foxd3,,NM_131290.1,Endogenous,,48831,61395,49804,55653,40156,42165,47346,36206,49231,37927,39875,10
foxg1b,,NM_212914.1,Endogenous,,29,27,28849,51615,24,23810,32328,37438,42573,54146,9,34
foxo1a,,NM_001077257.2,Endogenous,,49928,15,11463,17,16,14176,1771,12,5212,4956,4,11972
foxo1b,,NM_001082857.1,Endogenous,,8260,504,8535,6830,6749,8162,6028,9,517,6294,4,1510
foxp4,,NM_001199491.1,Endogenous,,33224,38280,34576,96,32,28689,38,29,10929,72,14,43647
gapdh,,NM_001115114.1,Endogenous,,7143,24599,2313,1909,11,982,239,44,1172,2942,449,2119
hbp1,,NM_001024431.1,Endogenous,,78,214,87,43,49519,31,34,30,42,34,21,1248
