Gene Name,Annotation,Accession #,Class Name,20160727_bath study 72hpf stripA 15-04-16_ _01.RCC,20160727_bath study 72hpf stripA 15-04-16_ _02.RCC,20160727_bath study 72hpf stripA 15-04-16_ _03.RCC,20160727_bath study 72hpf stripA 15-04-16_ _04.RCC,20160727_bath study 72hpf stripA 15-04-16_ _05.RCC,20160727_bath study 72hpf stripA 15-04-16_ _06.RCC,20160727_bath study 72hpf stripA 15-04-16_ _07.RCC,20160727_bath study 72hpf stripA 15-04-16_ _08.RCC,20160727_bath study 72hpf stripA 15-04-16_ _09.RCC,20160727_bath study 72hpf stripA 15-04-16_ _10.RCC,20160727_bath study 72hpf stripA 15-04-16_ _11.RCC,20160727_bath study 72hpf stripA 15-04-16_ _12.RCC
,,,,72,72,72,72,72,72,72,72,72,72,72,72
Kanamycin Pos,,Sub_Kan.1,Endogenous,88983,86959,85061,87473,37633,10104,50283,76065,57648,40120,80359,81151
alx4b,,NM_001089357.1,Endogenous,24413,28613,21060,15317,4901,19986,10,17016,8,13786,7,6
csf1r,,NM_131672.1,Endogenous,1,5,3,1,1,1,1,1,1,3,1,1
dpf3,,NM_001111169.1,Endogenous,1,10,9,1,1,1,5,1,1,4,1,1
ednrba,,NM_131197.1,Endogenous,13669,4,24086,2,3,5214,23494,1,5136,2,3,15721
ets1a,,NM_001017558.1,Endogenous,3,4,10,2,1,1,1,1,2,2,1,1
fgfr3_v2,,NM_131606.1,Endogenous,7,7,6,2,1,1,1,1,1,6,1,1
foxd3,,NM_131290.1,Endogenous,1,4,41817,1,1,9817,1,1,9137,31484,1,133
foxg1b,,NM_212914.1,Endogenous,12,17,23988,11,2,2,10618,25018,17,32204,12,5
foxo1a,,NM_001077257.2,Endogenous,4,9,23544,2,1,1,1,1,2,2894,1,1
foxo1b,,NM_001082857.1,Endogenous,6885,6840,6801,2,1,1,1,1,3389,1,1,1
foxp4,,NM_001199491.1,Endogenous,6,17240,10,8,2,2,11,3,9,16,7,18485
gapdh,,NM_001115114.1,Endogenous,6,6,26310,18,3,1,3,1,711,2,1,4
hbp1,,NM_001024431.1,Endogenous,17,29,34,35,11,3,14,20,60,15,10,11
her9,,NM_131873.1,Endogenous,32593,21121,16965,9587,3414,1,18341,13555,14588,8,2,352
hmx1,,NM_001113526.1,Endogenous,1,2108,41942,22118,6444,1,81,1,20923,1,1,3
hmx4,,NM_001045371.1,Endogenous,1759,37103,32402,2039,504,1,10103,10,19991,19782,4,28421
id2a,,NM_201291.1,Endogenous,4,42695,19165,26858,8757,1,24375,3,18990,11,24576,27930
impdh1b,,NM_001014369.2,Endogenous,8,19752,18,6810,1958,5269,5,8,11058,19480,5,18485
kita,,NM_131053.1,Endogenous,1,5,19148,4,1,1,1,1,2,1,1,1
ltk,,XM_005158786.2,Endogenous,12,8,4398,2259,634,2056,13,4,5,4989,2,470
mbpa,,XM_002665557.1,Endogenous,3,20166,18826,83,22,2,15467,2,4,1,2,5334
mc1r,,NM_180970.1,Endogenous,37767,51545,16232,6,4,42,46,1,2,13218,1,20467
mitfa,,NM_130923.1,Endogenous,3,11,4687,3800,896,1186,1,1,3,3,1,3379
mlphb,,NM_001079679.1,Endogenous,1,5,1,1,1,1,1,1,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,4,3,9,1,1,1,1,1,5,2,1,1
