Gene Name,Annotation,Accession #,Class Name,20160727_bath study 72hpf stripB 15-04-16_  _01.RCC,20160727_bath study 72hpf stripB 15-04-16_ _02.RCC,20160727_bath study 72hpf stripB 15-04-16_ _03.RCC,20160727_bath study 72hpf stripB 15-04-16_ _04.RCC,20160727_bath study 72hpf stripB 15-04-16_ _05.RCC,20160727_bath study 72hpf stripB 15-04-16_ _06.RCC,20160727_bath study 72hpf stripB 15-04-16_ _07.RCC,20160727_bath study 72hpf stripB 15-04-16_ _08.RCC,20160727_bath study 72hpf stripB 15-04-16_ _09.RCC,20160727_bath study 72hpf stripB 15-04-16_ _10.RCC,20160727_bath study 72hpf stripB 15-04-16_ _11.RCC,20160727_bath study 72hpf stripB 15-04-16_ _12.RCC
,,,,72,72,72,72,72,72,72,72,72,72,72,72
Kanamycin Pos,,Sub_Kan.1,Endogenous,150693,204792,118347,107337,153818,108210,150243,126112,147474,212898,163641,133602
alx4b,,NM_001089357.1,Endogenous,33,45,36588,27925,29,30580,34560,18,210,34217,31935,24438
csf1r,,NM_131672.1,Endogenous,3,8,7,17,1,9,3,1,1,11,1,6
dpf3,,NM_001111169.1,Endogenous,1,15,6,12,1,17,5,1,6,19,4,7
ednrba,,NM_131197.1,Endogenous,12,18,11,44496,21464,39483,15572,7,710,25,22,35813
ets1a,,NM_001017558.1,Endogenous,1,2,6,24,11,21,1,1,5,9,3,7
fgfr3_v2,,NM_131606.1,Endogenous,1,3,7,20,5,21,1,1,5,9,1,6
foxd3,,NM_131290.1,Endogenous,1,8,89584,70754,1,46432,1,1,46263,51033,49372,41516
foxg1b,,NM_212914.1,Endogenous,135,18,25,32778,15,534,3723,9,17,34,18,27
foxo1a,,NM_001077257.2,Endogenous,233,3,3,1315,137,26092,1,1,9,121,256,6
foxo1b,,NM_001082857.1,Endogenous,8,7,7,10687,1,9822,5977,1,10613,14,8227,6310
foxp4,,NM_001199491.1,Endogenous,31,34,41,59,24944,44,37,5,27,31,50,45
gapdh,,NM_001115114.1,Endogenous,12,23,12,1410,9,2880,949,1,2047,18,22,11
hbp1,,NM_001024431.1,Endogenous,42,45,41,40,43,362,36,14,55,338,416,35
her9,,NM_131873.1,Endogenous,28893,13789,28482,29103,18240,37226,17672,7,23111,30690,16872,38457
hmx1,,NM_001113526.1,Endogenous,4,56759,6,71376,1,68841,52574,1,47395,72086,3,54239
hmx4,,NM_001045371.1,Endogenous,25,52755,22,51077,2357,51746,44682,14,33418,31195,40963,24774
id2a,,NM_201291.1,Endogenous,25961,56021,79876,72392,16,39754,32,8,45018,28306,5217,57146
impdh1b,,NM_001014369.2,Endogenous,35780,38,30435,38455,315,26838,30455,5,28341,2297,28566,21896
kita,,NM_131053.1,Endogenous,31751,9,1308,31050,88,37280,40895,1,25102,20741,63,22466
ltk,,XM_005158786.2,Endogenous,18,28,16,6701,7310,5592,5870,2,29,8819,17,3499
mbpa,,XM_002665557.1,Endogenous,8,42552,9,44041,10,48401,5,3,20087,12,33088,32709
mc1r,,NM_180970.1,Endogenous,1,43202,5,49200,44770,62167,1,1,33270,42650,822,43063
mitfa,,NM_130923.1,Endogenous,1,6884,7,20410,11,486,1,1,7736,10,6464,7
mlphb,,NM_001079679.1,Endogenous,1,5,3,7,2,9,6,1,2,6,5,6
mycl1a,,NM_212937.1,Endogenous,1,2,11,16,13,16,1,1,4,3,1,10
myo5aa,,XM_009293794.1,Endogenous,1,5,5,13,11,22,1,1,4,12,3,8
oca2,,XM_690715.7,Endogenous,4,4,4,8,1,5,4,1,2,8,4,5
otx2,,NM_131251.1,Endogenous,1,3,61237,73382,9,86131,1,1,6,6547,1,44757
pax3_v2,,XM_005163543.2,Endogenous,1,10,8,30,103,48,35,1,18,22,1,127
pax7a,,NM_131326.1,Endogenous,6,14,884,190,10,181,378,1,6,21,16,9
pax7b,,NM_001146149.1,Endogenous,15,42911,16,42430,21,32441,32904,3,26354,33172,30204,18223
phox2b,,NM_001014818.1,Endogenous,35,44618,33,47137,20,39900,39,9,27,34772,33643,17056
pnp4a,,NM_001002102.1,Endogenous,12,20,18,25,15,19,13,7,15,27,16,16
rpl13,,NM_198143.1,Endogenous,144431,139042,127169,89709,113444,118939,27706,29949,122483,185014,130805,114312
silva,,NM_001045330.1,Endogenous,2,30,2,35,1,6,2,1,3,6,3,1
slc24a5,,NM_001030280.1,Endogenous,2,21,2,36,1,27,25,1,24,23,5,20
smad9,,NM_001004014.1,Endogenous,12,12,12,27,24,18,12,1,19,21,25,31
snail2,,XR_661767.1,Endogenous,1,2,2,42144,27074,25007,1,1,4,19849,2,7
sox10,,NM_131875.1,Endogenous,2,8,4,12277,2,11097,6,1,10,10,12146,7917
sox5,,NM_001033585.1,Endogenous,20,17,26,29,15,25,16,7,16,26,24,10
sox9b,,NM_131644.1,Endogenous,1,6,2,12,1,5,5,1,10,8,1,6
tfap2a,,NM_176859.2,Endogenous,1,8,7,29180,45035,39104,1,1,31640,32758,17,17700
tfap2e,,NM_200821.1,Endogenous,9,12,8,20,15,18,6,1,7,21,17,13
tfec,,NM_001030105.2,Endogenous,13,75598,12,48547,8574,54853,4,1,6,38840,11,3466
tyr,,NM_131013.1,Endogenous,15835,7,24438,11583,1,13746,2348,1,8,12,3,10
