Gene Name,Annotation,Accession #,Class Name,20160809_bath study 21hpf 06-04-16 samples 13-24 _01.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _02.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _03.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _04.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _05.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _06.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _07.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _08.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _09.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _10.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _11.RCC,20160809_bath study 21hpf 06-04-16 samples 13-24 _12.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_01.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_02.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_03.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_04.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_05.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_06.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_07.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_08.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_09.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_10.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_11.RCC,20160809_bath study 21hpf 06-04-16 samples 25-36_12.RCC
,,,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanamycin Pos,,Sub_Kan.1,Endogenous,172861,207787,164151,171198,202092,67407,113771,135526,118553,123242,131392,143320,266449,162915,301663,305982,250054,274422,236120,238835,320431,284904,372436,212120
alx4b,,NM_001089357.1,Endogenous,62,103,68,53,82,18,30,29,34,7126,42,57,65,29,91,83,72,92,58,17931,97,80,105,75
csf1r,,NM_131672.1,Endogenous,2,10,2,3,7,1,1,1,2,1,1,1,7,1,2,1,2,6,1,1,1,3,1,5
dpf3,,NM_001111169.1,Endogenous,5,9441,1,2,148,1,1,3632,2,1,1,1,7,1,3,2,8,13,1,1,1,6,3,19
ednrba,,NM_131197.1,Endogenous,19,39,29,14,15,5,6,6,12,12,29,20,7,12,34,29,23425,26,31,23,34,23,31,1565
ets1a,,NM_001017558.1,Endogenous,18248,22146,16921,2,9778,1,1,1,1,2,19130,4800,2,4,14178,3,5,16050,16894,7361,5,9896,21545,12235
fgfr3_v2,,NM_131606.1,Endogenous,18499,48419,17771,1,1,1,1,5,1,2,35,23511,7,11,58584,6,6,9719,22,32649,9,14,49,12
foxd3,,NM_131290.1,Endogenous,11655,26745,1,2,53375,1,1,1,1,1,2,1,8,1,20368,1,6,33289,1,1,1,5,1,14346
foxg1b,,NM_212914.1,Endogenous,34,46,42,28,34,9,8892,19,15,16,29,29,38,27,54,43,33,41,40,41,67,51,65,51
foxo1a,,NM_001077257.2,Endogenous,8,31747,10,3,3,1,1,2,1,2,10,22,1,4,22468,3,12,10,9,9,6,8,26,22
foxo1b,,NM_001082857.1,Endogenous,1,4,1,2,3,1,1,1,2,1,1,1,3,1,1,16,22,7,1,1,1,5,2,7
foxp4,,NM_001199491.1,Endogenous,22402,35611,4770,17594,24971,9,28,23304,18145,21113,15959,14211,33,52,18245,54711,80,36073,16937,13675,23493,25723,37361,251
gapdh,,NM_001115114.1,Endogenous,1508,23,18,9,8,2,2,10,5,3,14,8,9,6,7516,8,25,12,3028,2242,29,10,23,46
hbp1,,NM_001024431.1,Endogenous,78,111,73,62,23187,18,28,53,39,46,68,58,75,39,119,96,83,23468,85,70,130,97,108,105
her9,,NM_131873.1,Endogenous,16117,21908,25781,12852,39,7,6935,8372,6825,7321,18620,17685,2536,21,35317,19348,14571,7422,8825,18213,34807,12917,13853,12700
hmx1,,NM_001113526.1,Endogenous,2,9,1,1,4,1,1,1,1,1,1,1,2,1,1,8,11,1,1,1,3,1,1,4
hmx4,,NM_001045371.1,Endogenous,57,19342,55,30,41,7,17,15,39,18,42,38,39,21,74,48,53,53,40,48,72,57,76,86
id2a,,NM_201291.1,Endogenous,27544,12269,22205,27,29,4,2193,8397,8552,10,28995,21,76740,6563,80323,22243,51912,63895,5757,22631,23626,19765,44765,13573
impdh1b,,NM_001014369.2,Endogenous,45878,90641,52947,14528,44423,5,15575,26,9282,12294,60616,26177,12857,34605,70421,17824,59173,52308,65135,40136,44038,39662,91953,242250
kita,,NM_131053.1,Endogenous,4,2,1,1,5,26,1,1,2,1,2,1,2,1,1,48744,49539,5,1,1,2,1,1,12
ltk,,XM_005158786.2,Endogenous,35,41,41,11,19,3,4,16,7,8,26,33,9,13,26,22,25,14,31,30,43,20,30,38
mbpa,,XM_002665557.1,Endogenous,16,21,12,9,6,5,53,7,4,9,4523,15,3,6,12,13,13,8,19,17,15,13,16,34
mc1r,,NM_180970.1,Endogenous,12,11624,12,2,1,1,1,3,1,3,6,21,1,3,25,10,19,15,4,14,15,4,17,22
mitfa,,NM_130923.1,Endogenous,6,15395,6,11690,1,1,1,2,1,4,3,10733,2,2,20,4,25317,7,12,11,10,3,10,31531
