Gene Name,Annotation,Accession #,Class Name,20160811_bath study 72hpf 15-04-16 samples 53-64_   _01.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _02.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _03.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _04.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _05.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _06.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _07.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _08.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _09.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _10.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _11.RCC,20160811_bath study 72hpf 15-04-16 samples 53-64_   _12.RCC
,,,,72,72,72,72,72,72,72,72,72,72,72,72
Kanamycin Pos,,Sub_Kan.1,Endogenous,188339,97596,122125,141696,114131,143940,117619,123399,105009,104794,115301,110170
alx4b,,NM_001089357.1,Endogenous,53943,19,58,16894,21794,43,24862,890,24,47925,2014,31726
csf1r,,NM_131672.1,Endogenous,3,1,5,9,8,2,12,10,7,4,6,1
dpf3,,NM_001111169.1,Endogenous,3,1,6,23,15,6,16,18,7,7,7,3
ednrba,,NM_131197.1,Endogenous,12,4,38189,24695,23,9,31493,31946,9851,37315,10,31955
ets1a,,NM_001017558.1,Endogenous,7,1,6,7,13,2,1,16,6,9,3,17
fgfr3_v2,,NM_131606.1,Endogenous,8,1,8,20,15,2,7,13,4,14,1,17
foxd3,,NM_131290.1,Endogenous,37564,1,5,44539,115,6,34465,55140,2,35403,56,4
foxg1b,,NM_212914.1,Endogenous,22756,16,60271,1227,35,22,18,676,9,50303,188,21
foxo1a,,NM_001077257.2,Endogenous,13,1,6,14,44819,6353,4,38148,2,994,1,21261
foxo1b,,NM_001082857.1,Endogenous,11233,1,13611,7634,16706,1,4,6454,5526,16,4,5
foxp4,,NM_001199491.1,Endogenous,29,13,32,18749,87,24,17,50,22,36,33,31
gapdh,,NM_001115114.1,Endogenous,5,4,16,17,1980,2,10,23,845,17,317,12
hbp1,,NM_001024431.1,Endogenous,58,14,80,77,69,57,44,183,46,42,34,48
her9,,NM_131873.1,Endogenous,31,10,46838,18212,34331,38571,24128,22173,9959,30026,14,29195
hmx1,,NM_001113526.1,Endogenous,2,1,7,51160,14,10,38692,27489,7,5,43401,43156
hmx4,,NM_001045371.1,Endogenous,17,15,29,34,31093,272,18,10771,49,42,27382,39417
id2a,,NM_201291.1,Endogenous,49335,25730,32,29846,77978,57705,15,69291,1320,44310,45559,44377
impdh1b,,NM_001014369.2,Endogenous,16,6,8131,31,55146,16,12,26940,22,18678,20648,12612
kita,,NM_131053.1,Endogenous,56115,1,29552,25874,3563,6,35,33114,22777,23005,23,3236
ltk,,XM_005158786.2,Endogenous,23,5,23,26,33384,43,6101,5806,7102,5815,895,21
mbpa,,XM_002665557.1,Endogenous,10,3,736,24443,36987,1463,15,32729,22638,40065,27728,20355
mc1r,,NM_180970.1,Endogenous,819,1,6,27490,21,50797,4,3637,7,32783,2,32706
mitfa,,NM_130923.1,Endogenous,4941,1,4440,8,4652,10,125,6440,10,11,4560,6996
mlphb,,NM_001079679.1,Endogenous,6,1,1,18,4,1,8,4,4,9,5,5
mycl1a,,NM_212937.1,Endogenous,12,1,7,7,21,4,9,9,7,14,1,23
myo5aa,,XM_009293794.1,Endogenous,6,1,8,13,14,10,1,14,3,13,1,18
oca2,,XM_690715.7,Endogenous,3,1,3,18,6,1,8,11,1,3,3,3
otx2,,NM_131251.1,Endogenous,66694,1,40295,39554,46559,1383,39913,40104,32835,90012,1,46021
pax3_v2,,XM_005163543.2,Endogenous,14,1,8,24,16,18,3,44,6,19,1,21
pax7a,,NM_131326.1,Endogenous,699,2,15,27,31069,5,15,231,15,19,9,14
pax7b,,NM_001146149.1,Endogenous,2614,4,31,27380,31165,11,21,40070,23835,24358,18766,20
phox2b,,NM_001014818.1,Endogenous,28,13,40,40,35326,16,1020,35685,32869,39,39,35
pnp4a,,NM_001002102.1,Endogenous,32,9,23,32,23885,21,16,87,14,24,14,18
rpl13,,NM_198143.1,Endogenous,110577,27416,93384,67421,113154,44891,104933,73378,53034,73049,65416,53738
silva,,NM_001045330.1,Endogenous,4,1,2,14,3,1,2,6,4,5,5,1
slc24a5,,NM_001030280.1,Endogenous,10,1,10,36,11,1,20,20,3,8,16,22
smad9,,NM_001004014.1,Endogenous,7,4,21,25,23,7,17,26,11,28,11,6
snail2,,XR_661767.1,Endogenous,527,1,6,11,15,394,3,18486,267,11,1,29163
sox10,,NM_131875.1,Endogenous,8,1,4,11116,16,3,8594,12197,8,1,5262,1
sox5,,NM_001033585.1,Endogenous,29,9,26,30,42,25,15,66,7,34,15,19
sox9b,,NM_131644.1,Endogenous,4,1,8,31387,10,4,4,10,1,36979,6,3
tfap2a,,NM_176859.2,Endogenous,40782,1,6,31,615,8,7,32232,25850,26873,26,35911
tfap2e,,NM_200821.1,Endogenous,9,1,20,16,30,5,21,17,16,22,5,8
tfec,,NM_001030105.2,Endogenous,8,1,17431,19429,60769,35725,37060,51062,36329,5,39237,1
tyr,,NM_131013.1,Endogenous,10,1,10,31,33423,1,7,20591,9,5,14975,5
tyrp1b,,NM_001002749.1,Endogenous,23,2,34,27,41,7,32,20,17,27,17,24
NEG_A,,ERCC_00096.1,Negative,8,1,6,7,15,4,5,7,4,6,6,8
NEG_B,,ERCC_00041.1,Negative,6,3,4,3,7,4,3,5,2,9,1,6
NEG_C,,ERCC_00019.1,Negative,2,1,1,4,2,1,1,4,1,2,3,1
NEG_D,,ERCC_00076.1,Negative,1,2,1,7,2,1,3,4,1,1,2,2
NEG_E,,ERCC_00098.1,Negative,7,5,10,5,9,5,5,7,7,2,8,5
NEG_F,,ERCC_00126.1,Negative,20,5,14,22,20,8,15,15,9,15,9,11
NEG_G,,ERCC_00144.1,Negative,2,1,1,1,4,2,1,1,2,1,1,4
NEG_H,,ERCC_00154.1,Negative,7,1,6,2,3,4,4,5,4,7,4,7
POS_A,,ERCC_00117.1,Positive,18652,17131,12798,9361,12182,16966,12232,11700,11477,13394,12770,16133
POS_B,,ERCC_00112.1,Positive,4868,4463,4003,3179,3655,4557,3237,2986,3016,3443,3455,4320
POS_C,,ERCC_00002.1,Positive,1294,1274,1173,930,1010,1203,878,848,880,942,921,1238
POS_D,,ERCC_00092.1,Positive,303,260,247,197,242,273,228,209,213,226,214,271
POS_E,,ERCC_00035.1,Positive,55,64,35,35,44,48,34,41,34,38,28,49
POS_F,,ERCC_00034.1,Positive,19,21,18,20,23,22,17,21,9,20,15,27
