Gene Name,Annotation,Accession #,Class Name,20160816_bath study 30hpf 13-04 samples 25-36_  _01.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _02.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _03.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _04.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _05.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _06.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _07.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _08.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _09.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _10.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _11.RCC,20160816_bath study 30hpf 13-04 samples 25-36_  _12.RCC
,,,,30,30,30,30,30,30,30,30,30,30,30,30
Kanamycin Pos,,Sub_Kan.1,Endogenous,145723,89680,140677,112229,160613,156070,103158,110195,101535,123198,100163,60860
alx4b,,NM_001089357.1,Endogenous,23300,38,57,40,40,30034,14927,28,30,53,20887,17426
csf1r,,NM_131672.1,Endogenous,6,1,12,5,1,1,24,1,1,1,1,2
dpf3,,NM_001111169.1,Endogenous,11,1,27,3,7,8,19,1,1,1,4,3
ednrba,,NM_131197.1,Endogenous,22769,17705,53151,10989,10,2728,12772,26877,3,3404,5665,253
ets1a,,NM_001017558.1,Endogenous,27,3,22,1,2,3713,15,1,4,2,13,12109
fgfr3_v2,,NM_131606.1,Endogenous,22,2,24,1,3,6,8,1,3,7,11,8
foxd3,,NM_131290.1,Endogenous,17775,1,10124,13,2,7084,7650,3,5772,2944,6228,7841
foxg1b,,NM_212914.1,Endogenous,10875,29,22592,25,36910,8952,16,30,12,14,19,6417
foxo1a,,NM_001077257.2,Endogenous,22609,5,16,1,19,994,12881,1,5,3,7,10
foxo1b,,NM_001082857.1,Endogenous,2260,1,2289,5,4,1191,3172,3,1,1,2,377
foxp4,,NM_001199491.1,Endogenous,88,131,81,120,35,27597,56,98,7,16,12145,14
gapdh,,NM_001115114.1,Endogenous,34,30,36,20,4,13,32,23,1,12,16,6
hbp1,,NM_001024431.1,Endogenous,68,45,73,63,47,63,41,27,14,41,30,27
her9,,NM_131873.1,Endogenous,27697,22,17300,15716,24,16558,25151,19,10,29086,9603,7312
hmx1,,NM_001113526.1,Endogenous,56268,2,24076,3,63429,47222,25020,1,1,299,1,19095
hmx4,,NM_001045371.1,Endogenous,45478,39,6535,44,16452,1628,1162,45,10,1264,12,319
id2a,,NM_201291.1,Endogenous,31191,30942,82643,43994,24,48479,9279,58,16,22596,14286,6527
impdh1b,,NM_001014369.2,Endogenous,59095,148825,76993,140855,31,41502,37614,123305,5,1326,2655,9160
