Gene Name,Annotation,Accession #,20160818_bath study 30hpf 15-05 samples 13-24_   _01.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _02.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _03.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _04.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _05.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _06.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _07.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _08.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _09.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _10.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _11.RCC,20160818_bath study 30hpf 15-05 samples 13-24_   _12.RCC
,,,30,30,30,30,30,30,30,30,30,30,30,30
Kanamycin Pos,,Sub_Kan.1,311244,254362,215894,416578,179587,176368,374831,272925,358727,380869,210677,441707
alx4b,,NM_001089357.1,49147,70,53011,91,36,57859,40740,50247,94,58643,51263,79
csf1r,,NM_131672.1,2,16,25,5,6,10,15,4,4,14,6,5
dpf3,,NM_001111169.1,7,25,37,7,17,21,26,11,7,17,19,4
ednrba,,NM_131197.1,73948,69005,41009,63067,51303,36,52,1400,31,43288,19597,55
ets1a,,NM_001017558.1,15,7,29,3,14,38,23,10,47181,28,16,10
fgfr3_v2,,NM_131606.1,7,13,36739,1,9,30,17,9,5,3,9,14
foxd3,,NM_131290.1,55549,51717,58953,3,54371,89773,58761,1989,7,36446,65265,3
foxg1b,,NM_212914.1,59,80790,45466,53,6568,69342,67072,76,60,63,45678,55118
foxo1a,,NM_001077257.2,3,14,8483,3,84,107289,97363,11,13,8,1173,6158
foxo1b,,NM_001082857.1,23753,14659,12355,20,27,18739,17,27,14923,30,8128,23953
foxp4,,NM_001199491.1,35708,64,18068,38,104,137,109,355,43,60652,131,29
gapdh,,NM_001115114.1,1156,12575,30819,37,4828,75249,49470,1701,31,145,31323,33779
hbp1,,NM_001024431.1,120,73,359,103,104,78,145,124,90,144,93,92
her9,,NM_131873.1,28203,1996,12145,23737,15579,2371,2122,6904,48,16939,1926,42
hmx1,,NM_001113526.1,14,87327,61861,22,117782,105610,12,59136,80995,96635,94145,6
hmx4,,NM_001045371.1,68,76349,58149,1580,95464,92845,65,53550,82400,77,83654,42
