Gene Name,Annotation,Accession #,20160819_bath study 60hpf strip2 1-12_ 1_01.RCC,20160819_bath study 60hpf strip2 1-12_ 2_02.RCC,20160819_bath study 60hpf strip2 1-12_ 3_03.RCC,20160819_bath study 60hpf strip2 1-12_ 4_04.RCC,20160819_bath study 60hpf strip2 1-12_ 5_05.RCC,20160819_bath study 60hpf strip2 1-12_ 6_06.RCC,20160819_bath study 60hpf strip2 1-12_ 7_07.RCC,20160819_bath study 60hpf strip2 1-12_ 8_08.RCC,20160819_bath study 60hpf strip2 1-12_ 9_09.RCC,20160819_bath study 60hpf strip2 1-12_ 10 _10.RCC,20160819_bath study 60hpf strip2 1-12_ 11_11.RCC,20160819_bath study 60hpf strip2 1-12_ 12_12.RCC
,,,60,60,60,60,60,60,60,60,60,60,60,60
Kanamycin Pos,,Sub_Kan.1,297609,309920,301396,259385,347678,389646,426848,429534,306260,255448,348704,388057
alx4b,,NM_001089357.1,42320,72,83,37652,1463,85,66,81,774,50735,64,68073
csf1r,,NM_131672.1,19,6,6,13,3,3,1,1,2,4,6,1
dpf3,,NM_001111169.1,33,20,10,38,7,7,1,1,4,14,9,1
ednrba,,NM_131197.1,47509,15954,39,47192,1089,38,2737,39866,19446,23959,46,44
ets1a,,NM_001017558.1,18,34,7,49123,26281,27462,14,5,20,26,13,10
fgfr3_v2,,NM_131606.1,37,50219,58127,363,55224,11,101213,6,10,39935,61566,29
foxd3,,NM_131290.1,47119,4651,47063,77219,1575,2,1,1,4,75914,4,2
foxg1b,,NM_212914.1,63901,73089,44,577,58,55,56,31,75422,32830,31,63
foxo1a,,NM_001077257.2,4942,196,16,24,3,6,9,4,18808,22314,7,553
foxo1b,,NM_001082857.1,13245,9459,12,54,3299,1,299,1,12831,10935,9637,11
foxp4,,NM_001199491.1,48246,132,62449,76424,30968,37,37,30,69,24751,41,88575
gapdh,,NM_001115114.1,1839,36,32,29,30,34,352,43,2650,22,24,248
hbp1,,NM_001024431.1,94,86,79,94,126,90,88,89,56087,79,85,1017
her9,,NM_131873.1,4192,794,1148,66,1420,42,48,43,142,40,38,54
hmx1,,NM_001113526.1,76337,70993,46576,84071,1823,1,1,1,62946,76685,77870,6
hmx4,,NM_001045371.1,88367,71231,71,41001,609,49,46,41,64612,71919,72685,60
id2a,,NM_201291.1,55894,95369,58488,84870,109148,88242,74298,1100,88967,62623,31007,102804
impdh1b,,NM_001014369.2,1430,43534,67715,42250,1214,37,40,34,60,3634,161,1049
kita,,NM_131053.1,49444,45868,84,37503,21360,2,1,1,44199,24342,47863,50494
ltk,,XM_005158786.2,12868,15040,13977,4871,102,43,54,43,29,8443,45,50
mbpa,,XM_002665557.1,55295,43743,46405,34,30,22,56426,26,41838,21,31,54778
mc1r,,NM_180970.1,74777,82951,9,58511,1080,7,6,3185,65899,56781,9,84492
mitfa,,NM_130923.1,25,31516,29236,10817,280,6,8,40472,10618,30253,8,9
mlphb,,NM_001079679.1,18,10,7,13,4,14,1,1,7,7,16,2
mycl1a,,NM_212937.1,52336,32,50926,91759,1485,8,43,4,16,32,35,57473
myo5aa,,XM_009293794.1,19,32,11,23,7,3,5,17,16,36,16,22
oca2,,XM_690715.7,10,4,4,12,3,6,1,1,7,12,10,1
otx2,,NM_131251.1,96800,42669,22,1177,283,5,7,4,59734,69977,41194,14
pax3_v2,,XM_005163543.2,47,48,10,42,7,6,5,10,37,36,12,49
pax7a,,NM_131326.1,119,26,20,45,25,21,36,30,1130,26,20,39
pax7b,,NM_001146149.1,46687,52284,47,830,70,43,389,43,3097,24022,33961,58
phox2b,,NM_001014818.1,108,33113,54910,47249,41303,32,3918,34,48659,39032,39,74
pnp4a,,NM_001002102.1,47,39,29,35,39,53,35,38,58,49,24,48
rpl13,,NM_198143.1,269347,246635,274384,267599,343697,299062,401859,292928,257005,275226,289660,319327
silva,,NM_001045330.1,10,199,8,12,4,4,1,1,464,12,13,3
slc24a5,,NM_001030280.1,42,40,24,63,8,3,1,1,42,39,43,9
smad9,,NM_001004014.1,51,46,49,51,48,44,75,44,42,41,36,51
snail2,,XR_661767.1,28,69702,14,27082,354,56030,9,6,28592,42450,11,12
sox10,,NM_131875.1,27703,25,4,26327,1492,4,3,4,5,18,13,1
sox5,,NM_001033585.1,42,49,45,58,50,41,46,46,74,41,36,62
sox9b,,NM_131644.1,17,12,9,20,8,62026,2,2,11,19,54810,4
tfap2a,,NM_176859.2,43,69,61,52,29,15,12,13,52,54,19,45
tfap2e,,NM_200821.1,43,25,27,32,36,29,27,33,20,23,24,30
tfec,,NM_001030105.2,88277,71569,9,61744,44510,5,1,2,6,34230,3,110
tyr,,NM_131013.1,28,2802,31,24784,7111,2,1,1,17,27967,20858,8
tyrp1b,,NM_001002749.1,72,55,52,57,44,44,58,47,57,38,46,51
NEG_A,,ERCC_00096.1,22,18,12,14,12,5,9,8,18,15,10,9
NEG_B,,ERCC_00041.1,13,7,13,8,10,9,8,7,14,7,6,10
NEG_C,,ERCC_00019.1,2,2,1,3,1,1,3,1,2,1,5,6
NEG_D,,ERCC_00076.1,8,2,4,6,4,1,2,1,1,3,2,1
NEG_E,,ERCC_00098.1,6,11,9,18,17,7,8,11,7,19,12,17
NEG_F,,ERCC_00126.1,47,39,31,37,37,39,64,34,33,52,29,37
NEG_G,,ERCC_00144.1,5,6,2,3,1,2,1,2,2,3,1,3
NEG_H,,ERCC_00154.1,13,10,9,8,8,8,9,15,5,14,13,10
POS_A,,ERCC_00117.1,19925,21374,20502,18133,22514,25846,27223,26935,19412,17380,22581,26781
POS_B,,ERCC_00112.1,4768,5215,4996,4483,5567,6281,6619,6610,4696,4202,5474,6562
POS_C,,ERCC_00002.1,1380,1518,1430,1276,1577,1794,1871,1835,1254,1188,1565,1819
POS_D,,ERCC_00092.1,342,349,363,300,381,441,430,419,326,328,368,447
POS_E,,ERCC_00035.1,64,80,59,66,65,88,85,80,60,43,74,91
POS_F,,ERCC_00034.1,35,45,28,33,42,51,34,26,34,27,30,39
