Gene Name,Annotation,Accession #,20160824_bath study 60hpf strip 3 26-05_ _01.RCC,20160824_bath study 60hpf strip 3 26-05_ _02.RCC,20160824_bath study 60hpf strip 3 26-05_ _03.RCC,20160824_bath study 60hpf strip 3 26-05_ _04.RCC,20160824_bath study 60hpf strip 3 26-05_ _05.RCC,20160824_bath study 60hpf strip 3 26-05_ _06.RCC,20160824_bath study 60hpf strip 3 26-05_ _07.RCC,20160824_bath study 60hpf strip 3 26-05_ _08.RCC,20160824_bath study 60hpf strip 3 26-05_ _09.RCC,20160824_bath study 60hpf strip 3 26-05_ _10.RCC,20160824_bath study 60hpf strip 3 26-05_ _11.RCC,20160824_bath study 60hpf strip 3 26-05_ _12.RCC
,,,60,60,60,60,60,60,60,60,60,60,60,60
Kanamycin Pos,,Sub_Kan.1,277931,271946,253037,200012,230746,258600,146299,173464,143164,160238,189159,200288
alx4b,,NM_001089357.1,50,64,52108,85580,5060,27584,35309,27197,5296,24436,32,44
csf1r,,NM_131672.1,9,9,5,18,1,8,11,2,5,2,2,6
dpf3,,NM_001111169.1,18,23,20,16245,224,12,16,8,19,8,3,10
ednrba,,NM_131197.1,36,38,581,42980,1185,34,31131,26249,28664,22803,20,22
ets1a,,NM_001017558.1,1,27851,12,13732,161,12,20,8,16,5,2,6
fgfr3_v2,,NM_131606.1,1,20,17,12,6,73118,48158,32122,29,28214,33747,74107
foxd3,,NM_131290.1,7,86076,51569,42912,2160,16,47754,1,31863,34390,6,43004
foxg1b,,NM_212914.1,216,80220,53294,135,23,64658,36,36,32,26062,19,47117
foxo1a,,NM_001077257.2,1,121,73266,6103,54,6459,5621,4571,13012,2,1,9
foxo1b,,NM_001082857.1,14171,12824,346,19,2,9702,8379,7245,8687,6942,1,5394
foxp4,,NM_001199491.1,68,43015,24190,338,26870,24155,15719,28973,19861,17060,19305,33293
gapdh,,NM_001115114.1,30174,2056,43,33,17,2488,2365,1003,17284,2114,3691,17
hbp1,,NM_001024431.1,68,87,74,37477,545,71,28463,18494,27205,89,42,48
her9,,NM_131873.1,39,168,66,46,23,38,27,28,84,80,30,59
hmx1,,NM_001113526.1,87483,53524,62985,4112,35,67336,45631,2,12,3,317,5
hmx4,,NM_001045371.1,34,48,43381,81,30,70713,38507,25831,24,33,997,31
id2a,,NM_201291.1,22,66618,43704,112533,29573,52,47226,60461,16400,74734,30438,54245
impdh1b,,NM_001014369.2,50587,3644,200,118497,5630,19576,20710,23742,19539,21160,19,29643
kita,,NM_131053.1,46645,36660,76762,20140,251,19,28808,3,52578,33,1,4
ltk,,XM_005158786.2,29,4128,10627,48486,1988,11181,6340,26,2326,6133,5583,166
mbpa,,XM_002665557.1,14,18,35654,36,16,8,28011,25246,3186,28260,27355,28015
mc1r,,NM_180970.1,1,12,20,33699,14895,87216,44051,44109,36198,9,1,4
mitfa,,NM_130923.1,1,10338,6953,16,4,18,5861,12,12895,24372,1,6937
mlphb,,NM_001079679.1,12,13,13,10,1,8,15,1,9,5,1,5
mycl1a,,NM_212937.1,1,24,12,16,3,41,32,31,43630,14,12,28
myo5aa,,XM_009293794.1,1,13,18,15,5,15,16,13,23,10,1,8
oca2,,XM_690715.7,6,20,7,13,1,5,7,1,17480,2,1,2
otx2,,NM_131251.1,135,62046,62451,48548,49993,19165,51915,51183,33265,938,6,7
pax3_v2,,XM_005163543.2,1,23,14,27,11,39,39,19,10159,7,2,6
pax7a,,NM_131326.1,10,16,503,87133,2038,14,621,15,40201,15,27,27
pax7b,,NM_001146149.1,29,30465,40407,30380,596,20,29592,27628,28588,23579,30197,30125
phox2b,,NM_001014818.1,36,56486,54,4425,69,58448,30072,19945,26828,25405,26,48
pnp4a,,NM_001002102.1,21,35,27,97322,11064,49,26,32,12,28,15,28
rpl13,,NM_198143.1,188672,174596,263987,124588,193866,176372,58768,119426,161196,144229,171639,140023
silva,,NM_001045330.1,8,10,7,10,2,248,13,1,8,4,1,2
slc24a5,,NM_001030280.1,40,41,37,17,1,33,25,2,5,5,1,4
smad9,,NM_001004014.1,24,24,44,44,25,29,17,18,36,25,20,27
snail2,,XR_661767.1,1,42018,15,27089,289,7418,37344,2993,33520,6,5,9
sox10,,NM_131875.1,7,17389,25,9879,176,31,10163,10649,13,1024,7,5
sox5,,NM_001033585.1,24,54,35,91,27,39,24,35,26,37,16,27
sox9b,,NM_131644.1,9,43292,13,17,1,20201,24522,2,10,17922,5,6
tfap2a,,NM_176859.2,10,11,33,14,12,47,52,18,33,30,13,24
tfap2e,,NM_200821.1,23,12,26,25,20,15,25,19,20,9,27,11
tfec,,NM_001030105.2,39403,66377,57437,128494,7934,104266,47370,1,36887,4,20031,10
tyr,,NM_131013.1,19,34085,22590,27503,568,775,21394,124,3461,12849,2,2
tyrp1b,,NM_001002749.1,39,25,53,46,34,18,29,25,47,35,25,18
NEG_A,,ERCC_00096.1,2,7,13,19,6,15,6,8,11,3,8,10
NEG_B,,ERCC_00041.1,1,5,8,13,8,4,4,5,10,2,5,5
NEG_C,,ERCC_00019.1,1,2,2,4,2,2,1,1,2,1,1,2
NEG_D,,ERCC_00076.1,5,6,2,3,1,2,4,2,4,3,1,3
NEG_E,,ERCC_00098.1,9,15,9,14,6,12,7,5,7,9,4,5
NEG_F,,ERCC_00126.1,30,24,33,15,27,16,11,18,28,19,28,12
NEG_G,,ERCC_00144.1,1,3,1,4,1,1,1,3,6,1,1,1
NEG_H,,ERCC_00154.1,1,3,14,7,6,8,4,9,8,2,4,4
POS_A,,ERCC_00117.1,23554,18258,17975,13835,16017,17886,10142,11172,9462,11114,12852,13975
POS_B,,ERCC_00112.1,6040,4608,4383,3567,4129,4605,2527,3001,2511,2952,3367,3773
POS_C,,ERCC_00002.1,1714,1333,1344,1075,1151,1291,776,783,704,835,961,1091
POS_D,,ERCC_00092.1,408,343,313,258,289,317,171,191,177,186,212,248
POS_E,,ERCC_00035.1,86,56,56,44,57,48,27,39,33,35,41,47
POS_F,,ERCC_00034.1,30,29,26,49,29,29,13,22,14,22,17,22
