Gene Name,Annotation,Accession #,20160825_bath study 36hpf 26-06-16 strip 2_ _01.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _02.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _03.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _04.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _05.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _06.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _07.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _08.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _09.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _10.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _11.RCC,20160825_bath study 36hpf 26-06-16 strip 2_ _12.RCC
,,,36,36,36,36,36,36,36,36,36,36,36,36
Kanamycin Pos,,Sub_Kan.1,280333,223632,194752,207017,241285,155523,212319,102654,204142,198789,212304,222022
alx4b,,NM_001089357.1,80,36437,142,43868,26567,29,11657,4969,19106,41103,43297,35380
csf1r,,NM_131672.1,7,15,21,13,12,5,11,1,6,21,22,17
dpf3,,NM_001111169.1,26893,23,16149,17,25,12,24,3,14,11178,18880,30
ednrba,,NM_131197.1,28165,40,28878,35753,37329,24644,27972,1585,32559,30308,40482,19664
ets1a,,NM_001017558.1,35,13432,34960,8552,20223,4,22047,12,25,25899,24278,28
fgfr3_v2,,NM_131606.1,35414,38,42,35,32040,3,37,23,38,51,61,28511
foxd3,,NM_131290.1,8,53953,84166,64118,38719,33156,87915,2,46991,51705,57460,68115
foxg1b,,NM_212914.1,42265,50,32266,55463,58227,32389,49786,14589,22452,58,19042,41962
foxo1a,,NM_001077257.2,26,16046,8819,1732,11247,9,16790,4044,9585,1190,14962,4385
foxo1b,,NM_001082857.1,11,10638,7666,5374,9831,5347,10955,2,14,6689,10712,9457
foxp4,,NM_001199491.1,82,44364,54063,60472,33763,14677,19261,52,40583,46117,39553,56455
gapdh,,NM_001115114.1,28,1859,17136,1780,13387,1154,2755,1033,1387,17960,2281,26
hbp1,,NM_001024431.1,155,67,71,213,90,53,69,29,60,73,310,94
her9,,NM_131873.1,37,54,70,42,39,18,38,22,44,111,85,56
hmx1,,NM_001113526.1,2201,59219,32861,53055,56042,28200,38657,33167,25062,64301,41850,62564
hmx4,,NM_001045371.1,2510,42729,29078,46884,51331,37,39494,36760,30359,47295,31365,60022
id2a,,NM_201291.1,64894,86791,72073,45693,49539,54782,82014,44838,50213,46786,62431,67534
impdh1b,,NM_001014369.2,48591,56576,49857,40027,54283,20381,63402,23492,64757,40603,53024,54712
kita,,NM_131053.1,29999,25056,28640,37621,29793,21196,28394,4,20583,32963,21427,33259
ltk,,XM_005158786.2,6396,7531,4516,6643,7228,19,1034,5407,5701,3583,4080,6535
mbpa,,XM_002665557.1,27750,20275,18204,29673,23358,23587,51686,233,21358,19111,30820,38971
mc1r,,NM_180970.1,31810,25838,26351,48296,55889,35780,53603,15,46938,45320,34532,38169
mitfa,,NM_130923.1,25524,72,53,4457,7490,3806,10996,23124,5539,6861,6380,14931
mlphb,,NM_001079679.1,3,17,13,10,23,5,9,1,7,12,19,11
mycl1a,,NM_212937.1,55615,65095,65885,77786,57517,2,46111,27031,48256,71412,95415,23800
myo5aa,,XM_009293794.1,58671,26,13,19,22,7,17,10,16,33,30,15
oca2,,XM_690715.7,8,13,12,6,16,3,12,3,7,16,15,13
otx2,,NM_131251.1,41972,34219,63343,34431,21106,3,20215,47853,54624,48650,52560,60324
pax3_v2,,XM_005163543.2,44,24,22,55,44,16,17,13,54,27,94,31
pax7a,,NM_131326.1,31,303,30,307,27,20,65,9,572,44,512,57
pax7b,,NM_001146149.1,32355,16225,24636,32697,35052,16184,43397,27869,33463,37335,37114,43660
phox2b,,NM_001014818.1,34946,3035,22971,28951,40698,15358,44153,28744,86,37705,35276,37223
pnp4a,,NM_001002102.1,43,44,48,62,39,23,43,20,34,32,37,43
rpl13,,NM_198143.1,225133,215383,164351,170563,150012,141209,212511,102673,167729,167987,205300,172957
silva,,NM_001045330.1,1,78,8,39,10,5,15,3,3,8,111,56
slc24a5,,NM_001030280.1,4,41,37,35,33,22,36,15,15,46,35,24
smad9,,NM_001004014.1,38,33,47,40,35,45,48,12,43,83,90,35
snail2,,XR_661767.1,52839,55330,28619,37994,18369,1,24,4038,57517,36057,36069,54732
sox10,,NM_131875.1,15,9813,24672,11561,12142,7723,12067,3,14,9932,9574,5065
sox5,,NM_001033585.1,44,43,48,37,42,29,41,18,96,52,49,62
sox9b,,NM_131644.1,4,25928,42251,20,57581,2,12,3,24124,23,50449,10
tfap2a,,NM_176859.2,50,32,55,41,53,19,43,11,46,99,65,67
tfap2e,,NM_200821.1,26,24,24,35,21,28,32,12,29,32,35,17
tfec,,NM_001030105.2,5,37252,48864,69378,38027,16,71618,3,36225,59704,39373,62338
tyr,,NM_131013.1,5,20261,12845,18963,16831,6827,471,5846,13359,23278,14611,128
tyrp1b,,NM_001002749.1,39,44,50,32,41,28,37,17,45,48,49,43
NEG_A,,ERCC_00096.1,12,23,20,18,13,8,23,9,9,14,9,19
NEG_B,,ERCC_00041.1,16,5,4,7,6,6,13,5,8,12,7,9
NEG_C,,ERCC_00019.1,1,3,4,4,4,1,2,1,4,6,2,2
NEG_D,,ERCC_00076.1,2,6,7,9,7,6,10,1,4,9,4,7
