Gene Name,Annotation,Accession #,20160826_bath study 36hpf 13-04-16 samples 13-24_ _01.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _02.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _03.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _04.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _05.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _06.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _07.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _08.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _09.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _10.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _11.RCC,20160826_bath study 36hpf 13-04-16 samples 13-24_ _12.RCC
,,,36,36,36,36,36,36,36,36,36,36,36,36
Kanamycin Pos,,Sub_Kan.1,144682,143185,139486,141887,117110,148488,142607,163191,164497,123593,97007,142549
alx4b,,NM_001089357.1,39801,47211,34887,63,30173,35275,26286,10035,237,42522,32863,31713
csf1r,,NM_131672.1,1,4,8,12,17,10,2,2,6,13,8,17
dpf3,,NM_001111169.1,1,3,14,20,29,25,8,15,5,27,34,24
ednrba,,NM_131197.1,28582,26122,33569,32569,30,6270,40834,63919,26126,37465,32893,34428
ets1a,,NM_001017558.1,5,13,28,16,38,17,10,13,5,33,28,26
fgfr3_v2,,NM_131606.1,18,22,25,11,29,16,12,19,6,40,25,22
foxd3,,NM_131290.1,1,16271,37443,37470,63874,70443,15073,27216,36539,55479,54558,69549
foxg1b,,NM_212914.1,31,51958,86831,34665,51287,54137,61825,54162,24,61427,35688,34108
foxo1a,,NM_001077257.2,24,10157,54,21,2180,12,39,5532,5,41167,40512,607
foxo1b,,NM_001082857.1,10534,3,5844,31,11484,3551,4,8456,7828,9480,7962,10649
foxp4,,NM_001199491.1,54,64,72,30,78,52,73,64,115,15926,17965,46
gapdh,,NM_001115114.1,20,26,35,42,93,17,24,34,31,43,27,40
hbp1,,NM_001024431.1,57,73,82,66,74,62,67,94,76,81,65,80
her9,,NM_131873.1,27234,7046,22923,12936,30721,586,31556,25622,18158,33459,22500,23916
hmx1,,NM_001113526.1,8,15894,695,29,80123,56277,36987,6418,43731,66804,47840,74635
hmx4,,NM_001045371.1,26813,11852,44059,35,56226,39765,34574,4518,41352,45970,41221,52764
id2a,,NM_201291.1,938,14081,60428,62108,52596,39357,80900,45975,25876,56883,54697,53651
impdh1b,,NM_001014369.2,51,21026,39705,26,29335,115,46968,50724,100583,32382,21560,73
kita,,NM_131053.1,10,246,45704,29828,38374,30314,5245,30568,9200,40268,26427,29648
ltk,,XM_005158786.2,21,29,290,60,1155,31,435,59,40,48,35,63
mbpa,,XM_002665557.1,14,16607,14,35,28341,14,10596,32,31126,26990,22233,18812
mc1r,,NM_180970.1,28,11504,63532,21976,38917,36,54507,14567,18970,32228,21063,52561
mitfa,,NM_130923.1,39694,17959,29378,17801,5886,344,1706,31009,3,68,35,931
mlphb,,NM_001079679.1,3,3,21,113595,18,11,10,21,5,17,15,26
mycl1a,,NM_212937.1,8,19,21,9,36,30,7,21,11,18268,25,38
myo5aa,,XM_009293794.1,21,18,48,23865,17061,18,15,16,7,34,22,24
oca2,,XM_690715.7,4,4,9,26664,9,15,2,24,9,14,10,15
otx2,,NM_131251.1,11034,75246,51288,6655,98782,81985,229,49522,43257,75799,45049,70861
pax3_v2,,XM_005163543.2,16,24,45,19,42,26,21,22,14,47,22,42
pax7a,,NM_131326.1,41711,12,27,40,23,11,18,37,20,41,15,27
pax7b,,NM_001146149.1,19,4242,57867,37852,55576,37194,1304,36021,46,35797,35978,28061
phox2b,,NM_001014818.1,43309,40037,75,26,39896,36161,23129,2103,127,43167,1181,48015
pnp4a,,NM_001002102.1,20,34,50,62872,34,26,40493,55,27,42,33,34
rpl13,,NM_198143.1,41873,119630,144290,136401,125364,103220,133887,117420,166222,147441,85541,165766
silva,,NM_001045330.1,2,4,9,42532,12,11,1,33116,5,11,14,20
slc24a5,,NM_001030280.1,6,5,14,11332,71,38,24,14,30,59,39,44
smad9,,NM_001004014.1,30,36,46,105,27,14,37,82,30,58,48,46447
snail2,,XR_661767.1,1056,280,38229,1587,39231,13314,45296,271,7,40280,35943,28202
sox10,,NM_131875.1,2,6693,25,188,22,10014,2,13,10580,12285,12260,333
sox5,,NM_001033585.1,23,32,35,68,51,32,48,47,40,46,34,48
sox9b,,NM_131644.1,4,6045,65620,52,50596,16,28819,37440,7,27376,36138,28699
tfap2a,,NM_176859.2,49532,35571,64207,34077,43698,50019,1834,34,12,29324,24066,36004
tfap2e,,NM_200821.1,1019,22,23,12004,17270,17956,13442,43,24,19263,30,14507
tfec,,NM_001030105.2,1,8,52475,26,48835,9668,10733,10935,1112,32031,32197,41416
tyr,,NM_131013.1,24654,3,11057,12195,19425,21067,15869,17653,17653,17667,16457,5883
tyrp1b,,NM_001002749.1,21,40,51,195018,34,41,35,126011,43,51,34,92
NEG_A,,ERCC_00096.1,7,10,18,3,13,15,13,14,12,19,10,11
NEG_B,,ERCC_00041.1,2,10,10,5,6,5,8,8,11,11,8,9
NEG_C,,ERCC_00019.1,1,3,2,5,4,1,2,7,1,2,1,5
NEG_D,,ERCC_00076.1,1,1,1,6,4,5,1,3,3,4,6,9
NEG_E,,ERCC_00098.1,9,6,7,3,10,9,10,16,13,10,6,3
NEG_F,,ERCC_00126.1,11,23,37,35,27,23,14,37,35,30,16,39
NEG_G,,ERCC_00144.1,5,1,3,3,5,2,3,2,1,3,5,7
NEG_H,,ERCC_00154.1,5,8,8,7,8,7,3,2,2,7,3,1
POS_A,,ERCC_00117.1,17358,14065,14254,13810,11182,13604,12624,13505,13267,10401,10673,12100
POS_B,,ERCC_00112.1,5095,4273,4132,4055,3252,3989,3799,4282,3960,3002,3118,3801
POS_C,,ERCC_00002.1,1487,1253,1219,1125,971,1137,1090,1168,1065,869,877,1040
POS_D,,ERCC_00092.1,302,300,279,277,208,275,259,236,262,211,194,259
POS_E,,ERCC_00035.1,50,46,60,38,28,40,35,36,46,41,32,50
POS_F,,ERCC_00034.1,31,19,31,52,17,26,27,28,25,17,25,19
