Gene Name,Annotation,Accession #,Class Name,20160901_bath study 30hpf 13-04 samples 37-48_ 37_01.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 38_02.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 39_03.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 40_04.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 41_05.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 42_06.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 43_07.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 44_08.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 45_09.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 46_10.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 47_11.RCC,20160901_bath study 30hpf 13-04 samples 37-48_ 48_12.RCC
,,,,30,30,30,30,30,30,30,30,30,30,30,30
Kanamycin Pos,,Sub_Kan.1,Endogenous,35194,30154,24921,23519,26015,16678,24033,24593,26819,25074,18588,37559
alx4b,,NM_001089357.1,Endogenous,1997,885,7,2,7179,2405,9654,9574,9,6,9834,12
csf1r,,NM_131672.1,Endogenous,1,1,1,1,2,1,2,2,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,2,5,1,1,3,1,1,3,6,1,3,1
ednrba,,NM_131197.1,Endogenous,11770,1959,2,1,2,1075,4930,3805,14455,5,4295,3
ets1a,,NM_001017558.1,Endogenous,1,1,1,1,2286,1,10,768,3,2355,3,1
fgfr3_v2,,NM_131606.1,Endogenous,2,3,1,1,1,1,2,6,2,3,1,1
foxd3,,NM_131290.1,Endogenous,6711,200,1,1,11429,1079,2681,2751,3,1,3280,1
foxg1b,,NM_212914.1,Endogenous,10586,181,3,1,6104,276,8732,9025,5,2,9260,6
foxo1a,,NM_001077257.2,Endogenous,2,1,1,1,1,1,1,3206,3,2,596,1
foxo1b,,NM_001082857.1,Endogenous,1728,4,1,1,1133,43,552,1675,13,1,1019,1
foxp4,,NM_001199491.1,Endogenous,32,12,4,6,9,7,11,13,20,4170,8,2
gapdh,,NM_001115114.1,Endogenous,9,3,2,2,3,3,1,4,13,3,1,5
hbp1,,NM_001024431.1,Endogenous,14,13,12,3,10,3,12,10,11,6,10,8
her9,,NM_131873.1,Endogenous,8623,5806,4821,3,4345,2549,5431,7080,5838,1461,3253,5473
hmx1,,NM_001113526.1,Endogenous,8121,2,1,1,3204,2754,16371,4556,8,1,19742,1
hmx4,,NM_001045371.1,Endogenous,7403,6,4,2,6,193,2930,1053,2,4,4041,2
id2a,,NM_201291.1,Endogenous,13492,6682,1,1,4160,3785,7953,7144,5754,2,4454,6
impdh1b,,NM_001014369.2,Endogenous,42964,10313,2,2,1493,14059,3335,1820,21765,6,4625,1
kita,,NM_131053.1,Endogenous,335,3,1,1,28,4,41,54,19579,1,51,1
ltk,,XM_005158786.2,Endogenous,13,5,4,2,3,1,8,6,9,6,5,8
mbpa,,XM_002665557.1,Endogenous,3486,197,1,2,234,1106,2087,6431,11,2,4368,1
mc1r,,NM_180970.1,Endogenous,2389,1,2,1,1163,406,1697,290,1417,3739,568,1
mitfa,,NM_130923.1,Endogenous,1,2,6425,1,1,846,4,3,13942,1,3986,1
mlphb,,NM_001079679.1,Endogenous,3713,12447,1,1,1,1,1,2,18806,1,2,1
mycl1a,,NM_212937.1,Endogenous,3,2,1,1,4557,1,3265,10489,2,6531,2031,1
myo5aa,,XM_009293794.1,Endogenous,5483,1,1,1,1,1,4,3,9277,3,2,1
oca2,,XM_690715.7,Endogenous,1,2802,1,1,1,1,4,4,30321,1,2,1
otx2,,NM_131251.1,Endogenous,7002,9782,1,1,3,1776,11598,18516,2,1,4626,1
pax3_v2,,XM_005163543.2,Endogenous,4,2,1,1,3,1,4,5,2,2,58,1
pax7a,,NM_131326.1,Endogenous,17784,5,1,1,1,1918,3,5,13,1,1,1
pax7b,,NM_001146149.1,Endogenous,6960,73,4,1,2,859,4693,5161,35,4,5198,2
