Gene Name,Annotation,Accession #,Class Name,20160907_bath study 60hpf strip 5 26-05_ _01.RCC,20160907_bath study 60hpf strip 5 26-05_ _02.RCC,20160907_bath study 60hpf strip 5 26-05_ _03.RCC,20160907_bath study 60hpf strip 5 26-05_ _04.RCC,20160907_bath study 60hpf strip 5 26-05_ _05.RCC,20160907_bath study 60hpf strip 5 26-05_ _06.RCC,20160907_bath study 60hpf strip 5 26-05_ _07.RCC,20160907_bath study 60hpf strip 5 26-05_ _08.RCC,20160907_bath study 60hpf strip 5 26-05_ _09.RCC,20160907_bath study 60hpf strip 5 26-05_ _10.RCC,20160907_bath study 60hpf strip 5 26-05_ _11.RCC,20160907_bath study 60hpf strip 5 26-05_ _12.RCC
,,,,60,60,60,60,60,60,60,60,60,60,60,60
Kanamycin Pos,,Sub_Kan.1,Endogenous,113620,105018,144154,97207,141618,96945,149286,125951,143590,126832,112655,27860
alx4b,,NM_001089357.1,Endogenous,21663,32,23115,12872,8780,19130,25351,21185,24046,31084,17,29
csf1r,,NM_131672.1,Endogenous,13,1,8,3,9,7,3,1,10,6,1,1
dpf3,,NM_001111169.1,Endogenous,15,2,4,5,7,10,11,1,11,10,1,3
ednrba,,NM_131197.1,Endogenous,31775,14496,22118,11094,26043,19693,24829,2420,1345,14,11,3
ets1a,,NM_001017558.1,Endogenous,21,7047,10983,3,12,6,5,16,10,6,4,2
fgfr3_v2,,NM_131606.1,Endogenous,29527,37686,18,3,5,24476,10,9,15528,23540,1,11778
foxd3,,NM_131290.1,Endogenous,20464,1,33931,18707,21514,5560,18,1,34541,31917,1,1
foxg1b,,NM_212914.1,Endogenous,25481,10,45225,15678,290,24392,18,25,29,35737,16,1
foxo1a,,NM_001077257.2,Endogenous,1035,10803,14,6,11,2217,4,3,14,7,2,1
foxo1b,,NM_001082857.1,Endogenous,8605,119,5717,31,5244,4249,6882,3,6188,5720,1,1
foxp4,,NM_001199491.1,Endogenous,49,11595,42,9344,39501,47,19762,16182,25,18,18490,7
gapdh,,NM_001115114.1,Endogenous,278,146,1328,12,1538,1054,47,1408,13,339,84,277
hbp1,,NM_001024431.1,Endogenous,43537,15970,36,39,35,40207,44,246,42,848,20,25
her9,,NM_131873.1,Endogenous,29,19,16,13,26,13,28,652,183,1529,11,6
hmx1,,NM_001113526.1,Endogenous,66924,25884,32285,18957,19995,25385,3,2,38061,31483,1,1
hmx4,,NM_001045371.1,Endogenous,47708,21694,29124,20664,29117,29366,51,19,30936,22,13,1
