Gene Name,Annotation,Accession #,Class Name,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 49_01.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 50_02.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 51_03.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 52_04.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 53_05.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 54_06.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 55_07.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 56_08.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 57_09.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 58_10.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 59_11.RCC,20160914_bath study 48hpf 07-04 indexed (08-04) s49-60_ 60_12.RCC
,,,,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,Endogenous,378849,292136,456576,265110,350687,313635,338773,191496,400916,285698,267871,337778
alx4b,,NM_001089357.1,Endogenous,88,85,117,67,82,58,76,84,108,73,47,14864
csf1r,,NM_131672.1,Endogenous,1,1,4,1,2,1,1,23,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,1,2,1,3,1,1,47,1,1,1,5
ednrba,,NM_131197.1,Endogenous,1,18,20,1,24,8,20,14702,44,6,12,18
ets1a,,NM_001017558.1,Endogenous,1,1,7,1,1,1,1,18977,39,1,1,36749
fgfr3_v2,,NM_131606.1,Endogenous,1,1,5,1,1,1,1,10,187899,1,2,7
foxd3,,NM_131290.1,Endogenous,2,1,3,1,2,1,2,31,2,1,1,3
foxg1b,,NM_212914.1,Endogenous,36,38,50,28,51,32,42,63,55,26,27,44
foxo1a,,NM_001077257.2,Endogenous,1,1,10,1,1,1,2,21,41902,1,1,10
foxo1b,,NM_001082857.1,Endogenous,1,1,1,1,3,3998,1,112,5982,1,1,21
foxp4,,NM_001199491.1,Endogenous,40,27,67,29,58340,37,43,149,72340,26,35,41
gapdh,,NM_001115114.1,Endogenous,1,24,10,1,14,6,20,53,42273,2,11,20
hbp1,,NM_001024431.1,Endogenous,104,90,158,77,84,66,102,80,38181,67,58,86
her9,,NM_131873.1,Endogenous,38,33,13164,18102,48,38,21284,41,20804,4595,33,12048
hmx1,,NM_001113526.1,Endogenous,2,1,2,1,3,2,1,159,1,1,1,4
hmx4,,NM_001045371.1,Endogenous,66,43,63,33,58,41,40,79,82,35,23,49
id2a,,NM_201291.1,Endogenous,37,30,44327,30,36,30,23,15662,67249,29,27,2333
impdh1b,,NM_001014369.2,Endogenous,34,26,38,23,62,23,25,108293,99,23,16,28
kita,,NM_131053.1,Endogenous,1,1,2,1,1,1,1,134301,4,1,1,40156
ltk,,XM_005158786.2,Endogenous,1,27,16,5,24,14,21,86,54,8,17,28
mbpa,,XM_002665557.1,Endogenous,1,25,14,2,17,6,17,37,32,3,5,26
mc1r,,NM_180970.1,Endogenous,1,2,8,1,1,1,1,22,31,1,1,7
mitfa,,NM_130923.1,Endogenous,1,1,48385,1,1,1,1,38005,33310,1,1,9
mlphb,,NM_001079679.1,Endogenous,1,1,1,1,3,1,1,115771,1,1,4,1
mycl1a,,NM_212937.1,Endogenous,1,1,4,1,4,1,1,10,127,1,1,4
myo5aa,,XM_009293794.1,Endogenous,1,1,11,1,1,1,1,19611,38,1,1,9
oca2,,XM_690715.7,Endogenous,1,1,2,1,3,1,1,134462,1,1,1,1
otx2,,NM_131251.1,Endogenous,1,1,8,1,1,1,1,32,46,1,1,4
pax3_v2,,XM_005163543.2,Endogenous,1,1,4,1,1,1,1,17,41,1,1,8
pax7a,,NM_131326.1,Endogenous,1,17,7,3,15,1,11,42,22,1,9,15
