Gene Name,Annotation,Accession #,Class Name,20160914_bath study mixed _48HPF_07_04(08_04_indexed)_sample_61 _01.RCC,20160914_bath study mixed _ 48HPF_07_04(08_04_indexed)_sample_62_02.RCC,20160914_bath study mixed _ 30HPF_13_04_sample_61_03.RCC,20160914_bath study mixed _30HPF_13_04_sample_62 _04.RCC,20160914_bath study mixed _30HPF_13_04_sample_63 _05.RCC,20160914_bath study mixed _30HPF_13_04_sample_64 _06.RCC,20160914_bath study mixed _30HPF_13_04_sample_65 _07.RCC,20160914_bath study mixed _ 30HPF_13_04_sample_66_08.RCC,20160914_bath study mixed _24HPF_06_04_sample_61 _09.RCC,20160914_bath study mixed _ 24HPF_06_04_sample_62_10.RCC,20160914_bath study mixed _24HPF_06_04_sample_63 _11.RCC,20160914_bath study mixed _ 24HPF_06_04_sample_64_12.RCC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48,48,30,30,30,30,30,30,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,
Kanamycin Pos,,Sub_Kan.1,Endogenous,277462,296608,114566,79845,57079,53282,121750,103449,101023,73593,88211,65781,,,,,,,,,,,,,,,,,,,,,,,,,
alx4b,,NM_001089357.1,Endogenous,79,48,11554,16,14,33,41998,36,22,11,18,18,,,,,,,,,,,,,,,,,,,,,,,,,
csf1r,,NM_131672.1,Endogenous,4,2,3,1,1,4,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
dpf3,,NM_001111169.1,Endogenous,10,2,2,1,1,5,11,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ednrba,,NM_131197.1,Endogenous,29,9,16856,12048,5,3961,10,12783,6,14,5,9,,,,,,,,,,,,,,,,,,,,,,,,,
ets1a,,NM_001017558.1,Endogenous,54586,1,1,1,1,7,5,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
fgfr3_v2,,NM_131606.1,Endogenous,60,1,2,1,1,2,7,1,1,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
foxd3,,NM_131290.1,Endogenous,64730,3,6843,2,1,1580,33558,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
foxg1b,,NM_212914.1,Endogenous,29,32,30534,27,6,27545,48134,33000,5,6,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
foxo1a,,NM_001077257.2,Endogenous,13,1,9,1,1,7,44,1,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
foxo1b,,NM_001082857.1,Endogenous,10,10489,2268,1,1,8,8225,5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
foxp4,,NM_001199491.1,Endogenous,54101,27,17,49,5,49,39,80,10,6,38,25,,,,,,,,,,,,,,,,,,,,,,,,,
gapdh,,NM_001115114.1,Endogenous,476,11,26,7,1,5,12,25,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
hbp1,,NM_001024431.1,Endogenous,84,71,43,20,16,33,52,37,25,20,25,18,,,,,,,,,,,,,,,,,,,,,,,,,
her9,,NM_131873.1,Endogenous,19045,7515,7089,14,6776,6803,14073,699,9,7,16,5,,,,,,,,,,,,,,,,,,,,,,,,,
hmx1,,NM_001113526.1,Endogenous,4,3,23300,1,1,14186,8,20579,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
hmx4,,NM_001045371.1,Endogenous,49,30,5336,31,2,3944,37,5045,9,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
id2a,,NM_201291.1,Endogenous,22837,21395,20,4174,4835,14836,24777,15317,5,2254,9,6,,,,,,,,,,,,,,,,,,,,,,,,,
impdh1b,,NM_001014369.2,Endogenous,34576,34,5365,52803,10,52077,12394,97212,5,5,34521,24060,,,,,,,,,,,,,,,,,,,,,,,,,
kita,,NM_131053.1,Endogenous,6,5,9,1,1,101,506,5,1,155,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ltk,,XM_005158786.2,Endogenous,27,15,34,8,5,4,14,35,4,4,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
mbpa,,XM_002665557.1,Endogenous,21,11,9,5,1,5,36963,33,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
mc1r,,NM_180970.1,Endogenous,16,1,3,1,2,1628,15544,1,1,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,
