Gene Name,Annotation,Accession #,20160928_bath study 48hpf  15-09-16 stripB_ _01.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _02.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _03.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _04.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _05.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _06.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _07.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _08.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _09.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _10.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _11.RCC,20160928_bath study 48hpf 15-09-16 stripB_ _12.RCC
,,,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,162020,151578,179132,88094,103443,21692,136335,115068,172206,61953,69594,60279
alx4b,,NM_001089357.1,42,23785,28823,19,15805,12339,7028,17,29,8,7,10
csf1r,,NM_131672.1,1,1,11,1,1,2,3,1,4,1,1,2
dpf3,,NM_001111169.1,1,4,17,1,4,4,1,2,7,1,2,1
ednrba,,NM_131197.1,6,19066,208,4,1,5706,19,6,16583,3,1,14764
ets1a,,NM_001017558.1,8,2,12673,11097,1,9,7,2,3,1,2,3
fgfr3_v2,,NM_131606.1,6,7,21,1,1,5,4,4,5,1,1,1
foxd3,,NM_131290.1,1,309,67221,1,11012,562,5,2,3817,1,886,2892
foxg1b,,NM_212914.1,26,21,43722,28297,69,12929,18,12,11,5,6,6
foxo1a,,NM_001077257.2,5,1,53997,1,1,6,51,4,5,1,13932,96
foxo1b,,NM_001082857.1,10,5670,10601,725,7,1380,5365,3608,4450,1,1,1436
foxp4,,NM_001199491.1,22,39,55,15,6,7,9,11,17,8,9180,7
gapdh,,NM_001115114.1,5,10,4211,2,8,16,23,3,5,1,4,5
hbp1,,NM_001024431.1,45,71,2297,25,227,18,33,22,682,11,12,7906
her9,,NM_131873.1,21945,276,17427,11,9,20645,25701,13,12738,9,4,3919
hmx1,,NM_001113526.1,186,20,39026,1,541,26970,16405,4881,22731,1,1,1
hmx4,,NM_001045371.1,16,175,35925,15,124,12,12,18939,13584,11078,408,6
id2a,,NM_201291.1,73568,41603,31735,10335,88,15631,14309,17417,26151,7,9106,7847
impdh1b,,NM_001014369.2,21,19857,40789,83,3520,14,33,3961,17,9,10393,34
kita,,NM_131053.1,1,48,27721,1,17669,4,7,3,14145,1,1,11
ltk,,XM_005158786.2,14,16,8736,1,2,249,11,4,4152,2,1,9
mbpa,,XM_002665557.1,51,12,27625,3,19658,801,21440,1,10376,2,14048,2
mc1r,,NM_180970.1,37,6,29409,4,9694,6783,19563,1,4092,1,1,2
mitfa,,NM_130923.1,1,2414,18,2,5,3,3,226,2,1,2,4
mlphb,,NM_001079679.1,1,1,10,1,2,1,2,1,7,1,1,1
mycl1a,,NM_212937.1,3,3,10,3,1,10,2,2,6,1,1,2
myo5aa,,XM_009293794.1,3,6,19,1,2,2,2,1,2,1,3,1
oca2,,XM_690715.7,1,4,10,1,1,2,1,1,1,1,1,1
otx2,,NM_131251.1,47,214,25192,1,148,49475,25618,21635,37633,1,1,1
