Gene Name,Annotation,Accession #,Class Name,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _01.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _02.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _03.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _04.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _05.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _06.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _07.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _08.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _09.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _10.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _11.RCC,20161018_bath study 30hpf mitta w2 28-09-16 stripA_ _12.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _01.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _02.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _03.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _04.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _05.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _06.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _07.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _08.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _09.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _10.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _11.RCC,20161019_bath study 30hpf mitta w2 strip B 28-09-16_ _12.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _01.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _02.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _03.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _04.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _05.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _06.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _07.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _08.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _09.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _10.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _11.RCC,20161019_bath study mitta w2 28-09-16 STRIP C 30hpf_ _12.RCC
,,,,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2,30 w2
Kanamycin Pos,,Sub_Kan.1,Endogenous,20353,96207,35803,41628,31868,71939,31843,32310,22249,44895,32449,35246,49704,27456,47761,53256,39270,57864,43036,56763,36976,36797,41171,33378,50439,46749,44964,58410,65917,56638,41294,41836,46351,1,42514,51026
alx4b,,NM_001089357.1,Endogenous,6,43,10,9,10,28,6,10,19147,11,2788,4,7,17033,523,9,9,29770,9,11,10,15397,12,33326,17777,6,10,6,10,20,8,8,15,1,5,10
csf1r,,NM_131672.1,Endogenous,1,6,1,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,7,1,1,1,1,1,1,3,2,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,8,1,4,1,4,1,1,1,1,1,2,3,1,3,1,1,4,2,1,1,1,1,11,8,1,1,1,1,1,1,2,2,1,1,1
ednrba,,NM_131197.1,Endogenous,2,15690,1842,5381,4216,9,1,10670,1,1,3,4,2,9,3437,5,4,24289,21246,4,2,12,1,27812,129,7661,1,6,16773,5817,11128,1,5,1,1,4
ets1a,,NM_001017558.1,Endogenous,1,5165,10,3,1,9,1,1,2,1,1,1,1,10,5,1,1,3,1,9097,1,1,1,11,5,1,1,1,1,3,1,1,1,1,2,1
fgfr3_v2,,NM_131606.1,Endogenous,1,7,9,3,1,14,1,2,1,1,1,1,5,6,12,1,1,3,1,2,3,1,3,11,3,1,1,1,1,1,1,1,1,1,1,1
foxd3,,NM_131290.1,Endogenous,4,37,1,27528,20603,20117,1,1,10883,2,1,2,1,1,47,1,1,45103,17693,1,1,251,1,59061,28140,1,1,2,1,1,2,1,1,1,1,1
foxg1b,,NM_212914.1,Endogenous,1,15,7,16030,3,12,4,4,10679,6,3,2,6,15,9,1,29916,11,5,7,3,6,4,42031,29877,19846,4,2,3,42258,10,3,10,1,1,10900
foxo1a,,NM_001077257.2,Endogenous,1,10637,3,156,1,26091,1,1697,1,1,1,1,6,29454,35,1,3891,94,1,15749,5695,1,3,34306,396,1,1,1,1,46,1,1,1,1,1,1
foxo1b,,NM_001082857.1,Endogenous,1,3,3251,6075,1,6044,1,1,2,1,1,1,1,4423,5,1,1,1070,1,1,1,1,20,72,9,1,1,1,1,1,1,1,2,1,68,1
foxp4,,NM_001199491.1,Endogenous,2,10553,14,5,4,12259,4,4,10,2,2,2,5,10,12,5,9,18,22,5,8,10,4,32,22,8,13,3,23,7,7,1,3,1,1,5
gapdh,,NM_001115114.1,Endogenous,1,6023,13,436,27,7,1,3,2,1,1,2,4,2,3,6,1,5,2,1,1,2,5864,2534,1,406,1,1,6,1,1,1,1,1,1,2
hbp1,,NM_001024431.1,Endogenous,6,27961,9,15,4,30,10,6,13,14,3,3,7,19,16,10,9,58,10,8,6,13,8,1696,21,9,13,7,18,324,3,7,9,1,7,10
her9,,NM_131873.1,Endogenous,1,11747,9883,55,41,15080,650,2303,6252,10827,3,5086,6,8197,9117,20,5,16,7,4,6,5,6,11114,6550,5,1792,6,4441,6895,5,4,4,1,5,4
hmx1,,NM_001113526.1,Endogenous,1,24,1,21403,1,21835,1,1,5211,1,4592,2,4681,18,85,1,2541,1,1,1,1,1624,1,27436,98,1,1,2,1,1,4277,1,1,1,1,84
hmx4,,NM_001045371.1,Endogenous,2,59,9,16657,3,28341,4,5,1641,3,925,6,4503,6881,174,6,3,2822,18749,3,2,7,4,26161,9,8,24581,3,7,7,6,4,4,1,22762,7
id2a,,NM_201291.1,Endogenous,1,23494,7543,14492,1,31800,1240,3,4,336,4,2,8,19016,8,7,7,6,11477,4,2,9451,12410,30808,21254,2,1,4,4,10,19435,7,20007,1,206,3
impdh1b,,NM_001014369.2,Endogenous,3,81919,13169,2346,2,14,1,14,8,6,1,1,5,494,17587,5,7054,23172,14374,5,3,11,4,45940,11139,16687,10230,4,21911,4861,7321,125,45,1,4,563
kita,,NM_131053.1,Endogenous,1,48,9,8,2,15,1,1,1,7673,2545,1,1,8,20194,1,1,5478,638,1,1,1,1,27919,18951,1,1,1,1,1,2,1,1,1,1,1
ltk,,XM_005158786.2,Endogenous,1,11626,4,5779,2,5075,2,2,5174,1,3298,1,3,3,24,6,3,37,8,1,1,8551,5,9207,2757,1,1,12030,7,4,3,1,1,1,1,3
mbpa,,XM_002665557.1,Endogenous,2,20,2,25166,3,13713,1,1,8793,1,1,1,6,11672,3,8,1,4694,2,6,2,1,16812,25575,2,3,1,1,2,74,1,2,7,1,1,1
mc1r,,NM_180970.1,Endogenous,1,20,9,6515,772,2490,5,1,8240,1,1,7213,4,10,32799,1,1,8889,1,2,2,1,17163,20916,15205,1,330,1,1,1,1,1,1,1,1,1
mitfa,,NM_130923.1,Endogenous,1,27273,7,1511,1,9,1871,1,3,1,1,1,23667,9,4,1,2,5,1,1,2,1,5,1596,16887,3542,1,1,1,1,1,1,1,1,7,1
mlphb,,NM_001079679.1,Endogenous,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,3,1,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,1,12,6,1,1,11,1,1,1,1,1,1,2,6,9,1,1,2,1,1,2,1,2,508,1,1,1,1,1,1,1,1,1,1,1,1
myo5aa,,XM_009293794.1,Endogenous,1,12,4,2,1,6,1,1,3,1,1,2,4,2,6,1,1,2,2,2,4,1,3,15,7,1,1,1,1,1,1,1,1,1,1,1
oca2,,XM_690715.7,Endogenous,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,16,1,1,1,1,1,153,4,1,1,1,1,1,1,1,1,1,1,1
otx2,,NM_131251.1,Endogenous,1,34223,25264,4,1,37052,1,118,2,1,5,1,4,3,17834,1,1,4,1,1,19080,1,2,48175,1,1,1,1,1,110,1,1,2,1,1,1
pax3_v2,,XM_005163543.2,Endogenous,1,8997,6,8,1,10,4,1,5,1,1,8,5,9,17,1,1,396,1,2,3,1,7624,969,10,4,1,1,1,1,1,4,1,1,1,1
pax7a,,NM_131326.1,Endogenous,1,21331,1,5,1,13,1,4,1,1,1,1,4,7,1,3,3,30,5,4,1,1,5,1121,2,2,1,4,7,789,1,1,17194,1,1,1
pax7b,,NM_001146149.1,Endogenous,1,30115,4,9,3,22131,1,6,1,7040,1,1,2,17264,1,3905,1,8971,4,9,1,1,6,32366,5,2,2,21312,2,6,1,2,4,1,637,1224
phox2b,,NM_001014818.1,Endogenous,1,22197,244,389,1,19,2,1,12483,5,3,5,6,38,17,6,7,11540,11,3,5,15626,5,15243,22983,11,14,2,17,25,4,3,2,1,4,15029
pnp4a,,NM_001002102.1,Endogenous,2,13721,3,8,2,12,2,1,4,8,2,3,5,8,11,2,2,5,4,2,3,6,6,10,13,4,3,4,1,9,3,4,5,1,7,6
rpl13,,NM_198143.1,Endogenous,6225,86528,8398,23180,7739,80723,6644,9243,8471,1,5491,10044,34150,17051,12824,52907,12839,53552,26368,35824,9971,9187,26987,18058,29199,12437,12961,14085,26386,19042,18047,11814,20628,1,8323,23260
silva,,NM_001045330.1,Endogenous,1,2,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,5,1,1,1,1,1,1,1,2,1,1,1
slc24a5,,NM_001030280.1,Endogenous,1,1,2,20,1,18,1,1,3,2,3,1,1,2,1,1,2,3,1,1,1,1,1,701,4,1,1,1,1,3,1,2,2,1,1,1
smad9,,NM_001004014.1,Endogenous,1,24,2,6,2,10,1,4,2,1,1,1,1,7,6,4,1,13,7,3,2,1,5,42,2,1,4,3,9,2,2,1,1,1,1,2
snail2,,XR_661767.1,Endogenous,1,10,12598,14200,1,16814,1,1,4,1,1,1,3,18853,9476,1,1,15780,1,5,4,1,1,1068,7,1,1,1,1,14334,1,1,1,1,1,1
sox10,,NM_131875.1,Endogenous,1,12229,1,6,3,3,1,1,4,1,1,3,1,1,9176,1,1,4,1,1,1,1,1,7,15,1,1,3,1,1,1,4659,3,1,1,2
sox5,,NM_001033585.1,Endogenous,3,29,4,6,3,15,1,3,6,4,6,4,4,4,5,3,5,10,6,5,5,7,2,16,17,3,2,4,4,6,5,4,5,1,6,3
sox9b,,NM_131644.1,Endogenous,1,2,1,5,1,10304,1,1,1,1,1,1,1,7024,2,1,2,2,1,1,1,1,1,1497,3,1,1,1,1,1,1,1,3,1,1,1
