Gene Name,Annotation,Accession #,20161025_bath study mitf w2 05-10-16 30hpf strip E_ _01.RCC,20161025_bath study mitf w2 05-10-16 30hpf strip E_ _02.RCC,20161025_bath study mitf w2 05-10-16 30hpf strip E_ _03.RCC,20161025_bath study mitf w2 05-10-16 30hpf strip E_ _04.RCC
,,,30 w2,30 w2,30 w2,30 w2
Kanamycin Pos,,Sub_Kan.1,59896,68172,74474,387
alx4b,,NM_001089357.1,11,11,24241,1120
csf1r,,NM_131672.1,1,1,4,1
dpf3,,NM_001111169.1,1,5,6,1
ednrba,,NM_131197.1,3,143,34397,286
ets1a,,NM_001017558.1,1,1,1,1
fgfr3_v2,,NM_131606.1,1,4,1,1
foxd3,,NM_131290.1,2460,31251,4,1
foxg1b,,NM_212914.1,2297,6,32,912
foxo1a,,NM_001077257.2,1,1,1,1
foxo1b,,NM_001082857.1,1,1,11,1
foxp4,,NM_001199491.1,4,8,12,1
gapdh,,NM_001115114.1,1,2,412,1
hbp1,,NM_001024431.1,12,13,27,1
her9,,NM_131873.1,4,11398,20934,335
hmx1,,NM_001113526.1,1,1,18704,1
hmx4,,NM_001045371.1,4,5,10,1
id2a,,NM_201291.1,1,9,2846,1
impdh1b,,NM_001014369.2,5,5,2206,29
kita,,NM_131053.1,640,1,24570,210
ltk,,XM_005158786.2,4,5518,13,1
mbpa,,XM_002665557.1,1,4,25518,1
mc1r,,NM_180970.1,1,1,4,1
mitfa,,NM_130923.1,1,1,399,1
mlphb,,NM_001079679.1,1,1,1,1
mycl1a,,NM_212937.1,1,1,2,1
myo5aa,,XM_009293794.1,1,1,1,1
oca2,,XM_690715.7,1,2,3,1
otx2,,NM_131251.1,1,15569,2,2287
pax3_v2,,XM_005163543.2,1,2,3,1
pax7a,,NM_131326.1,3,3,10,1
pax7b,,NM_001146149.1,8,2,21443,1
phox2b,,NM_001014818.1,3,4491,8711,1
pnp4a,,NM_001002102.1,4,6,11,1
rpl13,,NM_198143.1,16899,2,25417,512
silva,,NM_001045330.1,1,1,2,1
slc24a5,,NM_001030280.1,1,1,10,1
smad9,,NM_001004014.1,1,1,15,1
snail2,,XR_661767.1,1,1,4,1
sox10,,NM_131875.1,2,5,11773,1
sox5,,NM_001033585.1,6,5,7,1
sox9b,,NM_131644.1,1,2,2,1
tfap2a,,NM_176859.2,1,1,15396,1
tfap2e,,NM_200821.1,2,14429,12,1
tfec,,NM_001030105.2,1,13912,1,1
tyr,,NM_131013.1,1,3,3,1
tyrp1b,,NM_001002749.1,2,1,19,1
NEG_A,,ERCC_00096.1,2,2,1,1
NEG_B,,ERCC_00041.1,3,1,2,1
NEG_C,,ERCC_00019.1,1,1,1,1
NEG_D,,ERCC_00076.1,1,1,1,1
NEG_E,,ERCC_00098.1,4,6,6,1
NEG_F,,ERCC_00126.1,7,1,10,1
NEG_G,,ERCC_00144.1,1,1,1,1
NEG_H,,ERCC_00154.1,1,1,2,1
POS_A,,ERCC_00117.1,18359,16689,17164,315
POS_B,,ERCC_00112.1,4674,4302,4522,76
POS_C,,ERCC_00002.1,1294,1252,1280,60
POS_D,,ERCC_00092.1,355,278,278,5
POS_E,,ERCC_00035.1,51,56,46,1
POS_F,,ERCC_00034.1,14,24,16,1
