Gene Name,Annotation,Accession #,Class Name,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _01.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _02.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _03.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _04.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _05.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _06.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _07.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _08.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _09.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _10.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _11.RCC,20170503_bath study 30hpf 16-03-17 strip a plate 1_ _12.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _01.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _02.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _03.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _04.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _05.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _06.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _07.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _08.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _09.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _10.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _11.RCC,20170503_bath study 30hpf 16-03-17 strip b plate 3_ _12.RCC
,,,,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618
Kanamycin Pos,,Sub_Kan.1,Endogenous,60264,43770,50797,64647,39926,41306,38918,31893,29774,40856,30556,17493,76877,89292,75744,72845,61560,65911,67405,81459,68073,64409,71461,65916
alx4b,,NM_001089357.1,Endogenous,5,5,4,21,4,4,2,3,13391,14,7,1,24964,20062,9,22382,21,17,13,36,6400,46,14,16
csf1r,,NM_131672.1,Endogenous,1,1,1,1,1,1,1,1,2,1,1,1,7,2,2,6,1,1,2,1,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,1,1,1,2,1,3,1,4,1,3,1,15,5,1,2,1,1,6,1,1,1,1,1
ednrba,,NM_131197.1,Endogenous,3,2,3,2924,4254,1,1053,11297,11173,4,9220,2,24881,23178,20651,17601,5,1,13102,7,6611,13,13,1
ets1a,,NM_001017558.1,Endogenous,5008,1,1,1,1,3,1,1,5,1,3990,1,17,3,10,1,1,5,1,3,5,1,1,1
fgfr3_v2,,NM_131606.1,Endogenous,1,3,1,1,1,1,2,2,5,1,1,1,15,7,9,1,4,5,1,1,6,3,1,1
foxd3,,NM_131290.1,Endogenous,1,1,1,21320,17093,1,1,1,18475,1,4761,8,46653,28818,685,35188,1,1,13,1,1,1,1,1
foxg1b,,NM_212914.1,Endogenous,1,5,2,19651,7,2,3,2,21393,14158,2268,1,50429,39,7,14,4,24433,35238,30896,17,9,12,21951
foxo1a,,NM_001077257.2,Endogenous,1,2,1,1,1,8292,1,1,7492,1,1,1,9,34120,6,1,32,9,3,2,6,266,1,18117
foxo1b,,NM_001082857.1,Endogenous,1,1,1,2,3212,1,1,1,3609,1,3377,1,7034,4935,4452,3,985,5,9,1851,1,1,1,1
foxp4,,NM_001199491.1,Endogenous,8,3,1,17,7,5,5,1,13,5,5,2,42,30,5,28,11,8,11,13176,6,3,12,16
gapdh,,NM_001115114.1,Endogenous,1,323,11607,4,2,8,2,1,699,14,1,1,206,5,193,263,5,1,12,12,98,8,3,1
hbp1,,NM_001024431.1,Endogenous,7,9,3,16,8,5,4,2,15,10,8,3,35,29,10,34,24,23,31,38,26,24,13,15
her9,,NM_131873.1,Endogenous,7326,2,9,22152,1,3,1,3,6772,1,2,3606,17941,19407,11,7366,12871,10,10590,23731,14392,11661,6415,9
hmx1,,NM_001113526.1,Endogenous,486,2,1,1,1,1,1,1,24022,16355,19603,1,39344,15280,92,4,666,2,639,1,1,373,1,1
hmx4,,NM_001045371.1,Endogenous,6,3,1,9,6,9480,5,1,18395,22739,13618,3,37044,14,107,14,17,4,22627,20888,12,8,5,7
