Gene Name,Annotation,Accession #,Class Name,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _01.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _02.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _03.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _04.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _05.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _06.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _07.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _08.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _09.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _10.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _11.RCC,20170510_bath study 30hpf 06-04-17 strip c plate 2_ _12.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _01.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _02.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _03.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _04.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _05.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _06.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _07.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _08.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _09.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _10.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _11.RCC,20170510_bath study 30hpf 06-04-17 strip d plate 2_ _12.RCC
,,,,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618
Kanamycin Pos,,Sub_Kan.1,Endogenous,99357,117310,116149,84684,83081,90842,140611,135707,118358,165546,100655,58992,117021,86476,87525,92597,125299,107067,83067,76960,89357,86235,88751,121062
alx4b,,NM_001089357.1,Endogenous,304,28,1212,21,26,141,47,29,33,44,38,12,31,19174,18,10145,42,23,15,14,18510,129,16,7046
csf1r,,NM_131672.1,Endogenous,1,3,1,3,6,1,3,1,9,1,4,1,1,1,1,1,5,1,1,5,1,1,3,1
dpf3,,NM_001111169.1,Endogenous,1,2,1,4,7,6,4,1,8,3,5,1,1,7,2,1,5,1,1,2,5,3,2,1
ednrba,,NM_131197.1,Endogenous,19522,94,5,10,11150,22035,27,10,4420,15,10,8,652,20285,10108,13,27,18224,14599,2,17031,8,19247,19635
ets1a,,NM_001017558.1,Endogenous,10,3,1,8,10,1,1,1,8,3,3,5,1,10,1,1,1,1,1,2,6,2,1,1
fgfr3_v2,,NM_131606.1,Endogenous,10,5,1,10,7,1,1,5,8,6,4,3,1,5,1,3,1,2,3,2,8,1,1,1
foxd3,,NM_131290.1,Endogenous,1,17851,6,27417,25728,5,11943,1,52992,7,6,12193,1,17846,3237,10483,27124,1,1,2,11,26004,4715,2498
foxg1b,,NM_212914.1,Endogenous,7,731,20,37,15541,13,39009,34695,35,267,15,5,8,23,1040,36387,21,692,11,11,25423,21,16347,33451
foxo1a,,NM_001077257.2,Endogenous,36612,4,1,11,28192,25,20,3,4,6,5,21820,1,28264,1,2,1,1,9,1,11,12,1,1
foxo1b,,NM_001082857.1,Endogenous,1,1,523,979,3,5,2,12,1,10,3779,3951,5554,8,3108,7,7,7,3765,3732,18,1,35,1
foxp4,,NM_001199491.1,Endogenous,20,6,26,25,28,8,31,29,23,35,16,5,28,8,15,26,14562,12,12,16,31,23,23,14
