Gene Name,Annotation,Accession #,Class Name,20170512_bath study 24hpf 27-04-17 strip a tails_ _01.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _02.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _03.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _04.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _05.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _06.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _07.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _08.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _09.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _10.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _11.RCC,20170512_bath study 24hpf 27-04-17 strip a tails_ _12.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _01.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _02.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _03.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _04.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _05.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _06.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _07.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _08.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _09.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _10.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _11.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _12.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _01.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _02.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _03.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _04.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _05.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _06.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _07.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _08.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _09.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _10.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _11.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _12.RCC
,,,,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail
Kanamycin Pos,,Sub_Kan.1,Endogenous,53676,50290,58094,67144,57141,64277,69920,73390,62867,58677,52653,57583,67035,79918,81609,81442,93897,63558,97209,77975,112861,96036,66845,70961,74345,50510,61420,136,47845,67858,61202,63760,41858,65055,54190,83539
alx4b,,NM_001089357.1,Endogenous,23258,9,20,23,32,25904,35,35,24621,27236,11,19730,36631,30308,35283,29,18,27763,33,17,50005,48,44448,933,13913,11,34487,1,23900,30,33976,30644,12662,20,28014,30
csf1r,,NM_131672.1,Endogenous,17,5,1,1,5,4,1,1,5,5,1,6,4,14,18,10,1,9,5,1,5,3,19,2,1,1,5,1,11,1,20,14,1,1,1,2
dpf3,,NM_001111169.1,Endogenous,22,3,1,1,23,5,1,2,11,8,1,8,20,29522,32,26,1,18,18,2,5,5,35,1,5,1,9,1,19,3,18,10810,851,1,1,4
ednrba,,NM_131197.1,Endogenous,17,10,12,10,22967,12,9,16,32888,195,15,11104,23,30904,5266,22,14,19583,7,9,44559,27525,41431,2,52,4,26764,1,24015,1,24920,31899,6681,14,26200,37853
ets1a,,NM_001017558.1,Endogenous,6,1,1,1,8,5,1,2,7,6,6,19,8,19,22,18,1,30,7,17,13,12,51,2,14,1,7,1,24,4,26,20,5,1,1,31158
fgfr3_v2,,NM_131606.1,Endogenous,11,1,1,1,5,5,1,1,9,5,4,16,7,23,26,5,1,26794,6,11,24,15,49,1,7,1,14,1,20,4,21,21,31322,1,1,3
foxd3,,NM_131290.1,Endogenous,40992,37632,1,8,43972,46785,1,13,60666,46233,1,17052,57490,10,60321,37802,1,44288,10,1,3,1,79016,2949,1872,1,48112,1,48997,4,59765,43209,4807,1,1,7
foxg1b,,NM_212914.1,Endogenous,49,9,14,24,47496,52675,44,29,60796,3077,5,2497,54610,15,42,60359,11,39556,48172,5,31,21979,90950,13521,15,5,55084,1,43339,49120,64584,48894,5696,13,5,74
foxo1a,,NM_001077257.2,Endogenous,4613,1,1,1,5,13,1,1,13,1,4,22867,8,14,37664,24,1,505,8,49921,17,19,65618,220,9,1,5180,1,42679,29940,52400,351,173,1,1,925
foxo1b,,NM_001082857.1,Endogenous,2504,3,1,1,7204,4,1,5945,10100,10,1,8077,3762,8496,8946,8392,2197,32,5164,1,13218,4,12608,2,658,1,5736,1,5920,3,9686,4484,420,6169,1,1
foxp4,,NM_001199491.1,Endogenous,54,9,7,2,55,37,18,19,51,52,4,3236,24,36,17827,35,9,56,37,7,60,81,140,8,34,3,41,1,49,21454,51,25651,20344,9,12,31623
gapdh,,NM_001115114.1,Endogenous,14,4,4,6,20,8,7,13,25716,6,4,9618,19,15,19,7,9,12543,3,7,31,31,25,1,11,1,10,1,14,1,25,24,9,7,5,10
hbp1,,NM_001024431.1,Endogenous,34,12,24,10,42,43,43,34,31,27,26,32,39,47,63,47,28,41,50,20,89,29,73,18,29,11,28,1,36,29,39,55,34,21,21,35
her9,,NM_131873.1,Endogenous,26,6850,11412,9,22030,7082,27554,26302,15796,6665,15616,15592,749,16144,23208,15,11553,14710,22127,12,32886,75,21542,5,22699,7,11735,1,13323,9099,15565,19924,9965,12138,9,16
hmx1,,NM_001113526.1,Endogenous,48174,2,1,1,41779,3,1,2,47062,5,1,59100,509,57171,40925,67731,1,62560,11,1,111532,23228,94177,1,6,1,30840,1,55120,58781,68147,63631,9129,1,1,3066
hmx4,,NM_001045371.1,Endogenous,34698,3,10,15,37166,30390,17,20,3240,20,17,32,38095,44567,23,25,9,41164,28,6,60518,26094,67064,7,33,8,27794,1,44330,15114,48434,46059,7915,16,9,18207
id2a,,NM_201291.1,Endogenous,30875,8053,7,31,45526,47110,56471,43928,37253,30854,5,29457,35123,39915,63364,11613,7,62023,13651,19,41637,34544,78400,12,6,3,35474,1,39208,19,41102,45765,6972,34646,13,53438
impdh1b,,NM_001014369.2,Endogenous,15888,7,10,9,21393,29,18,59,32630,30213,3,44755,35,41,36775,48,10,30658,41,5,69,42542,64136,11,34989,6,29493,1,29276,16817,27043,30365,27880,14,15,119
kita,,NM_131053.1,Endogenous,22490,2,1,1,24846,8,1,260,16338,6,1,44,12,21,32779,32469,1,37817,24434,1,30054,313,32179,9840,1000,1,23488,1,13053,10,25738,36582,3849,2,3,4
ltk,,XM_005158786.2,Endogenous,24,13,10,9,27,18,15,18,25,4,10,2750,21,42,44,19,12,37,5,6,37,30,54,1,10,1,29,1,9,1,27,33,20,18,7,29
mbpa,,XM_002665557.1,Endogenous,19318,7,5,8,25401,23252,7,19,5199,14566,7,10,26711,14,21704,9,10,24167,3,21443,43054,31,23101,130,1201,1,24352,1,21510,2117,32426,15508,1468,5,5,105
mc1r,,NM_180970.1,Endogenous,29188,1,1,37,3,24877,1,3,50396,3266,5,16545,13,38524,61052,6,1,38222,15,14783,25,54938,51640,1369,25287,1,38684,1,38266,18078,42346,37625,4283,1,1,4
mitfa,,NM_130923.1,Endogenous,402,1,1,1,3,4,1,1,136,4,5,47,2,503,1179,3,104,185,4,11,214,10,62,21,5,1,1906,1,25,6,329,598,30,1,1,1
mlphb,,NM_001079679.1,Endogenous,11,1,1,1,11,4,1,9,6,3,1,7,9,8,21,16,1,19,13,1,11,3,16,1,5,1,4,1,11,5,20,18,5,1,1,5
mycl1a,,NM_212937.1,Endogenous,12,1,1,1,6,1,1,1,3,3,4,12,11,17,24,5,1,37,16,12,25,17,41348,1,1,1,16,1,19,7,19,22,12,1,1,2
myo5aa,,XM_009293794.1,Endogenous,4,1,1,1,4,8,1,1,9,6,6,12,4,12,36,6,1,15,10,15,11,9,36,1,2,1,15,1,24,9,18,18,8,1,1,3
oca2,,XM_690715.7,Endogenous,9,3,1,1,7,3,1,2,9,5,1,4,12,11,17,13,1,11,6,2,6,1,17,1,4,1,2,1,7,1,13,20,1,1,1,2
otx2,,NM_131251.1,Endogenous,38105,1,1,1,35612,7,1,1,5,12157,431,60553,19531,47456,50212,3,1,52256,47530,5,102489,8,104143,1,4,1,51889,1,56974,4,51507,72740,7856,1,1,5731
pax3_v2,,XM_005163543.2,Endogenous,21,1,1,1,4,16,1,1,25,1,9,26,5,31,58,12,1,32,15,25,22,33,63,1,15,1,16,1,37,14,47,39,6,1,1,2
pax7a,,NM_131326.1,Endogenous,14,4,10,8,15,11,9,6,12,8,6,19,12,21,13,6,10,19,2,7,31,19,25,1,6,1,14,1,10,2,20,23,5,2,2,14
pax7b,,NM_001146149.1,Endogenous,23273,10,7924,11,19,19,50,19,25930,21967,8,21415,33003,30250,35,33627,12,20280,7,14,43811,3394,48538,1,36,2,29884,1,29543,2,36888,30889,4827,10,29,7461
phox2b,,NM_001014818.1,Endogenous,24551,2,6,94,25613,16444,21,13,31941,16064,3,529,39595,37384,36499,46707,12,23518,45105,16,56427,44563,47976,14,62,8,31837,1,32400,21,33045,34731,6007,13,15311,26
pnp4a,,NM_001002102.1,Endogenous,22,8,10,12,26,26,16,174,24,12,10,13,30,16,27,15,11,30,20,16,30,21,41,5,15,3,16724,1,24,22,31,28,6,5,9,12
rpl13,,NM_198143.1,Endogenous,57209,55519,52470,53964,62495,84461,90789,91437,59325,6443,58389,67126,74835,89438,104423,81368,87030,49244,37669,7,94151,123926,128427,9478,84399,10893,54842,1,10487,7,43232,89758,48205,52154,12,96696
silva,,NM_001045330.1,Endogenous,8,2,1,1,10,6,1,5,2,7,1,9,9,6,20,17,1,15,5,1,10,3,19,1,6,1,4,1,6,4,22,14,2,1,1,1
slc24a5,,NM_001030280.1,Endogenous,30,3,1,1,32,10,1,4,26,4,1,39,10,37,34,40,1,44,10,1,62,10,65,1,5,1,21,1,46,37,59,40,7,1,1,5
smad9,,NM_001004014.1,Endogenous,17,7,12,12,20,13,10,18,30,1,8,34,20,25,23,22,14,29,3,14,37,36,42,1,12,1,11,1,15,1,25,17594,1259,21,9,34
snail2,,XR_661767.1,Endogenous,8,1,1,1,22340,2,1,8212,3,13890,27583,8408,24410,12,41732,59556,1,45691,11,30997,12,48859,72734,1080,37202,1,22214,143,41047,1837,47414,43422,5870,1,1,7
sox10,,NM_131875.1,Endogenous,9865,6104,1,3,12119,8513,1,2,8,4140,1,9,11509,16711,14080,8800,1,8721,13,2,11,17919,19249,1,10,1,5920,1,10607,194,13490,15210,4533,1,2,12707
sox5,,NM_001033585.1,Endogenous,17,12,3,4,29,25,17,25,23,22,5,19,24,33,37,25,14,43,23,6,35,29,40,8,13,8,30,1,21,17,33,30,8,12,7,14
sox9b,,NM_131644.1,Endogenous,24,1,1,7,35161,37854,1,39912,12,7,1,22673,41515,10,48945,52064,1,48189,46333,1,13,1658,56726,3,39678,1,12673,1,19869,5,47777,43634,6056,1,1,6963
tfap2a,,NM_176859.2,Endogenous,17,1,1,5,6,20847,4303,3,16540,4,21961,30052,23085,33072,31958,217,1,34920,31192,20,50104,29168,49056,1,11,1,31504,1,31639,16,38156,32661,5812,1,1,4
tfap2e,,NM_200821.1,Endogenous,19437,8,8,3,19608,12,8,11,29736,3,3,26,9942,14,25007,23180,4,19720,6,1,16,7965,37330,1,7,1,23910,1,22750,12265,28077,28108,5467,26264,85,948
tfec,,NM_001030105.2,Endogenous,36686,6,1,1,21,12,1,2,11,34190,1,14,19864,39659,41360,23286,2,31779,53736,6603,11,9,56277,1,21083,1,33425,1,34860,5,50035,28399,2463,2,1186,505
tyr,,NM_131013.1,Endogenous,15001,1,179,1,13542,2,20,3,17,10760,1,7979,7,20,32,24,1,12788,25,1,29000,274,32004,1,797,2,5944,1,22525,8,27289,24235,3322,3,8511,96
tyrp1b,,NM_001002749.1,Endogenous,21,13,12,9,31,19,18,12,36,7,10,47996,22,31,26,24,22,33708,6,54517,51,42,45,2,20,3,21,1,23,2,25,60,18,14,8,23
NEG_A,,ERCC_00096.1,Negative,9,1,4,1,15,9,5,1,4,2,1,9,5,12,13,1,2,17,3,4,14,14,27,4,7,4,7,3,13,7,17,23,12,4,4,6
NEG_B,,ERCC_00041.1,Negative,4,8,2,6,12,4,1,2,5,2,1,2,4,4,3,5,5,5,1,8,6,5,10,1,5,1,6,1,4,1,4,7,1,3,1,6
NEG_C,,ERCC_00019.1,Negative,2,1,1,1,1,1,1,1,2,1,1,2,2,1,4,1,1,2,1,2,1,2,6,2,1,1,3,1,2,1,5,1,1,1,1,1
NEG_D,,ERCC_00076.1,Negative,2,2,2,1,5,1,1,1,1,1,1,4,1,4,4,10,1,7,4,1,1,1,10,1,3,1,5,1,6,3,6,8,1,1,1,1
NEG_E,,ERCC_00098.1,Negative,6,2,5,4,5,9,4,7,6,10,2,6,11,3,11,5,4,4,11,4,13,6,18,2,4,1,10,1,8,4,14,11,8,2,2,4
NEG_F,,ERCC_00126.1,Negative,8,15,8,12,12,16,11,10,13,3,6,21,18,15,19,15,8,8,8,5,23,26,29,6,11,4,13,1,7,1,12,19,8,15,4,25
NEG_G,,ERCC_00144.1,Negative,1,1,1,1,1,1,1,1,1,1,2,5,1,5,4,1,1,2,1,3,4,2,8,1,1,1,3,1,1,2,7,5,3,1,1,1
NEG_H,,ERCC_00154.1,Negative,3,1,1,1,2,1,1,1,1,2,1,5,1,4,6,1,1,8,4,2,5,6,17,1,1,1,2,1,11,6,5,6,2,1,1,1
POS_A,,ERCC_00117.1,Positive,14403,15016,15184,15069,14896,16000,15864,15793,18630,16490,15877,15249,14843,14891,15824,16232,15749,11174,18392,19861,22003,17641,15329,16966,18450,14068,15603,13196,13845,19291,15808,14696,12759,18126,17642,24607
POS_B,,ERCC_00112.1,Positive,4033,4078,4159,4173,4083,4287,4271,4289,4783,4289,4167,3987,3833,4001,4544,4372,4408,3240,4957,5521,6077,4872,4295,4477,4536,3496,4006,3578,3570,5165,4114,3881,3408,4542,4545,6320
POS_C,,ERCC_00002.1,Positive,1122,1155,1150,1114,1100,1209,1239,1215,1257,1199,1117,1046,1114,1190,1244,1200,1211,917,1391,1563,1673,1324,1138,1243,1261,991,1120,1006,974,1357,1098,1078,968,1275,1269,1738
POS_D,,ERCC_00092.1,Positive,233,268,243,234,240,298,288,276,316,288,294,251,281,279,308,281,272,207,339,356,387,327,279,275,329,251,227,228,230,302,269,260,234,283,288,409
POS_E,,ERCC_00035.1,Positive,53,49,37,60,51,52,43,52,62,48,54,42,52,40,56,59,41,31,63,61,65,57,57,47,57,34,48,43,46,49,45,42,33,55,52,94
POS_F,,ERCC_00034.1,Positive,14,16,20,15,20,25,18,22,21,16,15,10,22,30,25,34,20,27,26,21,21,33,28,21,19,18,19,11,18,21,26,18,19,22,18,25
