Gene Name,Annotation,Accession #,Class Name,20170517_bath study 24hpf 27-04-17 strip d tails_ _01.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _02.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _03.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _04.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _05.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _06.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _07.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _08.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _09.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _10.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _11.RCC,20170517_bath study 24hpf 27-04-17 strip d tails_ _12.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _01.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _02.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _03.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _04.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _05.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _06.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _07.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _08.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _09.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _10.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _11.RCC,20170517_bath study 27-04-17 24hpf strip e tails_ _12.RCC
,,,,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail
Kanamycin Pos,,Sub_Kan.1,Endogenous,67035,79918,81609,81442,93897,63558,97209,77975,112861,96036,66845,70961,74345,50510,61420,136,47845,67858,61202,63760,41858,65055,54190,83539
alx4b,,NM_001089357.1,Endogenous,36631,30308,35283,29,18,27763,33,17,50005,48,44448,933,13913,11,34487,1,23900,30,33976,30644,12662,20,28014,30
csf1r,,NM_131672.1,Endogenous,4,14,18,10,1,9,5,1,5,3,19,2,1,1,5,1,11,1,20,14,1,1,1,2
dpf3,,NM_001111169.1,Endogenous,20,29522,32,26,1,18,18,2,5,5,35,1,5,1,9,1,19,3,18,10810,851,1,1,4
ednrba,,NM_131197.1,Endogenous,23,30904,5266,22,14,19583,7,9,44559,27525,41431,2,52,4,26764,1,24015,1,24920,31899,6681,14,26200,37853
ets1a,,NM_001017558.1,Endogenous,8,19,22,18,1,30,7,17,13,12,51,2,14,1,7,1,24,4,26,20,5,1,1,31158
fgfr3_v2,,NM_131606.1,Endogenous,7,23,26,5,1,26794,6,11,24,15,49,1,7,1,14,1,20,4,21,21,31322,1,1,3
foxd3,,NM_131290.1,Endogenous,57490,10,60321,37802,1,44288,10,1,3,1,79016,2949,1872,1,48112,1,48997,4,59765,43209,4807,1,1,7
foxg1b,,NM_212914.1,Endogenous,54610,15,42,60359,11,39556,48172,5,31,21979,90950,13521,15,5,55084,1,43339,49120,64584,48894,5696,13,5,74
foxo1a,,NM_001077257.2,Endogenous,8,14,37664,24,1,505,8,49921,17,19,65618,220,9,1,5180,1,42679,29940,52400,351,173,1,1,925
foxo1b,,NM_001082857.1,Endogenous,3762,8496,8946,8392,2197,32,5164,1,13218,4,12608,2,658,1,5736,1,5920,3,9686,4484,420,6169,1,1
foxp4,,NM_001199491.1,Endogenous,24,36,17827,35,9,56,37,7,60,81,140,8,34,3,41,1,49,21454,51,25651,20344,9,12,31623
gapdh,,NM_001115114.1,Endogenous,19,15,19,7,9,12543,3,7,31,31,25,1,11,1,10,1,14,1,25,24,9,7,5,10
hbp1,,NM_001024431.1,Endogenous,39,47,63,47,28,41,50,20,89,29,73,18,29,11,28,1,36,29,39,55,34,21,21,35
her9,,NM_131873.1,Endogenous,749,16144,23208,15,11553,14710,22127,12,32886,75,21542,5,22699,7,11735,1,13323,9099,15565,19924,9965,12138,9,16
hmx1,,NM_001113526.1,Endogenous,509,57171,40925,67731,1,62560,11,1,111532,23228,94177,1,6,1,30840,1,55120,58781,68147,63631,9129,1,1,3066
hmx4,,NM_001045371.1,Endogenous,38095,44567,23,25,9,41164,28,6,60518,26094,67064,7,33,8,27794,1,44330,15114,48434,46059,7915,16,9,18207
id2a,,NM_201291.1,Endogenous,35123,39915,63364,11613,7,62023,13651,19,41637,34544,78400,12,6,3,35474,1,39208,19,41102,45765,6972,34646,13,53438
impdh1b,,NM_001014369.2,Endogenous,35,41,36775,48,10,30658,41,5,69,42542,64136,11,34989,6,29493,1,29276,16817,27043,30365,27880,14,15,119
kita,,NM_131053.1,Endogenous,12,21,32779,32469,1,37817,24434,1,30054,313,32179,9840,1000,1,23488,1,13053,10,25738,36582,3849,2,3,4
ltk,,XM_005158786.2,Endogenous,21,42,44,19,12,37,5,6,37,30,54,1,10,1,29,1,9,1,27,33,20,18,7,29
mbpa,,XM_002665557.1,Endogenous,26711,14,21704,9,10,24167,3,21443,43054,31,23101,130,1201,1,24352,1,21510,2117,32426,15508,1468,5,5,105
mc1r,,NM_180970.1,Endogenous,13,38524,61052,6,1,38222,15,14783,25,54938,51640,1369,25287,1,38684,1,38266,18078,42346,37625,4283,1,1,4
mitfa,,NM_130923.1,Endogenous,2,503,1179,3,104,185,4,11,214,10,62,21,5,1,1906,1,25,6,329,598,30,1,1,1
mlphb,,NM_001079679.1,Endogenous,9,8,21,16,1,19,13,1,11,3,16,1,5,1,4,1,11,5,20,18,5,1,1,5
mycl1a,,NM_212937.1,Endogenous,11,17,24,5,1,37,16,12,25,17,41348,1,1,1,16,1,19,7,19,22,12,1,1,2
myo5aa,,XM_009293794.1,Endogenous,4,12,36,6,1,15,10,15,11,9,36,1,2,1,15,1,24,9,18,18,8,1,1,3
oca2,,XM_690715.7,Endogenous,12,11,17,13,1,11,6,2,6,1,17,1,4,1,2,1,7,1,13,20,1,1,1,2
