Gene Name,Annotation,Accession #,Class Name,20170601_bath study 24hpf 05-05-17 strip a tails_ _01.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _02.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _03.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _04.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _05.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _06.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _07.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _08.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _09.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _10.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _11.RCC,20170601_bath study 24hpf 05-05-17 strip a tails_ _12.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _01.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _02.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _03.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _04.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _05.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _06.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _07.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _08.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _09.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _10.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _11.RCC,20170601_bath study 24hpf 05-05-17 strip b tails_ _12.RCC
,,,,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail,24 tail
Kanamycin Pos,,Sub_Kan.1,Endogenous,18340,46081,35498,47012,59745,37627,41506,35456,48538,54686,46515,33623,26023,39120,50220,28042,31171,29551,31882,32017,36376,41623,35556,33210
alx4b,,NM_001089357.1,Endogenous,4,6463,444,8,11361,4,89,3,12375,12847,8915,7,9174,13355,32,3324,7,5,18,7696,20180,8,2480,14205
csf1r,,NM_131672.1,Endogenous,1,1,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,1,3,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,1,1,1,1,2,1,1,2328,2,8,1,8,1,3,1,1,1,1,1,4,1,1,2
ednrba,,NM_131197.1,Endogenous,1,11423,1,4,1,3,3,2,5873,9778,16769,253,12190,3,14519,3,1,11595,1074,2471,899,3895,6718,5059
ets1a,,NM_001017558.1,Endogenous,5,1,1,1,4,1,3228,1,10,8,5,1,3,1,1,1,2,2,1,1,7,6,2,3
fgfr3_v2,,NM_131606.1,Endogenous,1,7,1,1,6,1,1,2,8199,10,5,1,9,1,3,1,1,1,1,3,4,1,1,1
foxd3,,NM_131290.1,Endogenous,3250,4,24,1,15175,1,1,6103,2357,10921,26618,1,19681,1538,27757,1,3,1,18324,23,26855,16,239,10781
foxg1b,,NM_212914.1,Endogenous,5864,7,3,3,8,5,1,4,22551,13269,25377,6,11230,2,4,1512,19015,7,4,83,29072,20493,4443,2613
foxo1a,,NM_001077257.2,Endogenous,1,5,1,1,4,1,2,1,10,8,4,1,7,3,1,1,1,1,2,1,11,4,3,1
foxo1b,,NM_001082857.1,Endogenous,1,1,1,322,5,23,1,1,2556,3370,5220,2592,2155,3273,45,1,779,1,68,1,3469,191,1,3
foxp4,,NM_001199491.1,Endogenous,9,5,3,6,11,4,1,7,17634,11,22,2,10,5,3,4,3,3,4,12,16,8,8,3
gapdh,,NM_001115114.1,Endogenous,251,624,253,293,469,19,24,1,5,1,663,4,458,3,78,1,19,1,18,1,1036,276,55,1
hbp1,,NM_001024431.1,Endogenous,10,6,10,9,4,8,8,13,16,16,28,5,7,5,7,8,5,5,11,14,21,12,8,7
her9,,NM_131873.1,Endogenous,3487,1,3,9660,7863,7896,6,2649,5994,9476,7643,1,5611,5,108,3005,4895,1,6947,7,7991,10883,3910,6551
hmx1,,NM_001113526.1,Endogenous,5393,2,1,13122,34,1,2,1,22101,28623,26308,1,6234,18959,15212,1,1,1,90,1,28203,1,6005,14645
hmx4,,NM_001045371.1,Endogenous,1,5,4,207,15602,3,3,5,14874,29402,19112,2,6331,16849,2,3,1,1,2,76,26938,7,6,16240
