Gene Name,Annotation,Accession #,Class Name,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _01.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _02.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _03.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _04.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _05.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _06.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _07.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _08.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _09.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _10.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _11.RCC,20170602_bath study 30hpf 06-04-17 strip a plate 1_ _12.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _01.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _02.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _03.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _04.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _05.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _06.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _07.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _08.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _09.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _10.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _11.RCC,20170602_bath study 30hpf 06-04-17 strip b plate 1_ _12.RCC
,,,,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618
Kanamycin Pos,,Sub_Kan.1,Endogenous,78189,73515,93574,113938,101802,82997,29825,99388,85143,102406,83736,69270,141688,129139,131412,118223,103347,5490,122481,114208,125259,114903,85197,119823
alx4b,,NM_001089357.1,Endogenous,29,15,2935,16263,32236,11581,9836,22,13,34294,65,25,29,35,42407,20,26,15,40,81,10982,173,42,37
csf1r,,NM_131672.1,Endogenous,1,1,2,9,4,1,2,1,1,4,6,1,1,1,8,1,1,1,7,1,2,1,8,5
dpf3,,NM_001111169.1,Endogenous,1,1,1,7,18,2,5,1,1,9,2,1,1,2,11,1,2,1079,7,1,1,1,13,9
ednrba,,NM_131197.1,Endogenous,2,2,107,35214,20533,2,6411,27,2,7,10242,2901,14284,119,10,1129,2,1584,15132,216,31864,6144,27,13
ets1a,,NM_001017558.1,Endogenous,6,2,9,16,10,1,3,3,1,2,1,6,5,1,8,1,2,5,2,1,2,8,3575,1
fgfr3_v2,,NM_131606.1,Endogenous,3,1,3,23266,7,1,3,1,1,5,7,2,2,1,6,1,2,2,1,1,1,4,1,5
foxd3,,NM_131290.1,Endogenous,1,1,2,30601,48503,1,15911,1,1,47215,13566,295,1,72,39139,1,231,6619,49951,28,6819,76,50462,58098
foxg1b,,NM_212914.1,Endogenous,13,15,36588,38,33914,8,6600,1234,6,9,28970,27262,28,155,34622,13,9158,12014,15,155,9470,110,18,27079
foxo1a,,NM_001077257.2,Endogenous,3,2,2,28,6,1,1,1,1,5,2,9,5,1,10,1,6,3,2,1,1,1,1,3
foxo1b,,NM_001082857.1,Endogenous,1,1,6478,23,10998,1,1305,1,1,4600,2530,4355,2,8,20,2,2612,376,7246,1,1,1,5124,8
foxp4,,NM_001199491.1,Endogenous,13,13,13,25216,12640,8,7,18,11,27,13,11,34,5,26,14,18,8,27,13,42,12375,15,20
gapdh,,NM_001115114.1,Endogenous,10,1,13,2706,2258,2,112,5,1,113,618,1271,16,6,38,9,4,84,20,8,764,20,5,7
hbp1,,NM_001024431.1,Endogenous,28,19,29,61,91,24,9,36,18,23,33,81,30,39,58,40,28,4,231,30,32,44,42,40
her9,,NM_131873.1,Endogenous,7692,11,20082,40138,10669,2262,125,17,12,5283,8110,12007,1173,3619,41545,20,17197,3004,158,15,16,13945,29995,13363
hmx1,,NM_001113526.1,Endogenous,1,1,2,28281,6686,1,8343,3229,1,24017,26,4,1,7543,38560,7852,1,7423,55038,2,8,3618,2110,267
hmx4,,NM_001045371.1,Endogenous,21539,9,17675,43368,5561,10,8743,3420,4,24532,24,93,21996,9558,43842,12,11,5839,33752,15,28,3861,15866,2673
id2a,,NM_201291.1,Endogenous,26241,10259,66,48200,41839,4,3192,45940,6,15777,21669,29600,83127,30217,89,18,5508,2409,304,15124,36258,599,21930,28476
impdh1b,,NM_001014369.2,Endogenous,16,4,18,41637,151,7,7244,94,4,28,4341,6,8056,98,36,9,123,5502,20521,234,30078,16675,2945,21
kita,,NM_131053.1,Endogenous,1,1,727,16070,8,8,6508,1246,1,14403,346,12931,1,1,28953,4,7,64,258,9,246,1,20736,24727
