Gene Name,Annotation,Accession #,Class Name,20161006_bath study IP 15-09-16 strip D_ _01.RCC,20161006_bath study  IP 15-09-16 strip D_ _02.RCC,20161006_bath study  IP 15-09-16 strip D_ _03.RCC,20161006_bath study  IP 15-09-16 strip D_ _04.RCC,20161006_bath study  IP 15-09-16 strip D_ _05.RCC,20161006_bath study  IP 15-09-16 strip D_ _06.RCC,20161006_bath study  IP 15-09-16 strip D_ _07.RCC,20161006_bath study  IP 15-09-16 strip D_ _08.RCC,20161006_bath study  IP 15-09-16 strip D_ _09.RCC,20161006_bath study  IP 15-09-16 strip D_ _10.RCC,20161006_bath study  IP 15-09-16 strip D_ _11.RCC,20161006_bath study  IP 15-09-16 strip D_ _12.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _1.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _2.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _3.RCC,20160805_bath study IP 12-07-16 samples 1-12_ _4.RCC,20161005_bath study IP 15-09-16 strip B_ _01.RCC,20161005_bath study IP 15-09-16 strip B_ _02.RCC,20160728_bath study  mixed 12-07-16_ 9_09.RCC,20160728_bath study mixed 12-07-16_ 10 _10.RCC,20160728_bath study mixed 12-07-16_ 11_11.RCC,20160728_bath study mixed 12-07-16_ 12_12.RCC,20161007_bath study IP 15-09-16 strip e_ _01.RCC,20161007_bath study IP 15-09-16 strip e_ _02.RCC,20161007_bath study IP 15-09-16 strip e_ _03.RCC,20161007_bath study IP 15-09-16 strip e_ _04.RCC,20161007_bath study IP 15-09-16 strip e_ _05.RCC,20161007_bath study IP 15-09-16 strip e_ _06.RCC,20161007_bath study IP 15-09-16 strip e_ _07.RCC
,,,,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP,IP
Kanamycin Pos,,Sub_Kan.1,Endogenous,94087,85532,81690,100293,37884,58627,56099,64790,51575,65881,62229,68331,30486,26132,62466,87503,97560,152007,7839,16876,9807,11324,45178,58236,56763,45851,50421,54748,43928
alx4b,,NM_001089357.1,Endogenous,29,17315,8637,25368,33532,22377,20729,13665,10787,25933,20743,24154,1866,1255,5039,33738,42583,15393,143,430,683,1,22980,18,10176,6,41150,36917,32439
csf1r,,NM_131672.1,Endogenous,3,1,3,5,9,2,6,1,1,5,2,14,1,1,2,6,7,1,1,1,1,1,9,1,1,1,6,6,3
dpf3,,NM_001111169.1,Endogenous,1,1,2,10,10034,4,11,1,2,13,2,10,1,1,1,7,13,1,1,1,1,1,11,2,3,1,14,14,7
ednrba,,NM_131197.1,Endogenous,23485,22955,28600,29957,45544,22207,14449,8191,11818,24246,16611,17417,3769,629,15160,14461,46350,18,788,1373,990,104,21725,7932,27018,6102,57015,37302,34440
ets1a,,NM_001017558.1,Endogenous,4,4,9462,4,12,3,3,1,6,8,4,14,1,1,2,1,10171,1,1,1,59,1,4535,1,1,1,11,5,9
fgfr3_v2,,NM_131606.1,Endogenous,3,11,4,3,13,3,3,1,3,9,9,9,1,1,2,3,10,1,1,1,1,1,9,1,1,1,11,5,9
foxd3,,NM_131290.1,Endogenous,1,2,12082,5,37696,1172,26823,1,9477,51733,6,30494,1,558,6753,504,14,1,276,152,155,130,29637,11460,31654,1,13918,23458,20502
foxg1b,,NM_212914.1,Endogenous,27,33,6855,2176,37112,17,7389,9,17914,15,13,28338,2,7088,21,7505,85,43139,1,139,816,1,19669,25773,26,3,35,14695,26699
