Gene Name,Annotation,Accession #,Class Name,20160722_bath study mc 12-07-16  1-12_ 3_03.RCC,20160722_bath study mc 12-07-16  1-12_ 4_04.RCC,20160722_bath study mc 12-07-16  1-12_ 11_11.RCC,20160722_bath study mc 12-07-16  1-12_ 12_12.RCC,20160728_bath study MC mixed 12-07-16_ 1_01.RCC,20160728_bath study MC mixed 12-07-16_ 2_02.RCC,20160728_bath study MC mixed 12-07-16_ 3_03.RCC,20160728_bath study MC mixed 12-07-16_ 4_04.RCC,20160728_bath study MC mixed 12-07-16_ 5_05.RCC,20160728_bath study MC mixed 12-07-16_ 6_06.RCC,20160728_bath study MC mixed 12-07-16_ 7_07.RCC,20160728_bath study MC mixed 12-07-16_ 8_08.RCC,20160803_bath mc  12-07-16 strip1_1 _01.RCC,20160803_bath mc  12-07-16 strip1_2 _02.RCC,20160803_bath mc  12-07-16 strip1_3 _03.RCC,20160803_bath mc  12-07-16 strip1_4 _04.RCC,20160803_bath mc  12-07-16 strip1_ 5_05.RCC,20160803_bath mc  12-07-16 strip1_ 6_06.RCC,20160803_bath mc  12-07-16 strip1_ 7_07.RCC,20160803_bath mc  12-07-16 strip1_ 8_08.RCC,20160803_bath mc  12-07-16 strip1_ 9_09.RCC,20160803_bath mc  12-07-16 strip1_10 _10.RCC,,,,,,,,,,,,,,,,,,,,,
,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,,,,,,,,,,,,,,,,,,,,
Kanamycin Pos,,Sub_Kan.1,Endogenous,104747,48864,41333,54635,40941,29250,12126,22528,12952,16568,12681,24116,25344,20762,27008,16982,24530,34290,30915,41602,34852,35232,,,,,,,,,,,,,,,,,,,,,
alx4b,,NM_001089357.1,Endogenous,16,9,12,4172,23,1732,226,1159,1048,191,326,273,1,16,299,65,2,2168,9,4,7,11,,,,,,,,,,,,,,,,,,,,,
csf1r,,NM_131672.1,Endogenous,8,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
dpf3,,NM_001111169.1,Endogenous,14,1,1,6,1,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
ednrba,,NM_131197.1,Endogenous,15314,1,1399,2551,3132,3182,217,2535,1862,1990,1941,7165,3122,1669,5531,114,2814,3441,1814,36,5838,1975,,,,,,,,,,,,,,,,,,,,,
ets1a,,NM_001017558.1,Endogenous,2,1,2,1,1,584,1,1,1,1,30,154,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
fgfr3_v2,,NM_131606.1,Endogenous,2,1,1,2,1,1,1,1,199,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
foxd3,,NM_131290.1,Endogenous,17701,4534,1,5378,3958,63,271,1539,720,858,708,914,1104,1,1668,1,1,2436,8651,3,32,1,,,,,,,,,,,,,,,,,,,,,
foxg1b,,NM_212914.1,Endogenous,11640,3,1992,447,1644,34,680,965,521,698,404,168,3319,1,3337,16,1,1,2,6,3,11,,,,,,,,,,,,,,,,,,,,,
foxo1a,,NM_001077257.2,Endogenous,11,1,1,4,1,2819,1,929,139,440,829,895,783,1,1,1,1,1,1,1,2251,1,,,,,,,,,,,,,,,,,,,,,
foxo1b,,NM_001082857.1,Endogenous,42,1,1,685,1,2,96,183,160,152,82,101,3,1,2,416,1,1,3,1,5,6,,,,,,,,,,,,,,,,,,,,,
foxp4,,NM_001199491.1,Endogenous,4,5,3,12,5,3,1,2,1,6,1,43,3,2,1,1,1,1,6,2,8,7,,,,,,,,,,,,,,,,,,,,,
gapdh,,NM_001115114.1,Endogenous,10,2,1,7,3,4,14,85,68,60,34,77,1,48,16,116,1,4,1,5,19,5,,,,,,,,,,,,,,,,,,,,,
hbp1,,NM_001024431.1,Endogenous,7,9,10,12,11,4,5,22,7,25,81,141,2,2,2,2,1,1013,4,489,12,67,,,,,,,,,,,,,,,,,,,,,
her9,,NM_131873.1,Endogenous,26,2372,2992,4141,2426,955,308,1278,155,747,489,1744,1,1,1228,906,1,1405,3,1,3,938,,,,,,,,,,,,,,,,,,,,,
hmx1,,NM_001113526.1,Endogenous,42,1,1,21,1,2357,546,914,1109,434,611,329,2623,2,1,1,1,1,2404,6,4230,3,,,,,,,,,,,,,,,,,,,,,
hmx4,,NM_001045371.1,Endogenous,5761,5,3,7,4349,4634,307,734,1219,349,552,402,1,1,1,1,1,1,2548,2,3729,5,,,,,,,,,,,,,,,,,,,,,
id2a,,NM_201291.1,Endogenous,25171,1848,4240,10568,5567,9892,1262,3927,1464,1525,3145,7487,3214,2548,7446,1,3960,15329,1840,1886,2822,4096,,,,,,,,,,,,,,,,,,,,,
impdh1b,,NM_001014369.2,Endogenous,40,7,5,12062,4813,1019,988,551,529,199,749,1208,1,850,4,313,857,2,19,7,3020,2866,,,,,,,,,,,,,,,,,,,,,
kita,,NM_131053.1,Endogenous,75683,1,5300,2160,2,6372,1104,3417,3462,1320,5914,14811,7887,1875,9159,1628,5001,4382,4110,3,5736,3597,,,,,,,,,,,,,,,,,,,,,
ltk,,XM_005158786.2,Endogenous,15,1,1,1704,3,168,20,208,162,15,101,58,498,58,1,1,1,1,2,2,596,1493,,,,,,,,,,,,,,,,,,,,,
mbpa,,XM_002665557.1,Endogenous,13,1,1,6,2,2,412,127,543,206,217,166,173,1,1,1889,1,1784,1,3,3197,3304,,,,,,,,,,,,,,,,,,,,,
mc1r,,NM_180970.1,Endogenous,11,2,1,5,1,951,457,1560,227,702,1018,2968,1062,1,1,234,631,3691,1,1,3116,1,,,,,,,,,,,,,,,,,,,,,
mitfa,,NM_130923.1,Endogenous,22596,1,1,5661,1,1,189,272,160,197,253,1124,1,127,1441,1,1,1,865,257,1,2707,,,,,,,,,,,,,,,,,,,,,
mlphb,,NM_001079679.1,Endogenous,72263,11499,1,23552,7732,20474,503,7581,2048,5076,6125,22082,6173,4157,5430,1541,6692,21209,7199,5960,6646,6915,,,,,,,,,,,,,,,,,,,,,
mycl1a,,NM_212937.1,Endogenous,2,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
myo5aa,,XM_009293794.1,Endogenous,3,1,1,2809,1,1056,1,177,216,127,315,1704,1,1,1212,1,1,1,1,1,1815,1,,,,,,,,,,,,,,,,,,,,,
oca2,,XM_690715.7,Endogenous,26620,5,1,14779,5246,2894,102,2870,1227,2873,6172,12991,5482,5795,2725,3260,2928,10277,3899,1889,5285,2197,,,,,,,,,,,,,,,,,,,,,
otx2,,NM_131251.1,Endogenous,3,1,1,3215,3409,1988,110,1108,739,666,408,542,1,1,2027,1212,1,1014,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
pax3_v2,,XM_005163543.2,Endogenous,7,1,1,2,1,26,1,10,1,4,46,174,1,1,1,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,
