Gene Name,Annotation,Accession #,Class Name,20161014_bath study 60hpf 29-09-16 strip b_ _01.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _02.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _03.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _04.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _05.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _06.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _07.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _08.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _09.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _10.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _11.RCC,20161014_bath study 60hpf 29-09-16 strip b_ _12.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _01.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _02.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _03.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _04.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _05.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _06.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _07.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _08.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _09.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _10.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _11.RCC,20161014_bath study 60hpf 29-09-16 Strip A_ _12.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _01.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _02.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _03.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _04.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _05.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _06.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _07.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _08.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _09.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _10.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _11.RCC,20161018_bath study 60hpf 29-09-16 stripC_  _12.RCC
,,,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Kanamycin Pos,,Sub_Kan.1,Endogenous,43921,39422,42487,44279,96855,49224,32888,38547,24915,47356,47034,55440,81376,50575,82395,45021,68255,25714,60062,63154,50254,61439,58728,58712,46670,13091,28518,25547,21385,20158,35417,32221,28587,33218,30624,45581
alx4b,,NM_001089357.1,Endogenous,11,14,37592,10,21651,22,8001,10,6,227,17,59,27097,1690,23,20072,24349,15006,521,6932,22902,12,570,13024,7,2,16164,3,3,23001,5,4,12,12,3,11
csf1r,,NM_131672.1,Endogenous,1,1,20,3,5,4,1,1,1,1,3,4,1,1,1,2,7,1,1,2,2,5,1,1,1,1,2,1,1,3,1,1,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,1,14,4,8,7,1,1,1,1,9,5,1,1,1,4,9,2,4,3,6,4,1,4,1,2,8,1,1,2,1,2,1,1,1,1
ednrba,,NM_131197.1,Endogenous,2,3,23899,11475,23441,13665,8790,2,1596,18798,2,2304,35833,3,15779,12890,4,23802,21623,2,23912,1,2,7979,5430,80,11243,1,1,2,1,9489,1,1,1,2
ets1a,,NM_001017558.1,Endogenous,1,1,16,6,532,7808,2,1,1,7,4,1,1,1,9,1,15933,3,2,1,1,1,1,1,1,1,8,1,1,1,3,1,1,1,1,2
fgfr3_v2,,NM_131606.1,Endogenous,1,1,15,2,9,1,1,4,1,3,5,4,11,1,11,1,4,5,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,3
foxd3,,NM_131290.1,Endogenous,1,21978,29427,1,3599,17537,146,1,1,1,26243,32357,4,1,1,4,5,2,3,7,3,32793,1,2,1,7,24175,1,1,1,2,4129,1,1,1,1
foxg1b,,NM_212914.1,Endogenous,7,18106,18184,29361,8340,8,9,7,2,233,453,9748,13,15,12,7942,19,9,14,9,3045,7110,2619,12339,12810,2,17460,3,2,27353,9,5,3,3,4,2
foxo1a,,NM_001077257.2,Endogenous,2,1,47859,15975,21284,6,2,1,1,27588,4,5,2,1,18,1,60,21511,3,1,1,1,1,2,1,1,27518,1,1,7011,2,1,1,1,7029,24373
foxo1b,,NM_001082857.1,Endogenous,1,1,5965,1,1198,2,2,1,1,4,1,6,1,1,1,1,6,2,7,3,3,1,1,1,1,5,2868,1,3,3375,2,2,1,1,1,1
foxp4,,NM_001199491.1,Endogenous,25,18,63,19,80,46,5,15,7,15,16,12,17,22,51,6,26,22,53,12,16,30,8,8,10,2,30,6,1,11,2,6,4,1,1,11
gapdh,,NM_001115114.1,Endogenous,1,1,1666,2,2605,1360,5,8074,2,7,5,1,9,6,3,6,1,11,9,68,2,2,4,4,4,390,815,1,1,3,1,16,1,1,1,1
hbp1,,NM_001024431.1,Endogenous,11,13,649,14,420,841,10,8,6,15,18,18,20,17,24,369,26,5,20,43,15,9,16,1026,8,1,53,1,6,14,5,3,4,7,11,10
her9,,NM_131873.1,Endogenous,10,4,13745,2,10745,7547,4,4,8,8,50,11327,11,5912,9,9,4112,2,6929,9,4,8,6,319,7,1,6043,3,4,4,4,3,92,7,1,4
hmx1,,NM_001113526.1,Endogenous,1,253,41546,117,12039,2,1,830,1,7292,22190,5,3,7,1,1,4,3,23593,7,2,3,1,1,2543,16028,28697,1,14028,31107,2,15466,1,1,1,1
hmx4,,NM_001045371.1,Endogenous,7,146,28881,6411,5046,12,6,8,7,63,11171,16,13,13976,24,4,23908,11,15,9,9,12,28718,10,9,15746,22965,11295,10928,7776,17787,17461,3,2,1738,6
id2a,,NM_201291.1,Endogenous,3,2214,39262,11444,6136,9,15951,4,3,4,21644,36625,37087,32319,5161,12259,17,14611,37188,40543,5258,22249,43,10015,7048,1,12436,4,2,6710,9257,1,6734,5,2371,3
impdh1b,,NM_001014369.2,Endogenous,24415,31406,30955,14343,72763,43505,18,12595,13,16582,16,17,19,16468,59251,94,19245,22945,49158,17,16743,33267,8,8,17608,2,15840,2066,7,9668,20,1,1,3,2,14
kita,,NM_131053.1,Endogenous,1,1,16897,1,15202,3,4441,1,1,6975,6,22248,1,1,1,4,17403,23700,22054,4029,8332,4,1,2,1,11177,12116,1843,8575,19,1,11109,1,1,1,1
ltk,,XM_005158786.2,Endogenous,4,2,5760,5,12462,4126,1523,6,1198,6481,4,245,16,6,3,10,22,22737,6397,8528,9,7,1676,2919,6,1,2769,1463,21,108,1672,2,1,2,2,6
mbpa,,XM_002665557.1,Endogenous,1,13144,24766,714,9273,5266,2,3,1,17923,25171,1,15,151,1,5,1,39,7121,8,71,5,3,11,1,1,10865,1,1,7206,1,1,1,1,206,1
mc1r,,NM_180970.1,Endogenous,5788,1,32316,3,52,2135,1,1,1,14401,19528,17517,4,1,11,1,4,3,5,25,1,1,1,1,1,3022,22952,5,1,7,18367,2,1,1,3,5
mitfa,,NM_130923.1,Endogenous,3,1,6991,278,6473,4255,1,1,1,8,4,4,3,1,4604,1,4,1,1,925,1,1,1,1,1,3,8386,3,1,6,5,647,1,1,1,1661
mlphb,,NM_001079679.1,Endogenous,1,1,10,2,5,5,1,1,1,1,3,1,1,1,1,1,1,1,4,4,4,1,1,1,1,2,3,1,2,1,1,3,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,1,1,9,1,16755,3,1,12720,1,7,6,2,1,1,11,1,1,2,3,1,1,1,1,1,1,1,6,1,1,1,2,1,1,1,1,1
myo5aa,,XM_009293794.1,Endogenous,1,1,15,2,1247,2,1,1,1,8,3,2,4,1,9,1,1,2,5,1,1,1,1,1,1,2,7,1,1,6,2,1,1,1,1,3
oca2,,XM_690715.7,Endogenous,1,1,15,1,381,9,1,1,1,3,2,2,1,1,1,1,5,5,15,2,3,8,1,1,1,2,2,1,2,5,1,1,2,1,1,1
otx2,,NM_131251.1,Endogenous,6386,1,41120,3,9741,1194,13503,1,11931,6,16606,2,41493,1,37792,1,110,4,1,1,1,1,4625,1166,1,1,25693,1,1,2,2,1,1,1,1,1
pax3_v2,,XM_005163543.2,Endogenous,1,1,159,3,2610,3,1,1,3,6,8,72,4,1,8,140,1,4,9,650,1,1,1,1,1,1,36,2,1,15,7,1,1,1,1,4
pax7a,,NM_131326.1,Endogenous,4,335,1450,2,17427,5,11080,5,22,9,3,109,6,17496,4,5,2,24121,28886,25268,8,3,1,12,3,1,3,1,1,482,1,2,1,1,2,1
pax7b,,NM_001146149.1,Endogenous,237,14183,19320,3559,6679,6,7,15201,2,267,1,1,18,3,7,5,8361,21888,14,7,8,6,1,2,5,341,12033,1,5340,5479,1,2,1,1,1,18189
phox2b,,NM_001014818.1,Endogenous,18,16,25954,12,13392,30,9,9,23338,130,20853,27302,16874,15,29533,4,21,21,46,4,15,35,5,379,18,3,16508,593,3,13,7,4,3,1,3,18419
pnp4a,,NM_001002102.1,Endogenous,7,8,21,12,35805,18777,7464,3,3,2,4,5,4601,11246,12,9,17556,7,13742,3,3,7284,4,2,7,1,7,1,3,11,4,4,1,4,3,4
rpl13,,NM_198143.1,Endogenous,19802,10703,19048,1110,53385,12306,4759,32083,11078,1955,3816,17283,40656,11537,443,12368,14742,26957,12475,9888,16608,32691,23230,12890,19993,1688,19433,491,1629,10672,9044,4310,7594,8823,8836,1
