Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160630_bath study 36hpf 13-04-16 samples 1-12_ 1_01.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 2_02.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 3_03.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 4_04.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 5_05.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 6_06.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 7_07.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 8_08.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 9_09.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 10 _10.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 11_11.RCC,20160630_bath study 36hpf 13-04-16 samples 1-12_ 12_12.RCC
,,,,,36,36,36,36,36,36,36,36,36,36,36,36
Kanamycin Pos,,Sub_Kan.1,Endogenous,,95545,114110,75006,117851,61335,68972,50594,60565,105406,99197,56536,131141
alx4b,,NM_001089357.1,Endogenous,,21730,7893,28594,25859,15949,121,17327,22945,39014,30555,36920,34159
csf1r,,NM_131672.1,Endogenous,,2,4,1,3,3,3,1,16,4,11,12,11
dpf3,,NM_001111169.1,Endogenous,,7,7,15,1,10,4,8,25,24,14,18,16
ednrba,,NM_131197.1,Endogenous,,21669,12,17300,31,18223,8,20242,26791,35585,24381,36374,33638
ets1a,,NM_001017558.1,Endogenous,,1,12,9,4,7,1,10,25,39,20,25,19
fgfr3_v2,,NM_131606.1,Endogenous,,1,14,10,10,5,1,3,17,35,23164,22923,30
foxd3,,NM_131290.1,Endogenous,,27263,2,39468,2,30764,22959,23990,48143,73829,59834,59706,54511
foxg1b,,NM_212914.1,Endogenous,,32760,114,27698,39691,13,7,25154,39458,55222,43416,52763,40951
foxo1a,,NM_001077257.2,Endogenous,,3,314,2291,37737,854,1,10,352,238,81,26333,4980
foxo1b,,NM_001082857.1,Endogenous,,8,3663,4736,8699,3536,1,6,9321,5643,6693,8764,8229
foxp4,,NM_001199491.1,Endogenous,,52,38,41,98,31,25,44,54,65,47,53,38181
gapdh,,NM_001115114.1,Endogenous,,4936,14,24,29,6,11,6,10,24,15,19,21
hbp1,,NM_001024431.1,Endogenous,,46,52,32,52,28,27,29,41,70,55,38,95
her9,,NM_131873.1,Endogenous,,23383,22489,15646,450,11,12121,10952,14229,26261,20980,20269,69272
hmx1,,NM_001113526.1,Endogenous,,6,22223,31310,6,21410,2497,31970,47839,69251,47065,61489,51819
hmx4,,NM_001045371.1,Endogenous,,44,29259,29174,50,17134,19,28270,27385,46974,40654,39328,37075
id2a,,NM_201291.1,Endogenous,,50183,45370,38631,16151,25937,2449,2819,43352,59349,40253,47966,64883
impdh1b,,NM_001014369.2,Endogenous,,25228,14126,15741,87334,19658,14697,16102,26840,28560,16931,23573,29992
kita,,NM_131053.1,Endogenous,,12860,20915,25118,2880,7263,1,1266,7746,34217,24199,26869,25344
ltk,,XM_005158786.2,Endogenous,,18579,12,638,35,8959,5,8,16,25,22,23,45
mbpa,,XM_002665557.1,Endogenous,,15,1352,18151,26,125,14583,17605,14584,22129,23432,22398,12942
mc1r,,NM_180970.1,Endogenous,,2,257,37899,15228,14918,1,13560,22961,38489,36089,40551,34906
mitfa,,NM_130923.1,Endogenous,,13183,16641,19408,12819,4,1,12,26114,17183,39,104,10701
mlphb,,NM_001079679.1,Endogenous,,3,4,6,2,4,2,3,14,31,10,14,16
mycl1a,,NM_212937.1,Endogenous,,1,12,12,12,8,1,3,27,27,18895,32,11658
myo5aa,,XM_009293794.1,Endogenous,,2,10,14,13,5,1,7,22,23,12,19,28
oca2,,XM_690715.7,Endogenous,,1,3,9,1,7,3,2,22,18,11,13,11
otx2,,NM_131251.1,Endogenous,,1,51888,28695,7,25038,4064,1284,67054,102333,6201,73351,62731
pax3_v2,,XM_005163543.2,Endogenous,,1,13,14,13,4,1,18,17,8137,23,38,30
pax7a,,NM_131326.1,Endogenous,,19,8,13,84134,10,8,7,10,18,9,24904,17
pax7b,,NM_001146149.1,Endogenous,,1596,45,30903,34471,14,15425,24494,26590,42951,28593,35789,34333
phox2b,,NM_001014818.1,Endogenous,,22464,17928,19238,94,14592,15,22044,30273,38061,31955,31617,26810
pnp4a,,NM_001002102.1,Endogenous,,29,21,21,2932,10,5,11,23,26,18,23,39
rpl13,,NM_198143.1,Endogenous,,98174,103160,55664,130093,53647,41575,33329,42352,99338,76072,30050,155902
silva,,NM_001045330.1,Endogenous,,1,3,10,1,4,4,3,10,4701,13,10,16
slc24a5,,NM_001030280.1,Endogenous,,1,11,23,3,12,1,14,26,43,34,42,33
smad9,,NM_001004014.1,Endogenous,,15,14,21,44,14071,10,14,21,27,16,18,52
snail2,,XR_661767.1,Endogenous,,2,6,21,6,9,1,17678,34586,43721,34854,38484,34001
sox10,,NM_131875.1,Endogenous,,14,7854,8536,9,10,1,6589,10600,9041,7882,10222,11503
sox5,,NM_001033585.1,Endogenous,,25,22,26,36,13,11,16,33,37,29,34,54
sox9b,,NM_131644.1,Endogenous,,7,3,31457,2,6,2,10,43352,57375,54796,50541,40891
tfap2a,,NM_176859.2,Endogenous,,2,14561,24210,25,10,12,17640,24699,41980,35000,36030,36343
tfap2e,,NM_200821.1,Endogenous,,20,9,7557,12170,12,3,8,13211,68,6780,19554,27
tfec,,NM_001030105.2,Endogenous,,24842,3439,27167,7221,17372,1,6730,30278,28525,19041,25560,34542
tyr,,NM_131013.1,Endogenous,,14,13735,10,5,1061,1,13840,21110,22525,15513,24980,20781
tyrp1b,,NM_001002749.1,Endogenous,,20,17,25,38,26,11,24,21,41,23,28,35
NEG_A,,ERCC_00096.1,Negative,,2,6,8,14,3,5,6,10,11,10,8,6
NEG_B,,ERCC_00041.1,Negative,,6,4,3,8,6,1,3,5,8,4,6,7
NEG_C,,ERCC_00019.1,Negative,,1,1,1,1,2,1,1,2,2,3,1,3
NEG_D,,ERCC_00076.1,Negative,,3,1,5,1,3,2,1,6,8,8,5,7
NEG_E,,ERCC_00098.1,Negative,,6,12,2,12,3,3,5,8,11,12,10,12
NEG_F,,ERCC_00126.1,Negative,,10,16,14,22,11,9,9,16,16,8,9,27
NEG_G,,ERCC_00144.1,Negative,,1,1,2,1,2,1,2,2,5,1,7,10
NEG_H,,ERCC_00154.1,Negative,,5,1,2,5,1,1,1,5,9,6,8,8
POS_A,,ERCC_00117.1,Positive,,9308,9343,7337,9099,5634,6258,7995,10937,10006,10478,9117,8596
POS_B,,ERCC_00112.1,Positive,,2565,2667,1924,2697,1672,1798,2069,2989,2801,2901,2575,2449
POS_C,,ERCC_00002.1,Positive,,730,746,564,732,485,572,672,803,772,834,689,666
POS_D,,ERCC_00092.1,Positive,,171,167,143,176,114,122,126,191,194,195,167,170
POS_E,,ERCC_00035.1,Positive,,24,39,20,28,10,14,24,47,30,42,40,26
POS_F,,ERCC_00034.1,Positive,,10,14,7,23,11,17,11,18,21,13,18,17
