Gene Name,Annotation,Accession #,20160818_bath study 30hpf 15-05 samples 1-12_  _01.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _02.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _03.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _04.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _05.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _06.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _07.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _08.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _09.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _10.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _11.RCC,20160818_bath study 30hpf 15-05 samples 1-12_  _12.RCC
,,,30,30,30,30,30,30,30,30,30,30,30,30
Kanamycin Pos,,Sub_Kan.1,272821,178644,373928,286364,355067,313019,395149,270022,241302,305324,235983,24234
alx4b,,NM_001089357.1,70559,50822,29882,65,83,31885,93,60651,48034,52623,74,19825
csf1r,,NM_131672.1,4,13,2,1,2,21,14,20,15,7,24,3
dpf3,,NM_001111169.1,4,28,1,1,3,25,35,46,23,14,56,2
ednrba,,NM_131197.1,65738,53736,89,28819,48,49,48,43689,20429,79292,6099,9289
ets1a,,NM_001017558.1,25,33,39570,99987,9,29639,37005,38,27,72015,13616,7
fgfr3_v2,,NM_131606.1,15,23,9,10,2,18,25,30,29,48,35,1
foxd3,,NM_131290.1,1,111405,1,1,3,143204,105436,194301,88957,54784,159869,8
foxg1b,,NM_212914.1,51,71417,59,44,61,276,32,42,115646,49220,56,8369
foxo1a,,NM_001077257.2,17,13834,9,17,2,24,10584,37538,81121,18,2785,2
foxo1b,,NM_001082857.1,20,17057,14699,4,3,16570,25,18388,10091,29,13231,2409
foxp4,,NM_001199491.1,41,82564,109,38765,188,17891,51994,61372,63,143,70270,9
gapdh,,NM_001115114.1,33121,63132,165,47,2580,35,29,2745,32123,3235,3548,6
hbp1,,NM_001024431.1,79,79,105,82,98,87,92,73,71,87,114,12
her9,,NM_131873.1,7173,4484,66,34,7130,4507,7838,1975,4025,7339,17980,5245
hmx1,,NM_001113526.1,4,91208,4,2,2,21,92156,15120,12,52382,103458,2239
hmx4,,NM_001045371.1,51,70717,104808,39,59,57,1681,15663,51,72448,118602,6
id2a,,NM_201291.1,100294,56594,58849,146658,70857,44515,74489,36,97506,99823,107080,5
impdh1b,,NM_001014369.2,123,53181,71721,43,231871,56579,66,67732,46525,60475,74719,6402
kita,,NM_131053.1,56999,50659,48658,7712,1,69940,24,56202,39739,48096,44221,5609
ltk,,XM_005158786.2,13024,11809,965,62,47,55,16912,12560,61,12583,59,2123
mbpa,,XM_002665557.1,19247,45626,73302,33,77,31,71,38953,47800,45,43092,6803
mc1r,,NM_180970.1,76445,51819,17034,14,2,101229,11,74789,80883,12281,16,20
mitfa,,NM_130923.1,17,9225,4,30,5,13640,11815,11024,33,18,9309,1570
mlphb,,NM_001079679.1,1,32,4,1,3,7,19,19,8,2,35,2
mycl1a,,NM_212937.1,9,22,9,5,7,30,15,29,37,111769,46020,8
myo5aa,,XM_009293794.1,13,21,8,49399,4,26,19,31,37,18,18,1
oca2,,XM_690715.7,2,12,7,1,1,15,11,21,4,9,26,1
otx2,,NM_131251.1,401,106126,5,5,7,98068,114312,75499,79208,9187,877,26484
