Gene Name,Annotation,Accession #,20160826_bath study 36hpf 13-04 samples 25-36_ _01.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _02.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _03.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _04.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _05.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _06.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _07.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _08.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _09.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _10.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _11.RCC,20160826_bath study 36hpf 13-04 samples 25-36_ _12.RCC
,,,36,36,36,36,36,36,36,36,36,36,36,36
Kanamycin Pos,,Sub_Kan.1,95315,201822,118176,82195,128403,109548,47701,47630,29645,39417,23053,30271
alx4b,,NM_001089357.1,24496,36154,34503,16727,25921,34960,275,4685,1164,12968,4653,5
csf1r,,NM_131672.1,13,11,14,1,8,6,4,2,1,1,1,1
dpf3,,NM_001111169.1,11,24,18,4,17,13,9,6,1,7,1,1
ednrba,,NM_131197.1,32690,36348,44454,20884,39367,44841,10,12073,8003,10247,6,2
ets1a,,NM_001017558.1,28,13129,26,1,3,9,5,13,1,3,1,1
fgfr3_v2,,NM_131606.1,23,43,22,3,9,13,1,3,2,5,1,1
foxd3,,NM_131290.1,61628,29485,70984,47630,36422,2537,24501,13224,10527,17028,1,1
foxg1b,,NM_212914.1,53634,47933,70984,23,54078,58165,15590,18,12092,12633,5,4
foxo1a,,NM_001077257.2,357,3329,21,7,2329,1151,30,8,18,41,1,1
foxo1b,,NM_001082857.1,6793,9614,7849,7,8543,13004,4,1868,1583,3460,1,1
foxp4,,NM_001199491.1,21751,88,60,37,76,88,14,21,21,5922,2,4
gapdh,,NM_001115114.1,27,30,36,14,138,32,7,4,5,6,3,1
hbp1,,NM_001024431.1,60,75,96,45,80,78,22,24,12,24,9,9
her9,,NM_131873.1,29831,16575,33343,16400,35724,44265,12103,4515,4692,10813,3240,4
hmx1,,NM_001113526.1,71328,61737,52820,3,57070,67824,39,6,1552,23458,1,1
hmx4,,NM_001045371.1,44560,49586,40617,19,39899,40952,12,9346,1524,14105,8,6
id2a,,NM_201291.1,54650,55527,60322,52305,55966,48824,14650,16287,15224,16454,20627,8
impdh1b,,NM_001014369.2,26308,27156,27478,25319,32619,30039,10667,30902,24243,8712,4,6254
kita,,NM_131053.1,7806,32236,39327,1,34754,40117,19408,6360,1,7653,1,467
ltk,,XM_005158786.2,29,27198,170,18361,1325,53,125,13,2,9,2,3
mbpa,,XM_002665557.1,18605,12412,28844,14,23447,28767,6112,1373,3,7752,1,2
mc1r,,NM_180970.1,30166,37370,42072,7,3400,39879,14717,8381,10433,11877,1,1
mitfa,,NM_130923.1,18006,377,459,20434,5950,117,1513,161,750,4391,4344,264
mlphb,,NM_001079679.1,19,18,14,2,7,17,6,2,1,6,1,1
mycl1a,,NM_212937.1,18,40243,10,3,6,11,3,5,3,8,1,2
myo5aa,,XM_009293794.1,27,23586,17,5,9,12,6,11933,3,3,1,1
oca2,,XM_690715.7,14,15,8,1,6,15,3,1,1,1,1,1
otx2,,NM_131251.1,49810,68123,47980,5,25265,20006,5251,15073,9231,23400,2,9280
pax3_v2,,XM_005163543.2,35,14551,27,6,9,38,10,3266,2,12,1,3
pax7a,,NM_131326.1,14,22,25,14,33,24,9,17764,1,2,1,1
pax7b,,NM_001146149.1,34171,33066,31546,16,37198,47380,11197,11455,7941,12814,2,2
phox2b,,NM_001014818.1,29045,37416,56,35,40290,29510,821,7621,8344,12065,5,5
pnp4a,,NM_001002102.1,43,49,29,19,39,38,9,9290,5,13,6,1
rpl13,,NM_198143.1,88271,101187,89896,99938,160727,104024,38601,42474,26358,37479,16076,15360
silva,,NM_001045330.1,4,11,13,1,7,9,8,2,1,3,1,1
slc24a5,,NM_001030280.1,43,50,40,2,45,54,6,1,2,11,1,1
smad9,,NM_001004014.1,37,36,36,21,37,35,4,14,8,7,6180,3
snail2,,XR_661767.1,45111,41827,36491,2,4706,34502,18183,7113,3,15486,1,1
sox10,,NM_131875.1,12408,12300,11622,2,18,15,2354,3391,3396,3354,1,1
sox5,,NM_001033585.1,38,45,41,27,38,30,15,7,10,22,8,1
sox9b,,NM_131644.1,20970,52694,38963,1,19416,63717,12835,9466,249,12231,1,1
tfap2a,,NM_176859.2,44563,65078,41400,5,9510,18101,17259,5210,7488,11785,2,2
tfap2e,,NM_200821.1,18,20,15979,16,14220,16746,4740,5631,15,7058,2,1
tfec,,NM_001030105.2,18340,29680,10092,8,25000,25860,5700,4204,2,9976,1,1
tyr,,NM_131013.1,2806,24039,2612,2,15928,25347,5981,6410,3104,7776,1,1
tyrp1b,,NM_001002749.1,40,42,38,23,53,45,10,9,6,14,6,2
NEG_A,,ERCC_00096.1,13,20,10,5,15,7,1,1,1,7,1,1
NEG_B,,ERCC_00041.1,4,10,7,5,4,9,1,1,1,3,1,1
NEG_C,,ERCC_00019.1,5,3,1,1,1,5,1,1,1,1,1,1
NEG_D,,ERCC_00076.1,7,1,8,1,4,5,1,4,1,2,1,1
NEG_E,,ERCC_00098.1,5,10,12,4,11,8,2,5,2,4,1,2
NEG_F,,ERCC_00126.1,21,24,32,14,31,21,4,12,2,7,2,1
NEG_G,,ERCC_00144.1,1,3,1,1,1,1,1,2,1,1,1,1
NEG_H,,ERCC_00154.1,4,10,5,5,1,6,1,4,2,3,1,1
POS_A,,ERCC_00117.1,14005,13828,14787,14189,10920,13172,4617,3187,3422,3519,3361,3496
POS_B,,ERCC_00112.1,3798,3903,4050,3787,3162,3645,1358,940,960,1019,978,1023
POS_C,,ERCC_00002.1,1096,1115,1186,1071,910,1020,389,295,261,334,290,293
POS_D,,ERCC_00092.1,233,251,273,257,199,244,68,63,64,76,68,71
POS_E,,ERCC_00035.1,44,54,44,38,45,48,9,12,3,11,8,9
POS_F,,ERCC_00034.1,16,32,27,19,26,25,4,8,2,12,1,1
