Gene Name,Annotation,Accession #,Class Name,20160524_bath study 18hpf plate1 1-12_ 10 _10.RCC,20160524_bath study 18hpf plate1 1-12_ 11_11.RCC,20160524_bath study 18hpf plate1 1-12_ 12_12.RCC,20160524_bath study 18hpf plate1 1-12_ 1_01.RCC,20160524_bath study 18hpf plate1 1-12_ 2_02.RCC,20160524_bath study 18hpf plate1 1-12_ 3_03.RCC,20160524_bath study 18hpf plate1 1-12_ 4_04.RCC,20160524_bath study 18hpf plate1 1-12_ 5_05.RCC,20160524_bath study 18hpf plate1 1-12_ 6_06.RCC,20160524_bath study 18hpf plate1 1-12_ 7_07.RCC,20160524_bath study 18hpf plate1 1-12_ 8_08.RCC,20160524_bath study 18hpf plate1 1-12_ 9_09.RCC
,,,,18,18,18,18,18,18,18,18,18,18,18,18
Kanamycin Pos,,Sub_Kan.1,Endogenous,293807,308122,283386,207346,168653,266008,196513,210318,213730,262114,191247,286035
alx4b,,NM_001089357.1,Endogenous,43017,127,101,76318,68764,68732,67233,18507,73439,942,9978,60232
csf1r,,NM_131672.1,Endogenous,27,18,1,36,26,13,26,31,15,9,10,12
dpf3,,NM_001111169.1,Endogenous,52,29,1,43,33,33,44,40,26,20,40,31
ednrba,,NM_131197.1,Endogenous,13625,44345,59,54,52177,48384,46784,20876,42393,107,49,24032
ets1a,,NM_001017558.1,Endogenous,65,53,1,54,53,56,54,33,32,34,2,38
fgfr3_v2,,NM_131606.1,Endogenous,36,32,1,41,47,32,30065,41,39,26,2,30
foxd3,,NM_131290.1,Endogenous,137043,186404,1,148424,78249,110744,106725,92675,106555,9,107095,2847
foxg1b,,NM_212914.1,Endogenous,27149,85493,60,22916,120071,127876,105407,120610,390,82,120506,135822
foxo1a,,NM_001077257.2,Endogenous,31,46,1,37,97,51,81,54,54589,29,90,10457
foxo1b,,NM_001082857.1,Endogenous,13329,14101,1,25047,19028,9594,21984,19385,19571,4528,20701,19757
foxp4,,NM_001199491.1,Endogenous,141,159,43,212,44095,153,212,48524,52246,178,116,134
gapdh,,NM_001115114.1,Endogenous,7104,93,58,56,63,56,72,31,60,50,31,69
hbp1,,NM_001024431.1,Endogenous,225,162,107,177,163,163,199,190,134,119,105,173
her9,,NM_131873.1,Endogenous,83910,38514,34528,66655,50609,17369,47735,59959,39484,65,58230,45182
hmx1,,NM_001113526.1,Endogenous,95758,3878,1,203,139976,82969,158285,74838,22,119132,126189,103062
hmx4,,NM_001045371.1,Endogenous,98178,4094,55,342,98384,62334,105053,114500,85,3972,100203,65695
id2a,,NM_201291.1,Endogenous,121846,92474,92938,65427,76103,62084,95374,102455,108865,141863,5408,89315
impdh1b,,NM_001014369.2,Endogenous,157,93975,53,89134,91727,45838,54042,78145,74459,56636,116,54031
kita,,NM_131053.1,Endogenous,40027,699,1,14544,10573,50571,18854,50374,13453,55661,56,85882
ltk,,XM_005158786.2,Endogenous,118,178,55,142,100,113,93,119,66,45,101,107
mbpa,,XM_002665557.1,Endogenous,49,25311,39,38718,279,49856,59055,456,27,343,72272,84400
mc1r,,NM_180970.1,Endogenous,12015,23086,2,76923,5951,29922,5932,45436,45,301,3445,31956
mitfa,,NM_130923.1,Endogenous,2451,3349,1,63141,175,34725,272,58,31,82,2405,2646
mlphb,,NM_001079679.1,Endogenous,54,10,1,16,27,35,45,23,4,17,14,32
mycl1a,,NM_212937.1,Endogenous,31,43,1,28,42,47,49,40,35,41,1,38
myo5aa,,XM_009293794.1,Endogenous,38,44,1,47,30,54,39,44,26,30,3,32
oca2,,XM_690715.7,Endogenous,29,10,1,14,26,35,43,19,14,18,26,29
otx2,,NM_131251.1,Endogenous,12198,96815,1,49008,123082,121722,83024,108710,90715,130811,9,88044
pax3_v2,,XM_005163543.2,Endogenous,41,52,1,72,41,65,31,63,37,27,3,37
pax7a,,NM_131326.1,Endogenous,28,63,30,35,39401,42,52,37,38,32,40,55177
pax7b,,NM_001146149.1,Endogenous,32133,98678,67,53110,65123,45324,64866,925,16990,91517,45,85311
phox2b,,NM_001014818.1,Endogenous,74225,134,69,93117,77556,81995,72929,83269,125,76434,91889,23576
pnp4a,,NM_001002102.1,Endogenous,108,75,53,84,83,80,98,90,58,88,72,82
rpl13,,NM_198143.1,Endogenous,225734,295217,296354,233772,201938,272901,182448,181446,227206,229858,193423,220201
silva,,NM_001045330.1,Endogenous,35,18,1,22,18,40,32,24,8,15,14,32
slc24a5,,NM_001030280.1,Endogenous,101,24,1,36,120,87,127,81,21,113,68,86
smad9,,NM_001004014.1,Endogenous,61,97,59,76,75,87,99,62,78,80,56,83
snail2,,XR_661767.1,Endogenous,100137,109287,1,51283,71816,56928,69436,15269,31,401,1109,75395
sox10,,NM_131875.1,Endogenous,27335,25341,1,42206,17508,28570,31060,24952,6160,17,14839,128
sox5,,NM_001033585.1,Endogenous,113,93,56,79,100,92,104,158,68,80,62,90
sox9b,,NM_131644.1,Endogenous,99258,23,1,67,46453,83425,83507,3340,11472,1156,1283,136617
tfap2a,,NM_176859.2,Endogenous,75286,69655,1,323,64706,56306,52665,95025,67376,89631,34,27079
tfap2e,,NM_200821.1,Endogenous,3851,42833,45,36799,45137,35751,46141,8205,47597,7861,56704,29346
tfec,,NM_001030105.2,Endogenous,114,532,1,8805,9425,1144,1593,13561,23,978,31,1724
tyr,,NM_131013.1,Endogenous,28720,16,1,64455,23853,36018,22091,36416,9,55904,38,23633
tyrp1b,,NM_001002749.1,Endogenous,89,113,71,78,91,100,132,47,77,71,61,107
NEG_A,,ERCC_00096.1,Negative,37,28,11,30,47,35,43,45,20,29,28,35
NEG_B,,ERCC_00041.1,Negative,15,20,17,17,21,15,16,12,9,12,19,29
NEG_C,,ERCC_00019.1,Negative,5,6,2,7,9,5,6,5,4,4,8,5
NEG_D,,ERCC_00076.1,Negative,15,9,1,21,5,11,15,18,11,6,12,7
NEG_E,,ERCC_00098.1,Negative,35,24,14,23,32,25,18,33,19,21,16,23
NEG_F,,ERCC_00126.1,Negative,37,57,55,49,50,68,46,46,38,46,30,58
NEG_G,,ERCC_00144.1,Negative,10,4,1,7,10,6,5,4,6,10,1,7
NEG_H,,ERCC_00154.1,Negative,19,19,5,28,18,12,10,21,16,17,11,22
POS_A,,ERCC_00117.1,Positive,23271,29320,29450,24405,24831,23137,21505,20893,26836,34364,26513,24256
POS_B,,ERCC_00112.1,Positive,7275,8686,9520,7209,7387,6764,6849,5355,7818,11001,8107,7273
POS_C,,ERCC_00002.1,Positive,2114,2421,2637,2045,2100,1917,1976,1463,2243,3130,2398,2060
POS_D,,ERCC_00092.1,Positive,505,568,626,502,454,490,452,433,498,715,562,449
POS_E,,ERCC_00035.1,Positive,85,99,98,69,95,77,90,65,75,104,101,96
POS_F,,ERCC_00034.1,Positive,52,52,51,52,42,41,41,43,39,78,47,51
