Gene Name,Annotation,Accession #,Class Name,20160527_bath study 48hpf plate1 1-12_ 1_01.RCC,20160527_bath study 48hpf plate1 1-12_ 2_02.RCC,20160527_bath study 48hpf plate1 1-12_ 3_03.RCC,20160527_bath study 48hpf plate1 1-12_ 4_04.RCC,20160527_bath study 48hpf plate1 1-12_ 5_05.RCC,20160527_bath study 48hpf plate1 1-12_ 6_06.RCC,20160527_bath study 48hpf plate1 1-12_ 7_07.RCC,20160527_bath study 48hpf plate1 1-12_ 8_08.RCC,20160527_bath study 48hpf plate1 1-12_ 9_09.RCC,20160527_bath study 48hpf plate1 1-12_ 10 _10.RCC,20160527_bath study 48hpf plate1 1-12_ 11_11.RCC,20160527_bath study 48hpf plate1 1-12_ 12_12.RCC
,,,,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,Endogenous,660117,342083,664294,749700,653223,778230,849270,381307,248602,467081,764141,708726
alx4b,,NM_001089357.1,Endogenous,213,104,177,193,147,198,177,57526,33251,172,213,175
csf1r,,NM_131672.1,Endogenous,1,22,1,1,1,1,1,22,35,14,1,1
dpf3,,NM_001111169.1,Endogenous,1,37,1,2,1,1,1,27,66,42016,1,2
ednrba,,NM_131197.1,Endogenous,66,17046,24,52,12,46,19,13959,46742,41,13,45
ets1a,,NM_001017558.1,Endogenous,2,19,1,8,1,2,1,19001,28,20,1,1
fgfr3_v2,,NM_131606.1,Endogenous,30503,30,1,4,1,1,1,49018,34,101871,1,1
foxd3,,NM_131290.1,Endogenous,1,126128,1,2,1,1,1,51319,50,9,1,1
foxg1b,,NM_212914.1,Endogenous,100,112898,80,105,55,79,109280,84,83,124443,87,75
foxo1a,,NM_001077257.2,Endogenous,2,30,1,5,1,1,1,25,57,47,1,1
foxo1b,,NM_001082857.1,Endogenous,1,23422,1,1,1,1,1,33,146,5,16174,8
foxp4,,NM_001199491.1,Endogenous,93,110,69,98249,55,89,86,43268,170,34030,69,72
gapdh,,NM_001115114.1,Endogenous,36,20,6,1304,8,23,8,54,5544,27,12,27
hbp1,,NM_001024431.1,Endogenous,248,114,223,247,188,218,223,182,155,178,229,204
her9,,NM_131873.1,Endogenous,75184,26325,52960,46794,98,32501,11741,29853,29592,33333,40738,34513
hmx1,,NM_001113526.1,Endogenous,1,26,1,1,1,1,1,107,217,2,3,4
hmx4,,NM_001045371.1,Endogenous,92,81,90,115,76,89,131,119,105,127,117,80
id2a,,NM_201291.1,Endogenous,54497,74059,58,43306,60,78,114,84156,47316,17130,85,5664
impdh1b,,NM_001014369.2,Endogenous,92,112,74,150,61,73,99,151809,111527,96876,105,62
kita,,NM_131053.1,Endogenous,1,31427,1,1,1,1,1,41,167776,11,9,21899
ltk,,XM_005158786.2,Endogenous,50,18,20,47,10,32,10,36516,78,41,13,53
mbpa,,XM_002665557.1,Endogenous,17,17,13,33,5,18,9,40,39,33,7,28
mc1r,,NM_180970.1,Endogenous,1,33,1,12,1,1,2,30,39901,57,1,1
mitfa,,NM_130923.1,Endogenous,5,73494,1,3,1,1,1086,18,60952,32460,1,1
mlphb,,NM_001079679.1,Endogenous,1,25,1,2,1,1,1,26,135309,15,1,1
mycl1a,,NM_212937.1,Endogenous,26,25,1,3,1,1,1,90402,20,41598,2,1
myo5aa,,XM_009293794.1,Endogenous,3,32,1,4,1,1,1,21,54811,37486,1,1
oca2,,XM_690715.7,Endogenous,1,19,1,4,2,1,1,41697,104064,13,1,3
otx2,,NM_131251.1,Endogenous,7,98385,1,7,1,1,1,97863,46021,52,1,1
pax3_v2,,XM_005163543.2,Endogenous,5,36,1,10,1,1,1,5097,70,62,1,1
pax7a,,NM_131326.1,Endogenous,30,8,7,34,7,24,7,40281,58,26,4,25
pax7b,,NM_001146149.1,Endogenous,76,26,31,53,7,57,22,94,23188,32,18,35
phox2b,,NM_001014818.1,Endogenous,85,95651,57,121,68,98,87,235,153,31780,87,68
pnp4a,,NM_001002102.1,Endogenous,85,72,81,95,69,73,83,72216,75375,100,102,71
rpl13,,NM_198143.1,Endogenous,272288,79789,88511,267701,50852,209937,71277,196551,120077,218581,72641,190612
silva,,NM_001045330.1,Endogenous,1,20,1,4,4,2,1,38,142,11,2,1
slc24a5,,NM_001030280.1,Endogenous,1,32,1,3,1,1,1,61181,124684,8,3,3
smad9,,NM_001004014.1,Endogenous,53,26,15,45,9,50,8,97,112,46,17,60
snail2,,XR_661767.1,Endogenous,3,18,1,2,1,1,1,33,31,34,2,2
sox10,,NM_131875.1,Endogenous,2,46,1,3,3,2,1,28950,29243,15,3,1
sox5,,NM_001033585.1,Endogenous,100,83,91,116,70,83,106,145,110,97,85,75
sox9b,,NM_131644.1,Endogenous,4,78489,1,15922,1,1,1,37043,40219,81459,1,1
tfap2a,,NM_176859.2,Endogenous,4,506,1,41666,1,66,1,28,37617,95132,1,1
tfap2e,,NM_200821.1,Endogenous,32,13,10,38,10,34,10,63,16723,32,6,28
tfec,,NM_001030105.2,Endogenous,2,43991,1,1,1,1,1,48235,197,14,2,1
tyr,,NM_131013.1,Endogenous,1,26,1,1,1,1,1,50610,63736,5,8,4
tyrp1b,,NM_001002749.1,Endogenous,51,28,12,46,16,40,11,162030,214210,42,8,63248
NEG_A,,ERCC_00096.1,Negative,15,7,17,20,14,11,14,35,21,23,16,17
NEG_B,,ERCC_00041.1,Negative,9,2,3,8,8,8,5,10,14,6,3,10
NEG_C,,ERCC_00019.1,Negative,1,4,1,2,1,1,1,7,20,1,1,1
NEG_D,,ERCC_00076.1,Negative,1,9,1,2,2,2,1,16,8,7,2,2
NEG_E,,ERCC_00098.1,Negative,32,15,24,30,17,16,17,27,23,29,33,15
NEG_F,,ERCC_00126.1,Negative,35,12,17,34,9,37,15,42,39,27,11,30
NEG_G,,ERCC_00144.1,Negative,3,3,2,2,1,1,1,6,12,11,1,1
NEG_H,,ERCC_00154.1,Negative,1,11,1,6,12,6,11,11,17,14,2,3
POS_A,,ERCC_00117.1,Positive,29277,34179,36134,33704,34765,33674,34932,16245,13149,19162,35139,34126
POS_B,,ERCC_00112.1,Positive,8166,8919,8946,9319,9494,9185,9779,4588,3630,5232,10378,10021
POS_C,,ERCC_00002.1,Positive,2304,2600,2816,2792,2847,2719,2863,1277,1081,1633,3019,2985
POS_D,,ERCC_00092.1,Positive,570,623,657,655,628,630,651,334,281,380,688,635
POS_E,,ERCC_00035.1,Positive,93,106,104,107,114,99,96,71,45,61,109,102
POS_F,,ERCC_00034.1,Positive,54,43,50,57,61,59,63,66,66,43,76,55
