Gene Name,Annotation,Accession #,Class Name,20160324_bath study 7 48hpf_ 25_01.RCC,20160324_bath study 7 48hpf_ 26_02.RCC,20160324_bath study 7 48hpf_ 27_03.RCC,20160324_bath study 7 48hpf_ 28_04.RCC,20160324_bath study 7 48hpf_ 29_05.RCC,20160324_bath study 7 48hpf_ 30_06.RCC,20160324_bath study 7 48hpf_ 31_07.RCC,20160324_bath study 7 48hpf_ 32_08.RCC,20160324_bath study 7 48hpf_ 33_09.RCC,20160324_bath study 7 48hpf_ 34_10.RCC,20160324_bath study 7 48hpf_ 35_11.RCC,20160324_bath study 7 48hpf_ 36_12.RCC,20160324_bath study 8_ 37_01.RCC,20160324_bath study 8_ 38_02.RCC,20160324_bath study 8_ 39_03.RCC,20160324_bath study 8_ 40_04.RCC,20160324_bath study 8_ 41_05.RCC,20160324_bath study 8_ 42_06.RCC,20160324_bath study 8_ 43_07.RCC,20160324_bath study 8_ 44_08.RCC,20160324_bath study 8_ 45_09.RCC,20160324_bath study 8_ 46_10.RCC,20160324_bath study 8_ 47_11.RCC,20160324_bath study 8_ 48_12.RCC
,,,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Kanamycin Pos,,Sub_Kan.1,Endogenous,268312,410153,224842,181227,302496,176830,289817,221493,221202,255588,172752,196758,231446,1858,269278,224745,316872,247328,183066,270476,229918,197380,58794,246708
alx4b,,NM_001089357.1,Endogenous,64,100,16638,61,87,6649,66,56,64,69,78,71,72,2,63,75,142,53,42,58,43,41,12,49
csf1r,,NM_131672.1,Endogenous,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,20,1,1,1,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,1,1,2,2,3,1,1,1,4,6,1,1,1,3,1,18660,1,25,1,1,2,1,1
ednrba,,NM_131197.1,Endogenous,1,2,9577,13,420,3,27,3,9,2038,10,41,3,6,19,2,51,14,1,1,11,10,14,15
ets1a,,NM_001017558.1,Endogenous,1,1,1,1,9,1,32559,1,1,20354,9,5,17,1,10,1,4889,1,1,1,1,1,1,1
fgfr3_v2,,NM_131606.1,Endogenous,1,1,1,1,11,1,9,3,1,4,37800,13,16,1,30,1,10,1,1,1,1,1,1,1
foxd3,,NM_131290.1,Endogenous,1,1,1,1,169,3712,1,1,1,3,7,1,2,1,5,1,20,1,1,1,2,23187,1,1
foxg1b,,NM_212914.1,Endogenous,41,42,63,16,39,24,39,26,18,33,40,27,24,1,30,30,59,37,31,39,22,25,2,25
foxo1a,,NM_001077257.2,Endogenous,1,1,1,1,6,1,9,5,1,3,8,17,12,1,6,1,35352,1,1,1,1,1,1,1
foxo1b,,NM_001082857.1,Endogenous,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,1,15018,1,1,1,1,1,1,1
foxp4,,NM_001199491.1,Endogenous,820,42,125,75,45,21,28,13,29,10699,56994,38,29,1,2268,24,79078,36,23,31,30,18,7,34
gapdh,,NM_001115114.1,Endogenous,1,4,16,9,14,3,20,1,5,20,10,38,1,1,14,4,26,13,1,3,12,7,21,6
hbp1,,NM_001024431.1,Endogenous,69,88,70,16175,233,60,80,42,50,20393,73,76,70,1,70,75,141,62,57,64,60,44,14,69
her9,,NM_131873.1,Endogenous,75,50,47,28,44,34,68,35,28,21606,30431,39287,30,1,45,9949,49780,37,17426,38,37,29,8,48
hmx1,,NM_001113526.1,Endogenous,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,29,1,1,1,1,1,1,1
hmx4,,NM_001045371.1,Endogenous,39,48,48,31,51,32,39,30,27,45,53,35,30,2,34,31,82,40,31,32,37,27,9,33
id2a,,NM_201291.1,Endogenous,28,52,36101,26,28,5525,34478,32,20,9168,74761,23,25,1,50,15,12449,23,8243,27,29,30811,9,30
impdh1b,,NM_001014369.2,Endogenous,32,38,101124,21,31,22,35,19,20,41,20366,41,27,2,38,27,78857,39,25,29,27,19,7,24
kita,,NM_131053.1,Endogenous,1,1,1,1,1,1,2,1,1,8528,6,1,1,1,6,1,93988,1,2,1,1,2,1,1
ltk,,XM_005158786.2,Endogenous,2,7,22,17,26,4701,29,2,11,43,13,31,1,1,27,6,40,24,2,2,15,23,22,16
mbpa,,XM_002665557.1,Endogenous,2,2,9,14,17,5,18,1,8,13,10,23,1,2,17,1,32,11,1,1,17,10,12,12
mc1r,,NM_180970.1,Endogenous,1,1,2,1,2,1,5,1,1,2,24,13,21,1,7,2,10,1,1,1,1,1,1,1
mitfa,,NM_130923.1,Endogenous,541,1,1,1,5,1,7,8181,1,4,16,22,82835,1,9,1,10,1,1,1,1,1,1,1
mlphb,,NM_001079679.1,Endogenous,1,1,1,2,1,1,1,1,1,1,1,1,1,2,14,1,26,1,1,1,1,1,1,1
mycl1a,,NM_212937.1,Endogenous,1,1,1,1,29170,1,5,1,1,2,32,7,12,1,29450,1,3,1,1,1,1,421,1,1
myo5aa,,XM_009293794.1,Endogenous,1,1,1,1,1,1,10,1,1,4,28587,64348,15,1,9,1,11,2,1,1,1,1,1,1
oca2,,XM_690715.7,Endogenous,1,1,1,1,1,2,1,1,1,2,3,2,1,1,5,1,44020,1,1,1,2,2,1,1
otx2,,NM_131251.1,Endogenous,1,1,1,1,7,1,14,3,1,1,21,6,11,1,66593,1,11,1,1,1,1,1,1,1
pax3_v2,,XM_005163543.2,Endogenous,1,1,1,1,4,1,10,1,1,1,15,11,22,1,9,1,9,1,1,1,1,1,1,1
pax7a,,NM_131326.1,Endogenous,1,1,13,15611,15,3,16,1,7,21,10,23,1,2,9,1,39,9,1,1,15,7,12,9
pax7b,,NM_001146149.1,Endogenous,2,4,20,13,28,2,43,5,10,36,18,50,5,1,15780,1,45,25,3,1,24,13,17,18
phox2b,,NM_001014818.1,Endogenous,42,35,112,17,33,23,32,20,27,35,74,30,17,1,32,32,154,12499,23,30,25,17,10,21
pnp4a,,NM_001002102.1,Endogenous,30,36,3260,18,34,20,35,36,18,30,34,30,18,4,34,20,48,24,26,31,24,20,5,25
