Gene Name,Annotation,Accession #,Class Name,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _01.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _02.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _03.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _04.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _05.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _06.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _07.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _08.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _09.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _10.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _11.RCC,20170608_bath study 30hpf 06-04-17 strip c plate 1_ _12.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _01.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _02.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _03.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _04.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _05.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _06.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _07.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _08.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _09.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _10.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _11.RCC,20170608_bath study 30hpf 06-04-17 strip d plate 1_ _12.RCC
,,,,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618,30 m618
Kanamycin Pos,,Sub_Kan.1,Endogenous,40522,35099,49256,55917,7819,56629,23633,37107,35833,33553,16780,1304,24106,24746,28645,19757,26520,29401,30882,50201,24209,19877,21142,11634
alx4b,,NM_001089357.1,Endogenous,11,11,9,12,13431,12,5732,5,2,8,2,1,747,7,4,8,3,1110,5169,3897,4307,4812,8153,26
csf1r,,NM_131672.1,Endogenous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dpf3,,NM_001111169.1,Endogenous,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ednrba,,NM_131197.1,Endogenous,4,3796,1,5,11726,5,5640,96,3526,108,2,1,673,1,73,4,1,3973,1807,3228,3,1374,2,1
ets1a,,NM_001017558.1,Endogenous,1,1,3,1,3,3353,1,1,1,1,1,1,1680,1,1,1,1,1,1,1,3,1,1,2
fgfr3_v2,,NM_131606.1,Endogenous,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3
foxd3,,NM_131290.1,Endogenous,9255,4266,5698,1,16590,16,1,5,1,7,1,1,1,1,59,1,1,410,1,1,6711,5581,9026,3051
foxg1b,,NM_212914.1,Endogenous,4,211,523,9,23680,14,5,4,4,205,1,1,3,3,101,1,3,6,3,7,8662,3,9355,3286
