Gene Name,Annotation,Accession #,Class Name,Target Sequence,20160610_bath study 18hpf 25-05 strip1_ 1_01.RCC,20160610_bath study 18hpf 25-05 strip1_ 2_02.RCC,20160610_bath study 18hpf 25-05 strip1_ 3_03.RCC,20160610_bath study 18hpf 25-05 strip1_ 4_04.RCC,20160610_bath study 18hpf 25-05 strip1_ 5_05.RCC,20160610_bath study 18hpf 25-05 strip1_ 6_06.RCC,20160610_bath study 18hpf 25-05 strip1_ 7_07.RCC,20160610_bath study 18hpf 25-05 strip1_ 8_08.RCC,20160610_bath study 18hpf 25-05 strip1_ 9_09.RCC,20160610_bath study 18hpf 25-05 strip1_ 10 _10.RCC,20160610_bath study 18hpf 25-05 strip1_ 11_11.RCC,20160610_bath study 18hpf 25-05 strip1_ 12_12.RCC
,,,,,18,18,18,18,18,18,18,18,18,18,18,18
Kanamycin Pos,,Sub_Kan.1,Endogenous,,105031,173293,170666,158891,145032,179833,157419,135888,155266,148854,202698,207021
alx4b,,NM_001089357.1,Endogenous,,19839,7192,64,636,3679,81,33,3708,36,25,50,50
csf1r,,NM_131672.1,Endogenous,,10,10,1,1,5,5,4,2,1,1,10,7
dpf3,,NM_001111169.1,Endogenous,,12,19,5,10,13,8,4,1,4,1,22,7
ednrba,,NM_131197.1,Endogenous,,44513,48160,27,17,16,28882,28,33,20,19,2483,33
ets1a,,NM_001017558.1,Endogenous,,10,14,5,25,30,12,2,10,5,8,6,8
fgfr3_v2,,NM_131606.1,Endogenous,,7,36,4,32,25,5,6,3,7,19,5,55173
foxd3,,NM_131290.1,Endogenous,,58933,87867,2,7,42960,7,38636,2,1,1,63095,65716
foxg1b,,NM_212914.1,Endogenous,,62452,20301,38,30,36283,87,35,20,37499,10,24,27
foxo1a,,NM_001077257.2,Endogenous,,16,41064,9,59716,20182,3,996,7,4,4,2,7
foxo1b,,NM_001082857.1,Endogenous,,18,10848,11810,4078,12230,12,16,13698,4,1,16,12133
foxp4,,NM_001199491.1,Endogenous,,83,28433,74,58,48,225,45,34,15,13,31293,60
gapdh,,NM_001115114.1,Endogenous,,17788,2966,19,15,2232,30,21815,1724,17301,25794,24,20
hbp1,,NM_001024431.1,Endogenous,,54,49,54,38,408,90,186,35,38,36,39,214
her9,,NM_131873.1,Endogenous,,90,633,89,1783,24,273,67,10,44,17,224,1019
hmx1,,NM_001113526.1,Endogenous,,46291,223,75458,63249,56891,56481,125,4,36995,1,30,4
hmx4,,NM_001045371.1,Endogenous,,41724,226,58422,62490,43345,97,1748,24,28572,23,36827,45
id2a,,NM_201291.1,Endogenous,,46890,67852,94114,24512,40528,74232,66317,33642,22,16,18521,32104
impdh1b,,NM_001014369.2,Endogenous,,32380,33,39163,55938,21378,184772,8533,22249,82,10,52274,40695
kita,,NM_131053.1,Endogenous,,26471,48293,13,39437,30825,15,39086,2,8,1,41389,8
ltk,,XM_005158786.2,Endogenous,,5504,9638,10118,272,10810,6599,10729,9668,31,18,40,38
mbpa,,XM_002665557.1,Endogenous,,41236,26,13,187,19,30,17,19,15,9,28909,20
mc1r,,NM_180970.1,Endogenous,,62697,61015,12,63414,51316,3,4,2,7,8,2,18
mitfa,,NM_130923.1,Endogenous,,17,26,39551,41910,18931,39,1260,1,26161,17906,896,43649
mlphb,,NM_001079679.1,Endogenous,,6,12,3,5,7,7,3,1,1,1,5,5
mycl1a,,NM_212937.1,Endogenous,,5,42547,7,30192,21,6,4,4,5,27913,2,30
myo5aa,,XM_009293794.1,Endogenous,,12,35,15,40,29,10,3,4,6,12,4,10
oca2,,XM_690715.7,Endogenous,,8,13,5,2,6,6,2,1,3,1,2,2
otx2,,NM_131251.1,Endogenous,,10,50751,11883,66536,41670,32964,2,1,2,15252,1,8
